"","gene_id","H_value","p_value","stat_test_adj_p","cluster1_mean","cluster1_sd","cluster1_sem","cluster2_mean","cluster2_sd","cluster2_sem","cluster1_penetrance","cluster2_penetrance","cluster1_cluster2_pval","cluster1_cluster2_differential","cluster2_cluster1_differential","cluster1_cluster2_sd","cluster2_cluster1_sd"
"1","TSPAN6",97,0.789519503338149,0.875814614890247,-0.159166145074309,0.366270254150199,0.0978898429997614,-0.067544780479442,0.0886591203652034,0.0245896157318673,0.5,0.153846153846154,NA,-0.091621364594867,0.091621364594867,0.376847898626466,0.376847898626466
"2","TNMD",143,0.00196361734913691,0.0291992424793173,0.179209357519164,0.209056981794388,0.0558728285848314,0,0,0,0.571428571428571,0,NA,0.179209357519164,-0.179209357519164,0.209056981794388,0.209056981794388
"3","DPM1",112,0.325476535897858,0.534709839918087,0.215735053609032,0.278580534849373,0.0744537797164709,0.102708675917939,0.212677680860063,0.0589861756529018,0.642857142857143,0.692307692307692,NA,0.113026377691093,-0.113026377691093,0.350483823211539,0.350483823211539
"4","SCYL3",66,0.238822532318292,0.447564103851163,-0.15095270828006,0.305907436258103,0.0817572013245863,-0.0426246847315164,0.244123086908791,0.0677075621057074,0.285714285714286,0.307692307692308,NA,-0.108328023548544,0.108328023548544,0.3913763420544,0.3913763420544
"5","FIRRM",75,0.45826874660365,0.615447480667708,0.301394004884235,0.401218474426346,0.107230147753394,0.375454606668936,0.271759334120064,0.0753724779812187,0.714285714285714,0.846153846153846,NA,-0.074060601784701,0.074060601784701,0.484591993229753,0.484591993229753
"6","FGR",109.5,0.375767298318907,0.535213915840421,0.0337104563102467,0.0649386403375299,0.0173555816647125,0.0105434657662557,0.043485871179562,0.012060810638164,0.5,0.384615384615385,NA,0.023166990543991,-0.023166990543991,0.078154001824171,0.078154001824171
"7","CFH",102,0.615950603989371,0.74994228959319,-0.106498504704763,0.445028875890508,0.118938970057387,-0.190369436027803,0.436736358680498,0.121128871929382,0.428571428571429,0.384615384615385,NA,0.08387093132304,-0.08387093132304,0.623529748584516,0.623529748584516
"8","FUCA2",87,0.867376497509759,0.930311401998515,0.0647732777955403,0.183524291500831,0.0490489300676098,0.0763220258364651,0.109066479733329,0.0302495988548364,0.571428571428571,0.692307692307692,NA,-0.0115487480409248,0.0115487480409248,0.213486914288213,0.213486914288213
"9","GCLC",139,0.0193253665564878,0.109228243377517,0.0315233474083822,0.38541335257755,0.103006051259507,-0.342793165291634,0.303119902734973,0.084070334763431,0.428571428571429,0.153846153846154,NA,0.374316512700016,-0.374316512700016,0.49033165080293,0.49033165080293
"10","NFYA",60,0.140752207315675,0.331137497927618,-0.3816911363507,0.434720051461387,0.116183820837803,-0.131986174608186,0.199637091732344,0.0553693669788825,0.357142857142857,0.153846153846154,NA,-0.249704961742514,0.249704961742514,0.478368572899537,0.478368572899537
