Category,gene,METABRIC_OS_HR,METABRIC_OS_CI_lower,METABRIC_OS_CI_upper,METABRIC_OS_p_value,METABRIC_OS_p_adj_BH,SCANB_OS_HR,SCANB_OS_CI_lower,SCANB_OS_CI_upper,SCANB_OS_p_value,SCANB_OS_p_adj_BH,METABRIC_DSS_HR,METABRIC_DSS_CI_lower,METABRIC_DSS_CI_upper,METABRIC_DSS_p_value,METABRIC_DSS_p_adj_BH,METABRIC_RFI_HR,METABRIC_RFI_CI_lower,METABRIC_RFI_CI_upper,METABRIC_RFI_p_value,METABRIC_RFI_p_adj_BH,SCANB_RFI_HR,SCANB_RFI_CI_lower,SCANB_RFI_CI_upper,SCANB_RFI_p_value,SCANB_RFI_p_adj_BH,SCANB_DRFI_HR,SCANB_DRFI_CI_lower,SCANB_DRFI_CI_upper,SCANB_DRFI_p_value,SCANB_DRFI_p_adj_BH
Fun-CIM,ITM2A,0.787,0.682,0.908,0.00103,0.063,0.831,0.735,0.94,0.00319,0.0103,0.802,0.69,0.931,0.00375,0.104,0.874,0.76,1.005,0.0586,0.194,0.823,0.72,0.942,0.00456,0.0178,0.807,0.697,0.935,0.00435,0.0124
Fun-CIM,JAK2,0.802,0.7,0.919,0.00153,0.063,0.768,0.677,0.87,3.43E-05,4.75E-04,0.809,0.701,0.934,0.00388,0.104,0.825,0.721,0.944,0.00508,0.126,0.846,0.736,0.973,0.0193,0.0508,0.774,0.664,0.902,0.00103,0.0043
Fun-CIM,TNFRSF14,0.809,0.711,0.92,0.00127,0.063,0.897,0.79,1.018,0.0923,0.147,0.831,0.725,0.953,0.00818,0.104,0.858,0.754,0.975,0.0194,0.14,0.851,0.737,0.982,0.0272,0.0657,0.838,0.717,0.98,0.0269,0.0531
Fun-CIM,TXNIP,0.795,0.7,0.904,4.31E-04,0.063,0.797,0.703,0.905,4.63E-04,0.00304,0.788,0.689,0.902,5.26E-04,0.0867,0.814,0.716,0.925,0.00164,0.0821,0.824,0.717,0.947,0.00633,0.0228,0.821,0.704,0.956,0.0114,0.0267
Fun-CIM,ATM,0.822,0.719,0.941,0.00452,0.0678,0.82,0.722,0.93,0.00209,0.00721,0.835,0.725,0.963,0.0131,0.114,0.841,0.735,0.963,0.0123,0.14,0.845,0.731,0.976,0.0218,0.0556,0.788,0.673,0.923,0.00321,0.00985
Fun-CIM,BTN3A3,0.818,0.716,0.934,0.00295,0.0678,0.86,0.762,0.97,0.0144,0.0323,0.826,0.718,0.951,0.00773,0.104,0.837,0.733,0.954,0.00796,0.14,0.863,0.754,0.988,0.0333,0.0758,0.847,0.73,0.983,0.0291,0.0562
Fun-CIM,DOCK10,0.814,0.713,0.929,0.00224,0.0678,0.753,0.666,0.852,6.87E-06,1.63E-04,0.823,0.716,0.947,0.00653,0.104,0.809,0.708,0.925,0.00186,0.0821,0.775,0.675,0.891,3.33E-04,0.00325,0.746,0.641,0.869,1.68E-04,0.00137
Fun-CIM,FGL2,0.834,0.737,0.945,0.0043,0.0678,0.805,0.712,0.911,5.53E-04,0.0034,0.833,0.729,0.951,0.00673,0.104,0.837,0.738,0.95,0.00595,0.126,0.82,0.715,0.94,0.00449,0.0178,0.765,0.659,0.889,4.59E-04,0.00238
Fun-CIM,PLCL2,0.825,0.724,0.939,0.00372,0.0678,0.816,0.721,0.924,0.0013,0.00535,0.844,0.736,0.969,0.0157,0.121,0.892,0.784,1.015,0.0841,0.229,0.865,0.753,0.994,0.0406,0.0888,0.839,0.721,0.977,0.0236,0.0488
Fun-CIM,PTPRE,0.821,0.72,0.937,0.00342,0.0678,0.733,0.652,0.825,2.21E-07,1.22E-05,0.821,0.714,0.944,0.00554,0.104,0.852,0.747,0.972,0.0174,0.14,0.817,0.714,0.934,0.00315,0.0149,0.778,0.672,0.9,7.31E-04,0.00357
Fun-CIM,RPS6KA3,0.812,0.705,0.935,0.0038,0.0678,0.879,0.775,0.997,0.0445,0.0812,0.809,0.697,0.94,0.00561,0.104,0.815,0.709,0.939,0.00445,0.126,0.924,0.803,1.064,0.27,0.374,0.85,0.728,0.992,0.0396,0.0748
Fun-CIM,CD69,0.83,0.723,0.951,0.00745,0.0725,0.724,0.638,0.822,5.67E-07,2.35E-05,0.838,0.725,0.968,0.0161,0.121,0.825,0.72,0.947,0.00612,0.126,0.746,0.647,0.86,5.45E-05,0.00151,0.671,0.574,0.785,5.75E-07,8.18E-05
Fun-CIM,CREBRF,0.843,0.741,0.96,0.00981,0.0725,0.778,0.686,0.882,8.51E-05,0.00101,0.82,0.715,0.941,0.00476,0.104,0.869,0.764,0.99,0.0341,0.148,0.803,0.699,0.923,0.00201,0.0109,0.774,0.664,0.902,0.00102,0.0043
Fun-CIM,IFFO1,0.84,0.736,0.959,0.00985,0.0725,0.979,0.86,1.114,0.745,0.798,0.858,0.746,0.987,0.0318,0.181,0.869,0.762,0.992,0.0371,0.148,0.982,0.847,1.14,0.814,0.85,0.983,0.835,1.157,0.833,0.869
Fun-CIM,ITPR1,0.829,0.722,0.951,0.00749,0.0725,0.735,0.648,0.834,1.81E-06,4.99E-05,0.798,0.689,0.924,0.00249,0.104,0.848,0.74,0.972,0.018,0.14,0.698,0.607,0.801,3.52E-07,5.84E-05,0.723,0.621,0.842,2.87E-05,3.40E-04
Fun-CIM,MAF,0.831,0.722,0.956,0.00975,0.0725,0.971,0.858,1.099,0.644,0.732,0.828,0.714,0.96,0.0123,0.113,0.857,0.746,0.984,0.0288,0.14,1.11,0.964,1.279,0.147,0.231,1.067,0.914,1.246,0.412,0.499
Fun-CIM,MEF2C,0.833,0.726,0.957,0.00976,0.0725,0.933,0.825,1.055,0.269,0.352,0.819,0.707,0.949,0.00775,0.104,0.886,0.774,1.014,0.0795,0.225,1,0.871,1.148,1,1,0.994,0.854,1.156,0.936,0.953
Fun-CIM,PRDM1,0.829,0.723,0.95,0.00686,0.0725,0.82,0.724,0.928,0.0017,0.00657,0.85,0.737,0.981,0.0261,0.172,0.859,0.751,0.983,0.0273,0.14,0.885,0.77,1.016,0.0831,0.155,0.839,0.72,0.977,0.0239,0.0488
Fun-CIM,PTGER4,0.833,0.727,0.955,0.00862,0.0725,0.851,0.755,0.96,0.00861,0.0217,0.854,0.74,0.985,0.0306,0.181,0.866,0.757,0.991,0.036,0.148,0.882,0.771,1.009,0.0683,0.137,0.828,0.715,0.959,0.012,0.0274
Fun-CIM,PTPRC,0.829,0.718,0.956,0.0101,0.0725,0.814,0.718,0.924,0.00138,0.00547,0.827,0.71,0.962,0.014,0.116,0.794,0.686,0.919,0.00199,0.0821,0.81,0.703,0.932,0.00339,0.0152,0.742,0.635,0.867,1.78E-04,0.00137
Fun-CIM,RORA,0.834,0.729,0.953,0.00754,0.0725,0.781,0.695,0.877,2.99E-05,4.75E-04,0.83,0.721,0.957,0.0101,0.108,0.854,0.746,0.978,0.0222,0.14,0.948,0.831,1.082,0.432,0.539,0.915,0.792,1.057,0.227,0.308
Fun-CIM,STAT5B,0.827,0.722,0.947,0.00603,0.0725,0.851,0.758,0.956,0.00671,0.0179,0.83,0.719,0.957,0.0105,0.108,0.86,0.752,0.984,0.0287,0.14,0.795,0.702,0.9,2.84E-04,0.00325,0.777,0.678,0.889,2.48E-04,0.00155
Fun-CIM,ZBTB38,0.843,0.743,0.957,0.00809,0.0725,0.906,0.806,1.019,0.0989,0.153,0.837,0.733,0.957,0.00893,0.105,0.873,0.769,0.992,0.0377,0.148,0.954,0.831,1.095,0.501,0.598,0.927,0.798,1.076,0.317,0.397
Fun-CIM,EDEM1,0.846,0.744,0.962,0.0109,0.0746,0.782,0.687,0.889,1.71E-04,0.00158,0.806,0.703,0.924,0.002,0.104,0.804,0.707,0.915,0.00093,0.0821,0.775,0.67,0.897,6.20E-04,0.0049,0.74,0.63,0.869,2.45E-04,0.00155
Fun-CIM,JCHAIN,0.847,0.743,0.964,0.012,0.0766,0.754,0.674,0.845,1.13E-06,3.74E-05,0.867,0.756,0.995,0.0419,0.188,0.877,0.77,1,0.0494,0.177,0.786,0.691,0.895,2.70E-04,0.00325,0.736,0.641,0.846,1.61E-05,2.35E-04
Fun-CIM,LY9,0.836,0.727,0.962,0.0125,0.0766,0.813,0.72,0.919,8.71E-04,0.00438,0.853,0.736,0.989,0.0355,0.188,0.836,0.726,0.963,0.013,0.14,0.769,0.672,0.88,1.41E-04,0.00261,0.721,0.622,0.836,1.51E-05,2.35E-04
Fun-CIM,NLRP7,0.799,0.67,0.952,0.0123,0.0766,1.026,0.913,1.154,0.667,0.748,0.834,0.698,0.995,0.0441,0.188,0.788,0.66,0.942,0.00875,0.14,0.947,0.829,1.082,0.424,0.537,0.937,0.808,1.086,0.387,0.476
Fun-CIM,CCR2,0.843,0.736,0.965,0.0132,0.078,0.772,0.684,0.872,3.21E-05,4.75E-04,0.846,0.733,0.977,0.0228,0.164,0.838,0.731,0.961,0.0112,0.14,0.753,0.657,0.862,3.95E-05,0.00151,0.69,0.595,0.801,9.85E-07,8.18E-05
Fun-CIM,RNF125,0.847,0.743,0.967,0.0138,0.0786,0.832,0.735,0.943,0.00393,0.0116,0.853,0.742,0.981,0.0257,0.172,0.881,0.773,1.004,0.0567,0.193,0.827,0.719,0.951,0.00755,0.0257,0.786,0.675,0.917,0.00211,0.00731
Fun-CIM,CXCL12,0.851,0.748,0.969,0.0151,0.0832,0.812,0.721,0.914,5.90E-04,0.0035,0.838,0.731,0.961,0.0117,0.113,0.902,0.791,1.028,0.122,0.262,0.946,0.827,1.081,0.416,0.531,0.91,0.786,1.053,0.205,0.283
Fun-CIM,ALOX5,0.858,0.753,0.977,0.0205,0.0936,0.899,0.795,1.016,0.0887,0.143,0.882,0.768,1.013,0.0752,0.244,0.862,0.756,0.984,0.0279,0.14,0.843,0.734,0.968,0.0155,0.0428,0.809,0.696,0.941,0.00587,0.0157
Fun-CIM,HLA-DPA1,0.866,0.768,0.977,0.0192,0.0936,0.931,0.825,1.052,0.252,0.335,0.872,0.767,0.992,0.0379,0.188,0.861,0.761,0.973,0.0163,0.14,0.834,0.729,0.953,0.00759,0.0257,0.828,0.715,0.958,0.0114,0.0267
Fun-CIM,LAX1,0.848,0.738,0.975,0.0204,0.0936,0.809,0.712,0.918,0.00108,0.00498,0.861,0.744,0.997,0.0456,0.188,0.853,0.742,0.98,0.0246,0.14,0.735,0.636,0.85,3.36E-05,0.00151,0.684,0.581,0.804,4.23E-06,2.34E-04
Fun-CIM,SESN1,0.846,0.734,0.976,0.0216,0.0936,0.78,0.688,0.884,1.06E-04,0.0011,0.869,0.749,1.008,0.0642,0.23,0.906,0.79,1.04,0.161,0.302,0.813,0.706,0.936,0.0039,0.0166,0.796,0.681,0.929,0.00386,0.0114
Fun-CIM,SGK1,0.853,0.746,0.977,0.0212,0.0936,1,0.883,1.132,0.997,0.997,0.867,0.751,1.001,0.0511,0.196,0.915,0.799,1.048,0.2,0.337,1.091,0.951,1.251,0.213,0.309,1.046,0.9,1.216,0.558,0.639
