Category,gene,METABRIC_OS_HR,METABRIC_OS_CI_lower,METABRIC_OS_CI_upper,METABRIC_OS_p_value,METABRIC_OS_p_adj_BH,SCANB_OS_HR,SCANB_OS_CI_lower,SCANB_OS_CI_upper,SCANB_OS_p_value,SCANB_OS_p_adj_BH,METABRIC_DSS_HR,METABRIC_DSS_CI_lower,METABRIC_DSS_CI_upper,METABRIC_DSS_p_value,METABRIC_DSS_p_adj_BH,METABRIC_RFI_HR,METABRIC_RFI_CI_lower,METABRIC_RFI_CI_upper,METABRIC_RFI_p_value,METABRIC_RFI_p_adj_BH,SCANB_RFI_HR,SCANB_RFI_CI_lower,SCANB_RFI_CI_upper,SCANB_RFI_p_value,SCANB_RFI_p_adj_BH,SCANB_DRFI_HR,SCANB_DRFI_CI_lower,SCANB_DRFI_CI_upper,SCANB_DRFI_p_value,SCANB_DRFI_p_adj_BH
Fun-CIM,ABCA1,1.0876,0.9545,1.2393,0.2074,0.3564,0.9265,0.8206,1.046,0.2173,0.3006,1.0972,0.9564,1.2587,0.1856,0.3897,1.0861,0.954,1.2364,0.212,0.3761,1.0518,0.92,1.2025,0.4599,0.5697,1.0064,0.8699,1.1643,0.9316,0.9373
Fun-CIM,ABCA7,1.0539,0.9287,1.196,0.4161,0.5537,1.045,0.9141,1.1945,0.5193,0.5865,1.107,0.9712,1.2617,0.128,0.3354,1.1108,0.9786,1.2608,0.1041,0.2606,0.9552,0.8245,1.1067,0.542,0.6504,0.9527,0.8108,1.1194,0.5561,0.6501
Fun-CIM,ABCD2,1.0098,0.8846,1.1526,0.8856,0.9366,0.8791,0.7707,1.0027,0.05494,0.09702,1.0328,0.8992,1.1863,0.6481,0.7584,0.9986,0.8752,1.1394,0.9839,0.9962,0.8581,0.7366,0.9995,0.04922,0.09964,0.7964,0.67,0.9467,0.009869,0.02657
Fun-CIM,ALOX5,0.8666,0.7586,0.9899,0.0349,0.1419,0.8581,0.76,0.9688,0.0134,0.03179,0.8905,0.7741,1.0245,0.1048,0.2992,0.8736,0.7641,0.9989,0.04818,0.2208,0.8333,0.7261,0.9563,0.009428,0.03696,0.7951,0.6843,0.9239,0.002768,0.01021
Fun-CIM,ATM,0.8429,0.7337,0.9684,0.01579,0.1286,0.822,0.7228,0.9348,0.002809,0.01036,0.855,0.739,0.9892,0.03523,0.2763,0.8569,0.7456,0.9847,0.02948,0.1983,0.8664,0.7499,1.0011,0.05173,0.103,0.8141,0.6948,0.9538,0.01093,0.02752
Fun-CIM,BCL6,1.0248,0.8972,1.1704,0.7182,0.8176,0.9717,0.8615,1.0959,0.6395,0.7003,1.0108,0.8783,1.1633,0.881,0.9259,1.0569,0.9244,1.2084,0.4178,0.5715,1.0524,0.92,1.2038,0.4568,0.5697,1.0827,0.9346,1.2542,0.2897,0.3847
Fun-CIM,BTK,0.9187,0.8,1.055,0.2297,0.3716,0.8043,0.709,0.9124,0.0007128,0.00408,0.9418,0.814,1.0898,0.421,0.6202,0.8833,0.7657,1.019,0.08872,0.2524,0.7984,0.6936,0.9192,0.001732,0.01106,0.7534,0.6457,0.879,0.0003197,0.002412
Fun-CIM,BTN3A1,0.8975,0.7823,1.0296,0.1226,0.2601,0.8267,0.7306,0.9354,0.002536,0.009566,0.9071,0.7848,1.0486,0.1874,0.3897,0.9074,0.791,1.0408,0.165,0.3166,0.8142,0.7103,0.9333,0.003156,0.01637,0.7957,0.6851,0.9242,0.002764,0.01021
Fun-CIM,BTN3A2,0.8928,0.7855,1.0148,0.08262,0.2065,0.8655,0.7676,0.9759,0.01833,0.04169,0.8994,0.7853,1.0301,0.1257,0.3345,0.87,0.7653,0.9892,0.0335,0.2015,0.9104,0.7975,1.0394,0.165,0.256,0.8879,0.7683,1.026,0.1069,0.1694
Fun-CIM,BTN3A3,0.8166,0.7144,0.9333,0.002952,0.1226,0.861,0.7627,0.9718,0.0154,0.03601,0.8236,0.715,0.9486,0.00711,0.1687,0.8346,0.7309,0.953,0.007547,0.1711,0.8639,0.7558,0.9874,0.03194,0.08156,0.8526,0.7365,0.9871,0.03284,0.06648
Fun-CIM,CARD11,0.9763,0.8547,1.1151,0.7235,0.8176,0.8588,0.7549,0.9769,0.02061,0.04478,1.0038,0.8705,1.1574,0.9586,0.9645,0.9764,0.8502,1.1212,0.7345,0.8244,0.8106,0.7005,0.938,0.004806,0.0228,0.7841,0.6678,0.9206,0.002986,0.01078
Fun-CIM,CARD8,0.9469,0.8312,1.0787,0.412,0.5527,0.8076,0.7131,0.9146,0.0007617,0.004215,0.9575,0.8338,1.0995,0.5381,0.6777,0.9703,0.8519,1.1051,0.6496,0.7495,0.8622,0.7512,0.9896,0.03502,0.08298,0.8192,0.7043,0.9528,0.009698,0.02657
Fun-CIM,CBLB,1.0406,0.9142,1.1844,0.5468,0.6634,0.93,0.8193,1.0557,0.2618,0.3477,1.0291,0.8977,1.1796,0.6808,0.7911,1.0043,0.8821,1.1434,0.9482,0.9778,1.0409,0.9019,1.2013,0.5838,0.6864,1.0114,0.8637,1.1845,0.8877,0.9096
Fun-CIM,CCR2,0.8441,0.7329,0.9721,0.01861,0.1286,0.7989,0.7069,0.9027,0.0003174,0.002635,0.8566,0.7388,0.9931,0.04016,0.2763,0.8491,0.7377,0.9773,0.02262,0.1983,0.7671,0.6697,0.8786,0.0001293,0.002249,0.7099,0.6118,0.8238,0.000006381,0.0001513
Fun-CIM,CD209,0.9553,0.8282,1.1019,0.5302,0.6528,0.9887,0.8752,1.117,0.8556,0.8851,0.9699,0.8359,1.1253,0.6865,0.7921,0.9798,0.8541,1.124,0.7708,0.8535,0.9622,0.842,1.0995,0.571,0.6771,0.9167,0.7916,1.0617,0.2457,0.3371
Fun-CIM,CD274,0.8912,0.7723,1.0284,0.1148,0.2526,0.7529,0.6591,0.8601,0.00002907,0.0008043,0.8798,0.7559,1.0241,0.09848,0.2992,0.8872,0.7701,1.022,0.09726,0.2588,0.7458,0.643,0.8651,0.0001073,0.002249,0.6809,0.5772,0.8032,0.000005161,0.0001513
Fun-CIM,CD28,0.9526,0.8313,1.0916,0.4848,0.606,0.8667,0.7648,0.982,0.02481,0.05149,0.9869,0.8561,1.1377,0.8553,0.9105,0.9581,0.8354,1.0988,0.5405,0.686,0.8658,0.754,0.9941,0.04095,0.08761,0.8396,0.7213,0.9772,0.02393,0.05227
Fun-CIM,CD38,0.8566,0.7459,0.9838,0.02843,0.1336,0.8783,0.7736,0.997,0.04484,0.08271,0.8736,0.7556,1.0101,0.0681,0.2808,0.8539,0.7431,0.9812,0.02596,0.1983,0.8199,0.7109,0.9457,0.006411,0.02801,0.7522,0.6417,0.8818,0.0004454,0.003057
Fun-CIM,CD4,0.9375,0.819,1.0731,0.3492,0.4964,0.929,0.817,1.0565,0.2618,0.3477,0.9776,0.8493,1.1252,0.7521,0.8273,0.9644,0.8443,1.1015,0.5929,0.7193,0.8595,0.7452,0.9913,0.03755,0.08358,0.8453,0.7227,0.9888,0.03565,0.06962
Fun-CIM,CD40,0.8767,0.7657,1.0037,0.05661,0.1847,0.9346,0.824,1.06,0.2922,0.385,0.8888,0.7704,1.0255,0.1063,0.2992,0.883,0.7709,1.0114,0.07237,0.2356,0.8549,0.7415,0.9857,0.0309,0.08136,0.8238,0.7043,0.9635,0.0153,0.03629
Fun-CIM,CD69,0.8443,0.7325,0.9731,0.01947,0.1286,0.7052,0.6196,0.8028,1.261E-07,0.00002094,0.8621,0.7426,1.0007,0.05111,0.2763,0.8434,0.7317,0.972,0.01871,0.1983,0.7503,0.6497,0.8665,0.00009248,0.002249,0.6742,0.5753,0.7901,0.000001112,0.0001513
Fun-CIM,CD74,0.8602,0.7529,0.9828,0.02675,0.1336,0.9841,0.8644,1.1202,0.8079,0.8435,0.8694,0.7545,1.0018,0.05295,0.2763,0.8734,0.7631,0.9998,0.04962,0.2213,0.901,0.7782,1.0431,0.1629,0.2551,0.9068,0.7718,1.0654,0.2342,0.3267
