Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
NEO11 _Patient_11_T1_B_Rep1,0,0.0105955016034131,0.0176481034069197,0.103386167597865,0,0.24374454911091,0,0,0,0,0,0.0365485174974309,0,0.0581415693846445,0.0305374907130277,0.303586677567664,0.00530451985960693,0,0.123368691250173,0.0558563659078548,0,0.0112818461004895,0,0.715858949922665,0.757259432703628
NEO11 _Patient_11_T4_S_Rep1,0.00247417833704234,0.0505251173715698,0.000218843805315644,0.0737430251908616,0,0.123158213254361,0.0719523171114839,0,0,0.0620860624750637,0.00515623577911178,0.00638235550520842,0,0.0385763453901702,0.135493236660039,0.279885794173988,0.0541420982261672,0,0.0760582037221387,0,0,0.0201479729974792,0,0.696163537236104,0.771644493957913
NEO15 _Patient_15_T1_B_Rep1,0,0.0656977681093351,0.0324456814204299,0.184066318380409,0,0.04772881494154,0,0,0,0.0382926517187712,0,0.0789897633049662,0.00916328444983571,0.00815535438183146,0.0748505397616021,0.305895439516998,0.0142434299320648,0,0.0782663421150445,0.0196892167789111,0.00283324120409658,0.0396821539841646,0,0.670731810494654,0.782291686172225
NEO15 _Patient_15_T4_S_Rep1,0,0.0359947930977958,0.00681442272952288,0.0694281396059301,0,0.180016466880102,0,0,0,0.0785877326403185,0,0.042897408903537,0,0,0.0694255818328589,0.254762889848153,0.045172145157328,0,0.198366599804634,0,0,0.0185338194998204,0,0.720819858140934,0.761389116784865
NEO16 _Patient_16_T1_B_Rep1,0,0.0131911049689745,0.00435378777498989,0.170213198681983,0,0,0.155271668857541,0.0142254060441306,0,0.160381710507692,0,0.108115235157995,0,0.0421014526434158,0.133633758217743,0.15891870229011,0.00562851855349073,0,0,0.0206639869960347,0.00465578653587616,0.00864568277002435,0,0.703596450224254,0.731715594458564
NEO16 _Patient_16_T4_S_Rep1,0,0.0159583412687716,0.00601977455810183,0.0887708634165973,0,0.0827588989624249,0,0,0,0.0703331179202359,0,0.0985594671468519,0,0.0371994545729557,0.0594422871977966,0.334699940342539,0.0146916667095681,0,0.167296495703959,0,0,0.0242696922001979,0,0.72916206154495,0.745418953778512
NEO18 _Patient_18_T1_B_Rep1,0.00431374387363945,0.0236959695395785,0.0027845977053494,0.234825796009924,0,0,0.0630319674555406,0.00675425153577502,0,0.13211268209644,0,0.146605160094498,0,0,0.0955095848361039,0.179734457879467,0.0164223927806217,0.0277850118332695,0.0480740683952431,0,0.0024368878798707,0.0159134280846792,0,0.733000776490942,0.709981591931908
NEO18 _Patient_18_T4_S_Rep1,0,0.0971109992642041,0,0.09107270233591,0,0.104082099157925,0.0628928369751043,0,0,0.0418900722066517,0,0.0704713768232762,0.00524600792109829,0.0509181231269823,0.0925566311811758,0.213286962804822,0.0279094173529521,0,0.119288914903791,0,0,0.0232738559461074,0,0.752929569953428,0.747393826296155
NEO19 _Patient_19_T1_B_Rep1,0.010192239312734,0.0195398173077538,0.0022770486568696,0.14661913858707,0,0.256494718003598,0.00534562617172207,0.0140211785252338,0,0,0.039306116189758,0.0114578873283432,0.0215417956703719,0.0108853363764098,0.0687279246696319,0.121013908381526,0.00921648627742035,0.0180609575860789,0,0.20778491216399,5.59556783857377e-05,0.0374589531131031,0,0.599723704251696,0.810149256398887
NEO19 _Patient_19_T4_S_Rep1,0,0.0243269708430235,0.00448232883297415,0.188603964819309,0,0.0139095788397291,0.102963353855504,0.00796855388104284,0,0.0501065826570374,0,0.144136066934377,0.0124995224344444,0.0277269681186563,0.131789232588175,0.201545345951028,0.0126012664661988,0,0,0.0523466494661329,0,0.024993614312367,0,0.599504432806111,0.805508425670014
