Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
NEO11 _Patient_11_B_Rep1	0	0.009852671	0.021141532	0.100448825	0	0.237899413	0	0	0	0.001033204	0	0.03635523	0	0.057802964	0.03039983	0.310545131	0.00566204	0	0.123052033	0.054942773	0	0.010864356
NEO11 _Patient_11_S_Rep1	0.002522942	0.045201742	0.001671402	0.075020764	0	0.119461853	0.072721693	0	0	0.063367829	0.004231593	0.006089248	0	0.036607877	0.135482956	0.283047465	0.058143948	0	0.07615515	0	0	0.020273538
NEO15 _Patient_15_B_Rep1	0	0.062233766	0.035411789	0.179717727	0	0.045122483	0	0	0	0.040348251	0	0.080961603	0.008367145	0.005212527	0.074643343	0.313044495	0.015080943	0	0.08147623	0.016730962	0.001463962	0.040184774
NEO15 _Patient_15_S_Rep1	0	0.037438423	0.008148767	0.070965742	0	0.175411918	0	0	0	0.079032151	0	0.041490908	0	0	0.068950644	0.253320622	0.048047197	0	0.198743358	0	0	0.018450268
NEO16 _Patient_16_B_Rep1	0	0.011749977	0.005058175	0.170414009	0	0	0.156197254	0.013625386	0	0.160097324	0	0.107555587	0	0.04065973	0.133401007	0.161402587	0.005984839	0	0	0.020545127	0.004534072	0.008774927
NEO16 _Patient_16_S_Rep1	0	0.020168205	0.006011888	0.089426531	0	0.08063393	0	0	0	0.070256929	0	0.098488817	0	0.037571934	0.05929928	0.332802158	0.015262313	0	0.166334275	0	0	0.023743742
NEO18 _Patient_18_B_Rep1	0.005038217	0.022059823	0.002869995	0.23477842	0	0	0.064951832	0.006894369	0	0.131782996	0	0.146672696	0	0.000283079	0.095469116	0.18146823	0.016032847	0.027584415	0.047419627	0	0.000709973	0.015984366
NEO18 _Patient_18_S_Rep1	0	0.095242627	0	0.094512716	0	0.09334663	0.063916454	0	0	0.044048108	0	0.070043999	0.005062594	0.050984859	0.093529223	0.216318325	0.029318205	0	0.120197579	0	0	0.02347868
NEO19 _Patient_19_B_Rep1	0.009718619	0.017279979	0.002995987	0.147046373	0	0.255509866	0.005922848	0.01363851	0	0	0.03873803	0.011635437	0.021751574	0.010431653	0.070602371	0.122426154	0.009656567	0.017691899	0	0.208613327	0.000280614	0.036060193
NEO19 _Patient_19_S_Rep1	0	0.024174693	0.004919806	0.189185668	0	0.010660263	0.105811009	0.007340709	0	0.050181623	0	0.142924696	0.012695567	0.027549296	0.13207435	0.202555131	0.01300042	0	0	0.052189728	0	0.024737043
NEO21 _Patient_21_B_Rep1	0.001204518	0.030653703	0.026578513	0.074730824	0	0.207363308	0	0	0	0.039154432	0	0.052224481	0	0.004120548	0.074895921	0.280089563	0.015977151	0.002340473	0.152031729	0.016229192	0.004328115	0.01807753
NEO21 _Patient_21_S_Rep1	0.005485345	0.035517161	0.014477843	0.097385109	0	0.17288903	0.010773288	0	0	0.052040825	0	0.038181031	0.027675082	0.009562527	0.053828284	0.27731614	0.016069102	0.003253968	0.162598133	0.005287046	0	0.017660086
NEO22 _Patient_22_B_Rep1	0	0.020519019	0.002747	0.087672335	0	0.107068629	0	0.00438921	0	0.103883774	0	0.064490937	0	0.089633611	0.064167398	0.339920797	0.024078586	0	0.044869709	0.034120283	0	0.012438711
NEO22 _Patient_22_S_Rep1	0.00086688	0.027417711	0.002982162	0.121099256	0	0.112882528	0	0.012203682	0	0.126836143	0	0.073023685	0	0	0.121636656	0.271277847	0.008212964	0	0.064454453	0.041325074	0	0.015780959
NEO27 _Patient_27_B_Rep1	0	0.02018076	0.006006307	0.089441973	0	0.080732519	0	0	0	0.070220328	0	0.098493839	0	0.03745732	0.059313898	0.332808615	0.015273662	0	0.166330561	0	0	0.023740219
NEO27 _Patient_27_S_Rep1	0.012757666	0.072966014	0	0.119896179	0	0.124779188	0.047331737	0	0	0.107618113	0	0.043819768	0	0	0.132326449	0.253127014	0.022198158	0	0.041909037	0	0	0.021270676
NEO3 _Patient_3_B_Rep1	0.005644608	0.000216857	0.003025694	0.112628925	0	0.132053377	0	0.005640073	0	0.109891152	0	0.069529712	0	0	0.073509134	0.290844139	0.014272641	0.000711258	0.14734552	0.013379117	0.007394175	0.013913617
NEO3 _Patient_3_S_Rep1	0	0.011650067	0.005146444	0.232026743	0	0	0.177188926	0.00130102	0	0.153097349	0	0.105745324	0	0.01666608	0.081365017	0.186558744	0.004859902	0	0	0.014587151	0	0.009807234
