sample_id,cluster_assignments
NEO11 _Patient_11_delta,1
NEO15 _Patient_15_delta,1
NEO16 _Patient_16_delta,2
NEO18 _Patient_18_delta,1
NEO19 _Patient_19_delta,1
NEO21 _Patient_21_delta,2
NEO22 _Patient_22_delta,2
NEO27 _Patient_27_delta,1
NEO3 _Patient_3_delta,2
NEO33 _Patient_33_delta,2
NEO34 _Patient_34_delta,2
NEO42 _Patient_42_delta,1
NEO43 _Patient_43_delta,1
NEO45 _Patient_45_delta,1
NEO46 _Patient_46_delta,2
NEO47 _Patient_47_delta,2
NEO49 _Patient_49_delta,1
NEO51 _Patient_51_delta,2
NEO8 _Patient_8_delta,1
