gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd
A1BG,21,0.130542796096117,0.48565326483187,-0.239964062963297,0.495418250869419,0.165139416956473,0.0151543331339875,0.123039562322327,0.0389085259248791,0.222222222222222,0.6,limma_2grp(mod_t),-0.255118396097285,0.255118396097285,0.510468390001756,0.510468390001756
A1BG-AS1,19,0.0472527269822803,0.248267274403581,-0.322905311381555,0.61946787138125,0.206489290460417,0.114620772261448,0.194173246256295,0.0614029718838654,0.222222222222222,0.5,limma_2grp(mod_t),-0.437526083643003,0.437526083643003,0.649186947831921,0.649186947831921
A1CF,40,0.302529654520116,0.744952101064093,-0.11685779071637,0.35057337214911,0.11685779071637,0,0,0,0,0,limma_2grp(mod_t),-0.11685779071637,0.11685779071637,0.35057337214911,0.35057337214911
A2M,30,0.214003761079752,0.649684190909095,-1.49780035857344,1.62069343993295,0.540231146644316,-0.543713694887906,1.61434796979161,0.510501652061019,0.222222222222222,0.4,limma_2grp(mod_t),-0.954086663685534,0.954086663685534,2.28752411873886,2.28752411873886
A2M-AS1,18,0.0238911047199993,0.154544960974407,-0.919122787053409,0.861574406769083,0.287191468923028,0.187585524701343,1.06923345739738,0.338121307583235,0.111111111111111,0.6,limma_2grp(mod_t),-1.10670831175475,1.10670831175475,1.37316082263421,1.37316082263421
A2ML1,45,0.894797922204183,1,0.0247127768524536,1.4023861541737,0.467462051391233,0.123135434932733,1.76434998942067,0.557936455626332,0.444444444444444,0.4,limma_2grp(mod_t),-0.0984226580802794,0.0984226580802794,2.25380074775629,2.25380074775629
A2MP1,57,0.287136983824514,0.744952101064093,0.07473860878398,0.440651285507197,0.146883761835732,-0.159007999469795,0.486453047565301,0.153829960503658,0.555555555555556,0.4,limma_2grp(mod_t),0.233746608253775,-0.233746608253775,0.656361274683931,0.656361274683931
A3GALT2,48.5,0.831866438776861,1,-0.0141124665070083,0.0899086188573256,0.0299695396191085,-0.0219710639548779,0.0694786047146411,0.0219710639548779,0.111111111111111,0,limma_2grp(mod_t),0.0078585974478696,-0.0078585974478696,0.113625860867697,0.113625860867697
A4GALT,5,0.00011498142107731,0.0061081911087371,-1.5206933891737,0.836465042054946,0.278821680684982,0.392638357847867,0.84933746860845,0.268584090292446,0.111111111111111,0.6,limma_2grp(mod_t),-1.91333174702157,1.91333174702157,1.19207713767281,1.19207713767281
A4GNT,38,0.797281549440989,1,0.0224483219144846,0.098107434463571,0.0327024781545237,0.0140205754821633,0.0296094870278208,0.00936334193571233,0.111111111111111,0.2,limma_2grp(mod_t),0.0084277464323213,-0.0084277464323213,0.102478243637733,0.102478243637733
AA06,35,0.127303721793301,0.479494085778601,-0.0787111446710137,0.156638611242138,0.052212870414046,0,0,0,0,0,limma_2grp(mod_t),-0.0787111446710137,0.0787111446710137,0.156638611242138,0.156638611242138
AAAS,10,0.00567895993174871,0.0593534317998275,-0.785689368959542,0.965260996901417,0.321753665633806,0.29692221186107,0.483266027013476,0.152822136114304,0.222222222222222,0.7,limma_2grp(mod_t),-1.08261158082061,1.08261158082061,1.07947896922752,1.07947896922752
AACS,20,0.0320005650836179,0.189781604823781,-0.782622803655237,0.869491151526493,0.289830383842164,0.214970585501607,0.989667581359162,0.312960368352495,0.222222222222222,0.5,limma_2grp(mod_t),-0.997593389156844,0.997593389156844,1.317367368723,1.317367368723
AACSP1,47,0.481572581221134,0.938508703942689,0.124019727286634,0.731278686968376,0.243759562322792,-0.128432127959575,0.798578603211966,0.252532727682567,0.222222222222222,0.3,limma_2grp(mod_t),0.252451855246209,-0.252451855246209,1.08281868450917,1.08281868450917
AADAC,67.5,0.189106151390068,0.603682626844488,0.00546838921643209,0.846280818108428,0.282093606036143,-0.569269869643611,0.979799723624321,0.309839877745634,0.666666666666667,0.3,limma_2grp(mod_t),0.574738258860043,-0.574738258860043,1.29468093425082,1.29468093425082
AADACL2,47,0.931276238164788,1,-0.0291464337112775,0.0774398277134764,0.0258132759044921,-0.0261685447015584,0.0716612953240156,0.0226612913301863,0.222222222222222,0,limma_2grp(mod_t),-0.0029778890097191,0.0029778890097191,0.10550956432385,0.10550956432385
AADACL2-AS1,28,0.110411049064842,0.43811935769309,-0.0950252017703177,0.264780885698345,0.0882602952327817,0.0657975956557746,0.142083925321631,0.0449308822913625,0.222222222222222,0.4,limma_2grp(mod_t),-0.160822797426092,0.160822797426092,0.300494191734221,0.300494191734221
AADACL3,40,0.302529677670711,0.744952101064093,-0.0274394738936613,0.082318421680984,0.0274394738936613,0,0,0,0,0,limma_2grp(mod_t),-0.0274394738936613,0.0274394738936613,0.082318421680984,0.082318421680984
AADACL4,54,0.411428351779996,0.845845914331138,0,0,0,-0.0262460023132368,0.0937276324341448,0.0296392798186969,0,0.1,limma_2grp(mod_t),0.0262460023132368,-0.0262460023132368,0.0937276324341448,0.0937276324341448
AADACP1,33.5,0.222387117978546,0.665496754009415,-0.119928547751056,0.397615339946273,0.132538446648758,0.0708442655057545,0.254329996811553,0.0804262067227871,0.333333333333333,0.4,limma_2grp(mod_t),-0.190772813256811,0.190772813256811,0.471997569738187,0.471997569738187
AADAT,13,0.00588554244397024,0.0607024829726505,-0.645293241427637,0.648144268536637,0.216048089512212,0.275679399451566,0.634888392586238,0.200769338057567,0.222222222222222,0.7,limma_2grp(mod_t),-0.920972640879203,0.920972640879203,0.907289514916616,0.907289514916616
AAGAB,23,0.122559939985092,0.468953447328208,-0.299150927564994,0.605755531164341,0.201918510388114,0.258898440411357,0.860781505950121,0.272203012655216,0.333333333333333,0.4,limma_2grp(mod_t),-0.558049367976351,0.558049367976351,1.05256095525245,1.05256095525245
AAK1,15,0.0111746861923781,0.0927435412497409,-0.105605392505956,0.121752808092262,0.0405842693640872,0.0332062841417303,0.0915542421049641,0.0289519934502175,0.111111111111111,0.7,limma_2grp(mod_t),-0.138811676647686,0.138811676647686,0.152334912366685,0.152334912366685
AAMDC,36,0.493829390592287,0.953577840321112,-0.239484028608807,1.00843808319357,0.33614602773119,0.100128874299831,1.10853925951817,0.35055089357939,0.333333333333333,0.5,limma_2grp(mod_t),-0.339612902908638,0.339612902908638,1.49860156730474,1.49860156730474
AAMP,12,0.0132011858642821,0.103919382629127,-0.586590187400998,0.833019932749876,0.277673310916625,0.348959594969612,0.647452597558632,0.204742488527765,0.111111111111111,0.8,limma_2grp(mod_t),-0.93554978237061,0.93554978237061,1.05504363627484,1.05504363627484
AANAT,49.5,0.579099538827061,1,0.00850321298190501,0.0170889661878128,0.00569632206260426,0.00447158481942968,0.0141403927800305,0.00447158481942968,0.222222222222222,0.1,limma_2grp(mod_t),0.00403162816247533,-0.00403162816247533,0.0221807004700426,0.0221807004700426
AAR2,12,0.00888058265963206,0.0797196748936415,-0.939001191751007,0.721748156692459,0.240582718897486,-0.0802435815445799,0.550204625521131,0.173989979580678,0,0.5,limma_2grp(mod_t),-0.858757610206427,0.858757610206427,0.907549189649691,0.907549189649691
AARD,55,0.330971255756247,0.764460721255485,1.31311594999575,1.92968210846815,0.643227369489383,0.345563306224402,2.26797523202225,0.717196741003917,0.888888888888889,0.6,limma_2grp(mod_t),0.967552643771348,-0.967552643771348,2.97781542289116,2.97781542289116
AARS1,2,2.99261096999914e-05,0.00342340570550344,-1.31126773070874,0.736746384370202,0.245582128123401,0.447523041846645,0.636480849224831,0.201272917062868,0,0.8,limma_2grp(mod_t),-1.75879077255538,1.75879077255538,0.973603156482418,0.973603156482418
AARS2,10,0.00194281814949701,0.0295924932590314,-0.441082608701088,0.584050188272924,0.194683396090975,0.448455146269414,0.482559477495712,0.152598705538722,0.222222222222222,0.8,limma_2grp(mod_t),-0.889537754970502,0.889537754970502,0.757613537195959,0.757613537195959
AARSD1,58.5,0.164559082895388,0.56504234222843,0.0172723130141674,0.0343766624979862,0.0114588874993287,-0.0273933569266885,0.0866254006462858,0.0273933569266885,0.222222222222222,0,limma_2grp(mod_t),0.0446656699408559,-0.0446656699408559,0.0931971832279816,0.0931971832279816
AASDH,47,0.972003453184811,1,-0.0741763228522358,0.219402204712493,0.0731340682374978,-0.0776859681013855,0.212147342883927,0.0670868803065924,0.555555555555556,0.4,limma_2grp(mod_t),0.00350964524914971,-0.00350964524914971,0.305194728862432,0.305194728862432
AASDHPPT,34,0.318251054867067,0.764460721255485,-0.542849423217614,0.724891000867015,0.241630333622338,-0.172805970026839,0.839221969624494,0.265385288646604,0.333333333333333,0.5,limma_2grp(mod_t),-0.370043453190775,0.370043453190775,1.10894566027304,1.10894566027304
AASS,19,0.0336326304708088,0.196160837668516,-0.815561345939461,0.702746770630427,0.234248923543476,-0.0569582608601462,0.732527484984038,0.231645530122435,0.111111111111111,0.6,limma_2grp(mod_t),-0.758603085079315,0.758603085079315,1.01511060475622,1.01511060475622
AATBC,37,0.776232745169354,1,-0.0576921324859802,0.154944862675403,0.0516482875584676,-0.0420811510051628,0.071272812458875,0.0225384422616071,0.333333333333333,0.2,limma_2grp(mod_t),-0.0156109814808174,0.0156109814808174,0.170551236481292,0.170551236481292
AATF,19,0.00982136143135109,0.0850247797943542,-0.670963267830467,0.903854097932645,0.301284699310882,0.266912350702438,0.466017640178453,0.147367717278071,0.333333333333333,0.7,limma_2grp(mod_t),-0.937875618532905,0.937875618532905,1.0169192058896,1.0169192058896
AATK,31,0.201896191534125,0.627014840049121,-0.297798709381315,0.429512820581324,0.143170940193775,-0.0288554342571787,0.455307428767179,0.143980851049916,0.222222222222222,0.6,limma_2grp(mod_t),-0.268943275124136,0.268943275124136,0.625928204935921,0.625928204935921
