"","gene_id","NEO11 _Patient_11_T1_B_Rep1","NEO11 _Patient_11_T4_S_Rep1","NEO15 _Patient_15_T1_B_Rep1","NEO15 _Patient_15_T4_S_Rep1","NEO16 _Patient_16_T1_B_Rep1","NEO16 _Patient_16_T4_S_Rep1","NEO18 _Patient_18_T1_B_Rep1","NEO18 _Patient_18_T4_S_Rep1","NEO19 _Patient_19_T1_B_Rep1","NEO19 _Patient_19_T4_S_Rep1","NEO21 _Patient_21_T1_B_Rep1","NEO21 _Patient_21_T4_S_Rep1","NEO22 _Patient_22_T1_B_Rep1","NEO22 _Patient_22_T4_S_Rep1","NEO27 _Patient_27_T1_B_Rep1","NEO27 _Patient_27_T4_S_Rep1","NEO3 _Patient_3_T1_B_Rep1","NEO3 _Patient_3_T4_S_Rep1","NEO33 _Patient_33_T1_B_Rep1","NEO33 _Patient_33_T4_S_Rep1","NEO34 _Patient_34_T1_B_Rep1","NEO34 _Patient_34_T4_S_Rep1","NEO42 _Patient_42_T1_B_Rep1","NEO42 _Patient_42_T4_S_Rep1","NEO43 _Patient_43_T1_B_Rep1","NEO43 _Patient_43_T4_S_Rep1","NEO45 _Patient_45_T1_B_Rep1","NEO45 _Patient_45_T4_S_Rep1","NEO46 _Patient_46_T1_B_Rep1","NEO46 _Patient_46_T4_S_Rep1","NEO47 _Patient_47_T1_B_Rep1","NEO47 _Patient_47_T4_S_Rep1","NEO49 _Patient_49_T1_B_Rep1","NEO49 _Patient_49_T4_S_Rep1","NEO51 _Patient_51_T1_B_Rep1","NEO51 _Patient_51_T4_S_Rep1","NEO8 _Patient_8_T1_B_Rep1","NEO8 _Patient_8_T4_S_Rep1"
"1","DDX11L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","WASH7P",13.74,2.189,13.39,4.705,8.93,11.29,9.478,7.998,14.51,12.8,3.71,5.28,9.533,10.84,11.29,3.978,4.219,10.99,24.84,38.35,18.43,9.78,49.1,25.04,29.64,5.782,39.37,18.81,23.27,35.76,11.81,14,11.97,4.952,11.21,15.51,11.01,10.62
"3","MIR6859-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","MIR1302-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","FAM138A",0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0,0,0.08219,0,0,0,0.1675,0,0,0,0,0,0,0.06541,0,0,0,0,0.1133,0
"7","OR4F5",0.1666,0.37,0.3205,0.1193,0,0.1511,0,0.2583,0,0,0,0.6522,0,0.2502,0.1511,0,0.2772,0.2614,0,0.1356,1.416,0.1265,0.3544,0.1276,1.444,0,0.1965,0.1517,0,0.1745,0,0.08052,0,0.0852,0.1309,0,0,0.2574
"8","LOC100996442",0,0.01388,0.1202,0,0.02603,0.02835,0.06652,0.01615,0,0.1166,0,0.02447,0.02591,0.1173,0.02835,0,0.01733,0,0.09723,0.1526,0.1898,0.07118,0.06648,0.04789,0.07737,0.02111,0.07373,0,0.03738,0.03272,0,0.1057,0,0.1119,0,0.08125,0.05234,0.02414
"9","LOC729737",0.3911,0.2358,1.612,0.2201,0.256,0.5829,0.565,0.3321,0.857,0.9035,0.1383,0.08751,0.4632,0.6923,0.5322,0.1216,0.3874,0.3508,1.883,2.411,2.121,0.4667,1.813,0.6208,2.559,0.4907,1.813,0.407,0.2005,3.979,0.2244,1.418,0.4903,0.2715,0.2415,0.5812,0.8891,0.1511
"10","DDX11L17",0,0,0,0,0,0,0,0.04918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3037,0,0.1178,0,0.1123,0,0,0.1993,0,0.09199,0,0,0,0,0,0
