"","gene_id","NEO11 _Patient_11_T1_B_Rep1","NEO11 _Patient_11_T4_S_Rep1","NEO15 _Patient_15_T1_B_Rep1","NEO15 _Patient_15_T4_S_Rep1","NEO16 _Patient_16_T1_B_Rep1","NEO16 _Patient_16_T4_S_Rep1","NEO18 _Patient_18_T1_B_Rep1","NEO18 _Patient_18_T4_S_Rep1","NEO19 _Patient_19_T1_B_Rep1","NEO19 _Patient_19_T4_S_Rep1","NEO21 _Patient_21_T1_B_Rep1","NEO21 _Patient_21_T4_S_Rep1","NEO22 _Patient_22_T1_B_Rep1","NEO22 _Patient_22_T4_S_Rep1","NEO27 _Patient_27_T1_B_Rep1","NEO27 _Patient_27_T4_S_Rep1","NEO3 _Patient_3_T1_B_Rep1","NEO3 _Patient_3_T4_S_Rep1","NEO33 _Patient_33_T1_B_Rep1","NEO33 _Patient_33_T4_S_Rep1","NEO34 _Patient_34_T1_B_Rep1","NEO34 _Patient_34_T4_S_Rep1","NEO42 _Patient_42_T1_B_Rep1","NEO42 _Patient_42_T4_S_Rep1","NEO43 _Patient_43_T1_B_Rep1","NEO43 _Patient_43_T4_S_Rep1","NEO45 _Patient_45_T1_B_Rep1","NEO45 _Patient_45_T4_S_Rep1","NEO46 _Patient_46_T1_B_Rep1","NEO46 _Patient_46_T4_S_Rep1","NEO47 _Patient_47_T1_B_Rep1","NEO47 _Patient_47_T4_S_Rep1","NEO49 _Patient_49_T1_B_Rep1","NEO49 _Patient_49_T4_S_Rep1","NEO51 _Patient_51_T1_B_Rep1","NEO51 _Patient_51_T4_S_Rep1","NEO8 _Patient_8_T1_B_Rep1","NEO8 _Patient_8_T4_S_Rep1"
"1","DDX11L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","WASH7P",3.88166461932035,1.67310409759017,3.84699468696557,2.51222688651396,3.31179371775365,3.61941301059794,3.38929146200697,3.16960436691696,3.95512678126137,3.78659636189081,2.23572705983806,2.6507645591169,3.39684449693982,3.56559717585422,3.61941301059794,2.31556623031895,2.38377340195843,3.5837597536395,4.6915341649192,5.29829173062012,4.28021399581062,3.43028527297778,5.64673869830785,4.70265754339091,4.93734439215023,2.76171078436334,5.33521168170579,4.30815697511476,4.60110220337641,5.20006486151431,3.67919857056692,3.90689059560852,3.69710657447697,2.57337452644594,3.60999129521268,4.04526821513853,3.58616424593091,3.5385381636298
"3","MIR6859-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","MIR1302-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","FAM138A",0,0,0,0,0,0,0,0,0,0,0,0.14535138557262,0,0,0,0,0,0,0,0,0.113953815240002,0,0,0,0.223422549934937,0,0,0,0,0,0,0.0914087272945071,0,0,0,0,0.154842406869233,0
"7","OR4F5",0.222309979264316,0.454175893185802,0.401084301505006,0.162596765988487,0,0.2030131707745,0,0.331475926123189,0,0,0,0.72438833660212,0,0.322158907629378,0.2030131707745,0,0.352984458020644,0.335025838321693,0,0.183454754174942,1.27262045466299,0.171847313573341,0.437653878346192,0.173255383020972,1.28924428515664,0,0.258820396876412,0.203764966018656,0,0.23204671335011,0,0.111725776162047,0,0.117960952732417,0.177471364444951,0,0,0.330443668229009
"8","LOC100996442",0,0.0198869090969699,0.163756333397909,0,0.037072914393776,0.040331370879628,0.0929110201841323,0.023113382703565,0,0.159112461230858,0,0.034877737902184,0.0369041731975384,0.160016607845905,0.040331370879628,0,0.0247877343955717,0,0.133865973397568,0.204891924837234,0.250719083400555,0.0992009294696132,0.0928569106654806,0.0674872810131343,0.107513798158765,0.0301382902179976,0.102631259028892,0,0.0529444608763,0.0464491512326544,0,0.144960004720858,0,0.153027043464823,0,0.112700132749362,0.0736008995589537,0.0344129453183236
"9","LOC729737",0.476226132546232,0.305445278553553,1.38515489688434,0.28699939663384,0.32883646422954,0.662570115828146,0.646162657157894,0.413702388782177,0.892973815273334,0.928654569900175,0.186880831347234,0.121028667061668,0.549126980199267,0.75898534277657,0.615604626359265,0.165558254461174,0.472383789694643,0.433814084458027,1.52757083683282,1.77019475495132,1.64200835725712,0.552573811179844,1.49210955265261,0.696706079251689,1.8314719328477,0.575989947721817,1.49210955265261,0.492622328574446,0.263635403568329,2.31585601540396,0.292074949977542,1.27381424458704,0.575602776960449,0.346531462028019,0.312084261514754,0.661019860270164,0.917699073185017,0.2030131707745
"10","DDX11L17",0,0,0,0,0,0,0,0.069262211594843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382611923015188,0,0.160662080113344,0,0.153545951856674,0,0,0.26219258817258,0,0.126959644704224,0,0,0,0,0,0
"11","WASH9P",2.63459326844576,1.13487805434311,2.81023743059073,1.58014548442338,1.52656966049778,1.84799690655495,2.46701857168978,2.55875743037376,2.04753838876336,2.25701061820602,1.44360665147561,1.72770267283724,1.72421368675736,1.97636363573276,1.87931367631089,1.63505782972521,1.57288966842058,1.60596835884146,2.98823022306046,3.76341157447001,2.58736499093646,1.47508488294878,4.37642931106992,3.35741124701605,3.19692173382033,2.23143240844797,3.21692042585688,2.44042072075677,2.76934859947786,3.04875931191986,2.43776039353993,2.38929146200697,2.2144356975081,1.70708299177171,1.95121476442072,2.59526494203758,1.41845983758099,2.07724299893246
"12","MIR6859-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","LOC107985721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","LOC112268260",0.0330740694290323,0,0.0318327380046299,0,0,0.0300393859720785,0,0.0171950340819377,0,0,0,0.0259642933079754,0.0274796475952503,0.0494077251638209,0.0300393859720785,0,0.0184490187682,0,0,0,0,0.0251847530929269,0.0351593575173338,0,0,0,0.0389418089269237,0,0,0.0346242332378717,0,0,0,0,0.026063477307997,0,0,0.0256241821027015
"15","OR4F29",0.217727042033043,0.194969550093418,0.555718009203519,0.159112461230858,1.31730406836191,1.39231742277876,0.429428502087252,0.506805024263547,0.667029201410552,0.856228798219045,1.22897256976016,1.41034110461409,0.18269229751619,0.688404188397458,1.61729848284085,0.266156863646618,0.995375973474553,1.18776774704602,0.744763886953294,0.339365460967944,0.75898534277657,0.579759427412543,0,0.169668499523086,0.682393511062731,0.28699939663384,0.253505262186697,0.918233560226312,0.831390857513113,0,0.195851508575644,0.772645803092692,0.397912460176906,0.584770128557275,0.596458139558986,0.645886075687726,0.494876379945514,0.323773563691473
