Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
2046_B,0.0164415135273867,0.00809085879703443,0.0316831295153418,0.11173358580913,0,0.0514725208708261,0,0.121421680705427,0.0324026642888941,0,0,0.0482161578419955,0.037632236958727,0.167828187587224,0.083852957986849,0.27748398237083,0.0117405237403346,0,0,0,0,0,0.005,0.334989692631817,0.948856277107376
2046_S,0.0115400865325636,0,0,0.0989960016737873,0,0.0792218043563535,0,0.120058118006104,0.0358570804967555,0,0,0.0526195003421384,0.00692016943905147,0.213952897386732,0.119758262562712,0.224287184574988,0.0189443999314278,0,0.00837624568277089,0,0,0.0094682490146163,0.027,0.203808188409133,1.01712364781508
2271_B,0.133412541069943,0,0.0141640616450035,0.0443830017654421,0,0.0619452974465762,0,0.0517315756862596,0.0187181683292152,0,0,0.0483617776634829,0.00582079263936602,0.308173108947087,0.0275885257494897,0.233316791731572,0,0.00146869330167913,0.0509156640248835,0,0,0,0.047,0.166676658456024,1.03257421297012
2271_S,0.037626772094419,0,0.00139165179514171,0.164371210606301,0,0.0638034549197787,0,0.0473637179790852,0.0134943178044196,0,0,0,0.0104743746261548,0.178487718895033,0.0141342254856984,0.429803677001111,0,0,0.0337730259271274,0,0,0.00527585286573062,0.02,0.215775971533027,1.0142769029219
2472_B,0.00159427971461497,0.0029869352650815,0.0522216671596888,0.0617116523264037,0,0.190122302445524,0,0.190267033740513,0,0,0,0.0460158319227004,0.00800428154125403,0.0682123687120827,0.0854961982212793,0.285085698206939,0,0,0,0,0,0.00828175074391897,0.01,0.261730680412335,0.983614288790328
2472_S,0,0.0021406557477446,0.0222368765500948,0.0354952286419318,0,0.0791231459406693,0,0.0940479015624535,0,0,0,0.0294457523702619,0.0463259430124134,0.142481603240469,0.0541483674405306,0.36639150641119,0,0.0676182727030741,0.032708689231774,0,0,0.0278360571473934,0.018,0.217920821585814,1.00524654041363
2492_B,0,0.0304023622506076,0.0121412000395814,0.0766706584824359,0,0.157244738951211,0,0.14328805738027,0.0112981215088865,0,0,0.11820233042846,0.00256057918939583,0.136651524080258,0.154782888289041,0.0940736478937945,0.0351481917283077,0,0.0275356997777505,0,0,0,0.00600000000000001,0.320916799868722,0.961747602470451
2492_S,0.0193002635753462,0,0,0.0617647892429048,0,0.190531465228393,0,0.0404173548958316,0.0313919815832493,0,0,0.114224223061101,0.00566080200763362,0.15374595573879,0.181995035671932,0.0897588070488117,0.0114644132150131,0,0.0921450634448208,0,0,0.00759984528617282,0.00900000000000001,0.283748732746812,0.982043781640156
2653_B,0,0.00514190197939559,0.00929973542209095,0.104136258983016,0,0.207959372522228,0,0.0164163932498192,0.0188851256518613,0,0,0.0309373125959154,0.0279996317984845,0,0.0132729345259326,0.200912594627179,0.00410420484908567,0,0.360934533794992,0,0,0,0.002,0.429377737374955,0.903927026208437
2653_S,0.00450007160603219,0,0,0.0633464415469385,0,0.0602757588051792,0,0.0800748730806642,0.0151740847256859,0,0.00637177299226221,0.0124200502178186,0.020466877959565,0.247563047134088,0.0177771762239547,0.437622512285936,0,0,0.0344073334218751,0,0,0,0.001,0.450236803624881,0.896222799214649
2661_B,0.192671128953135,0,0.00857101541501641,0.108196020532991,0,0.1012071913596,0,0.0726666880975243,0.0331356075929845,0,0.0348914225537658,0.0256105971070408,0.0347117792126342,0.0177784211568222,0,0.256005968579105,0,0.00376596073667382,0.110435694948965,0,0,0.000352503753740454,0.599,0.0153158458502707,1.07279349918636
2661_S,0.0315033176662786,0,0,0,0,0.101123122228627,0,0.0586092300105675,0.0517803135056156,0,0.0240367888019073,0.0336691113491394,0.0106358448874905,0.155610291863638,0.00327252283391855,0.416486083039848,0,0,0.113273373812969,0,0,0,0.051,0.157044209239463,1.03503855201535
2677_B,0.0944714689910398,0,0.0156199359481406,0.087523034391903,0,0.22555592297684,0,0.0600472196688321,0.0421400669465313,0,0,0.0418995752372172,0.0326585378512187,0,0.0435295352154238,0.185460034463253,0.0203754882663323,0,0.145163174799662,0,0,0.00555600524360635,0.005,0.324176549580495,0.94917954491449
2677_S,0.0631268363397498,0,0.00636268099092071,0.0202795286692201,0,0.114138631911196,0,0.0312826158122168,0,0,0,0.00376459867089718,0.126781682830157,0,0.0332254245983714,0.539460353484026,0,0,0,0.031819888551003,0,0.0297577581422426,0.004,0.346941724756296,0.948787549595292
2691_B,0.00217868637214271,0.00144128579345899,0,0.0827789352696031,0,0.0951039750058253,0,0.0439166449643862,0.0155241846516191,0,0,0.0207692417558349,0,0.102396450653501,0.0388186865819526,0.584649080513792,0,0,0.012422828437885,0,0,0,0.002,0.426745899895303,0.909895561957622
