Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
2046_B,0.000606559742580313,0.0457487663097168,0.0134391314206286,0.102870546396062,0,0.0621499175305171,0.0127876777360412,0.125372210427397,0.0381795870843034,0,0.00518128310191119,0.0504902053018515,0.0287819628215949,0.146105189147858,0.0689908778019352,0.28088114228775,0.0115299163822132,0,0,0.00688502650764037,0,0,0,0.751858603879519,0.725795851840485
2046_S,0.0261167642345656,0,0,0.104442854086033,0,0.0876642159234118,0,0.109462172946484,0.036211021609884,0,0,0.0417304711171935,0.0277573276145448,0.125217322698189,0.105604452471956,0.306542038427315,0.00339305747785011,0,0.00586049363649044,0.00929814120411898,0,0.0106996665519647,0,0.47237614367307,0.880574732361408
2271_B,0.0591918761587936,0,0.00940085550528119,0.0505891985319066,0,0.0664316259662279,0.00542105075118132,0.0766427129217611,0.0188213943833026,0,0.0343956539176836,0,0,0.225915946560726,0.0313491230417285,0.368719227675471,0,0.00962598397986859,0.031135680452527,0,0,0.0123596701535416,0,0.441973810396209,0.897290835259187
2271_S,0.0319165411122246,0,0.000624905937690171,0.0718478383904892,0,0.158789260212237,0,0.0401829602101977,0.0017981473533081,0,0.0103087794551292,0.0276604747643538,0.0229256219179118,0.126911230380734,0.0206248079133012,0.437966552472113,0,0.01042777498752,0.0310308915173603,0.000878269370954333,0,0.00610594400447539,0,0.585890964572191,0.817619448274115
2472_B,0.0160855932872636,0.00335874104595239,0.0168097344380492,0.0879268138092303,0,0.140175289248945,0.00823301990939321,0.16154916242162,0.00354873857660448,0,0.0284698825890904,0.0492135082937223,0.0183722730198726,0.0392317206240107,0.0917372060020625,0.283122419936951,0.00713697514663911,0.0134270314586436,0.0173810429136339,0,0,0.0142208472783156,0,0.625995440325249,0.799256690320109
2472_S,0.0206493446963313,0.00755176042910811,0.00355211918466587,0.029081098931163,0,0.122538339572008,0,0.0960024965154302,0,0,0.015772104754085,0.0118295058298487,0.0142645648769229,0.146194209683765,0.0364060300749126,0.352437086220519,0,0.0919320312047717,0.0309979631738506,0,0,0.0207913448526173,0,0.565059256990856,0.83163276710176
2492_B,0,0.0258240511112613,0.0220868639658685,0.0972339257245458,0,0.12638922463104,0,0.124752506808864,0.0345853458038403,0,0,0.0908396508251652,0.00915878235764939,0.145880746177188,0.140515521637833,0.164061138409373,0.00235109817137689,0,0.0139136233095854,0,0,0.00240752106640795,0,0.545305098516034,0.840021522225823
2492_S,0.0156500904665715,0,0.00176692469307211,0.0905577063762736,0,0.13578191939122,0,0.0700385181185912,0.0311008574761388,0,0.0644323672970341,0.0711595119522212,0.0125558560844771,0.106750242116432,0.123322185207282,0.171866215337372,0.0229524264520139,0,0.0647712622566013,0,0,0.0172939167746991,0,0.512247370124331,0.859676080471916
2653_B,0.0202134347233195,0,0.00127472247266527,0.098555150430388,0,0.195230808964043,0,0.0328827080095454,0.0250255619863608,0,0,0.0177822772927509,0.00492843574141156,0.006433825946647,0.0294928716475715,0.272372790723889,0.00367154943785535,0.00139586801528005,0.286175997994613,0,0,0.00456399661365961,0,0.695723073667001,0.761101573232753
2653_S,0.00479201935362447,0.00298129223316576,0.000451692172009567,0.0719049702764035,0,0.131728308184609,0,0.0497118171022766,0.0119449519577902,0,0,0.0124750330526198,0.00544370947512074,0.244612502215101,0.0427374472289079,0.356416814042332,0,0,0.0271813324676697,0.0348400189822577,0,0.00277809125611178,0,0.852225330553508,0.628646481241031
