"","gene_id","2046_B","2046_S","2271_B","2271_S","2472_B","2472_S","2492_B","2492_S","2653_B","2653_S","2661_B","2661_S","2677_B","2677_S","2691_B","2691_S","2739_B","2739_S","2789_B","2789_S","2817_B","2817_S","2852_B","2852_S","2976_B","2976_S","3001_B","3001_S","3036_B","3036_S","3065_B","3065_S","3067_B","3067_S","3130_B","3130_S","3161_B","3161_S","97_B","97_S","OB_0139_B","OB_0139_S","OB_0157_B","OB_0157_S","OB_0190_B","OB_0190_S","OB_0235_B","OB_0235_S","OB_0261_B","OB_0261_S","OB_0273_B","OB_0273_S","OB_0237_B","OB_0237_S","OB_0080_B","OB_0080_S","OB_0095_B","OB_0095_S","OB_0163_B","OB_0163_S","OB_0168_B","OB_0168_S","OB_0315_B","OB_0315_S","OB_0344_B","OB_0344_S","OB_0001_B","OB_0001_S","OB_0038_B","OB_0038_S","OB_0234_B","OB_0234_S"
"1","TSPAN6",8.64,25.29,52.285,38.73,20.375,28.065,7.925,21.425,12.565,18.28,2.43,2.07,24.325,20.515,4.76,10.385,9.9,13.825,4.4,3.87,12.57,13.515,4.03,5.205,12.555,11.165,14.48,14.7,13.935,13.14,9.275,10.085,14.65,14.935,7.5,9.125,12.78,13.585,29.185,15.315,32.6,11.3,43.2,50.5,94.13,56.8,29.71,32.79,23.65,20.69,22.04,10.52,23.4,32.84,6.75,6.18,26.74,18.46,20.53,16.69,33.79,65.72,19.06,37.24,54.56,140.84,142.54,100.73,98,97.52,17.41,41.22
"2","TNMD",0,0.17,0.27,0.13,0,0,0,0,0.44,0.07,0,0,0.135,0.105,0,0,1.475,0.45,0,0,0,0.17,0.32,0.135,0.075,0.21,1.305,2.14,0,0.27,0.17,0.36,3.45,7.755,0.17,0.19,0.075,0,0.075,0,0.19,0.29,0.06,0,0.31,0.09,0.14,0.35,2.91,0.49,3.03,0,0.05,0,0.13,0,1.37,0,0.08,0.24,0.08,0.12,0.08,0.34,0.63,0.22,0.26,0.43,0.13,0,0,0
"3","DPM1",46.38,130.015,50.91,52.16,35.73,34.535,21.765,44.24,27,45.72,40.05,34.78,35.31,43.62,26.64,31.57,68.71,57.705,40.315,30.895,38.755,30.94,66.035,65.305,44.555,34.315,25.705,29.905,26.295,32.785,37.38,30.32,29.975,25.82,54.93,47.25,26.205,36.06,29.605,38.145,86.56,53.63,76.25,89.69,107.49,129.35,75.3,60.89,76.69,102.14,81.52,97.02,140.71,194.62,246.12,202.3,55.76,71.07,61.41,42.41,64.61,72.67,57.14,77.09,68.7,99.15,77.6,71.07,64.06,66.9,82.42,122.09
"4","SCYL3",5.775,7.855,16.01,8.73,7.365,9.765,10.15,7.845,7.41,20.95,11.91,24.295,12,18.95,5.355,13.985,9.185,10.915,6.21,9.615,11.78,7.275,6.265,6.975,9.325,16.725,6.965,13.805,7.08,9.105,6.585,10.765,9.77,7.21,16.08,16.435,8.695,26.865,8.345,14.68,16,9.57,8.63,6.79,10.7,5.43,8.23,9.68,15.36,18.77,15.51,18.06,14.07,12.92,13.38,17.04,9.48,7.74,13.29,11.31,12.98,15.68,8.79,12.46,9.52,13.76,6.87,9.38,17.83,22,21.2,12.21
"5","FIRRM",4.955,14.815,15.47,10.96,11.515,14.935,3.61,5.99,2.175,4.825,3.97,5.895,6.08,5.57,2.365,2.64,4.63,3.19,3.225,3.435,5.67,2.63,2.775,4.24,3.39,3.835,2.635,3.735,2.25,4.185,4.4,2.465,4.27,2.59,3.875,3.285,2.755,4.36,5.73,5.185,10.27,11.34,7.22,9.15,23.88,13.02,5.38,4.87,30.89,26.93,31.95,16.79,12.01,38.11,29.33,4.59,26.52,7.27,5.84,18.27,7.14,9.72,10.9,9.46,20.63,19.95,11.37,20.5,23.52,8.65,6.75,19.82
"6","FGR",7.95,4.35,1.885,5.82,3.855,4.825,10.93,9.87,1.525,9.76,2.46,2.935,6.43,8.8,27.84,4.175,2.455,3.425,2.36,7.76,8.185,12.095,3.52,3.115,4.935,9.9,3.925,5.655,5.04,8.365,8.82,5.325,4.33,9.22,3.275,3.5,2.32,2.49,7.225,11.17,15.2,80.62,10.55,5.16,2.51,2.79,3.33,6.55,13.31,2.76,11.97,4.17,9.48,3.14,8.21,2.54,8.03,4.03,1.81,31.59,1.63,5.58,6.37,8.16,10.68,5.37,6.23,6.9,3.27,14.48,4.21,4.14
"7","CFH",11.085,3.52,11.99,63.92,7.71,19.935,16.48,37.92,10.325,42.095,0.875,12.19,53.375,36.925,38.025,69.82,15.525,44.175,40.95,43.135,28.895,58.705,18.285,20.505,36.61,51.835,37.455,72.22,55.27,93.545,30.82,101.41,19.82,70.33,49.945,75,50.7,38.07,21.73,19.15,31.36,48.09,30.16,29.8,28.26,10.42,54.27,199.02,30.56,10.16,30.89,30.14,23.86,8.61,26.53,20.05,56.16,5.01,18.31,86.04,24.64,35.08,30.43,52.59,93.56,31.54,20.11,37.92,49.51,51.72,24.64,23.62
"8","FUCA2",23.35,42.39,48.53,53.285,23.525,38.035,26.185,47.73,14.04,41.42,27.675,33.785,28.095,49.215,36.75,42.685,35.24,34.31,23.685,25.34,26.065,21.825,39.36,44.855,38.98,43.25,15.375,20.98,22.775,37.275,26.995,31.85,30.55,30.47,40,53.78,26.095,30.44,30.275,30.27,42.79,67.67,23.91,23.02,46.57,71.55,28.62,28.61,32.57,21.93,34.79,38.61,31.87,61.88,30.28,31.32,26.64,29.81,48.12,48.75,31.88,39.25,36.99,55.97,46.62,34.74,16.01,18.9,66.14,63.94,38.99,34.91
"9","GCLC",16.24,25.895,28.12,21.45,13.65,20.025,8.025,15.2,13.495,33.28,56.56,103.305,23.965,36.67,15.405,15.69,9.22,16.155,7.665,12.31,24.975,15.72,28.895,30.12,29.35,35.065,18.545,29.975,19.46,20.29,23.74,21.29,10.55,18.44,19.74,19.625,17.17,27.825,14.085,14.715,14.05,23.2,9.38,6.7,10.46,9.82,12.54,12.26,16.07,13.01,16.12,23.94,7.56,11.33,16.92,24.3,12.11,29.46,17.97,16.74,19.66,32.53,15.25,22.09,12.36,12.06,8.78,11.49,9.29,18.91,6.18,13
"10","NFYA",23.1,45.35,43.46,34.885,16.71,18.055,14.925,20.88,7.35,12.205,23.33,30.335,22.925,20.775,8.175,7.38,17.845,13.95,18.445,15.29,25.085,11.345,11.96,10.67,24.175,18.81,15.095,16.95,13.135,13.75,15.79,15.025,18.335,11.225,15.9,12.105,12.225,19.075,10.81,12.165,15.96,9.37,18.15,13.31,30.45,19.37,11.78,9.77,21.38,18.26,20.77,13.06,7.7,13.55,15.03,16.39,11.32,10.96,19.74,8.47,14.11,17.83,13.65,15.95,12.87,16.26,7.21,9.36,21.49,19.06,10.86,9.07
