sample_id,cluster_assignment
OB_0001_delta,1
OB_0315_delta,1
OB_0080_delta,1
97_delta,1
3161_delta,1
3130_delta,1
3067_delta,1
3065_delta,1
3001_delta,1
2852_delta,1
2817_delta,1
2677_delta,1
2472_delta,1
2661_delta,1
OB_0234_delta,2
OB_0344_delta,2
OB_0095_delta,2
OB_0237_delta,2
OB_0273_delta,2
OB_0261_delta,2
OB_0190_delta,2
OB_0157_delta,2
2691_delta,2
2046_delta,2
2492_delta,2
OB_0038_delta,3
OB_0168_delta,3
OB_0163_delta,3
OB_0235_delta,3
OB_0139_delta,3
3036_delta,3
2976_delta,3
2789_delta,3
2739_delta,3
2271_delta,3
2653_delta,3
