sample_id,base_id
delta_BT549_EPI_R1,BT549
delta_BT549_EPI_R2,BT549
delta_BT549_EPI_R3,BT549
delta_DU4475_EPI_R1,DU4475
delta_DU4475_EPI_R2,DU4475
delta_DU4475_EPI_R3,DU4475
delta_HCC1395_EPI_R1,HCC1395
delta_HCC1395_EPI_R2,HCC1395
delta_HCC1395_EPI_R3,HCC1395
delta_HCC1806_EPI_R1,HCC1806
delta_HCC1806_EPI_R2,HCC1806
delta_HCC1806_EPI_R3,HCC1806
delta_HCC38_EPI_R1,HCC38
delta_HCC38_EPI_R2,HCC38
delta_HCC38_EPI_R3,HCC38
delta_Hs578t_EPI_R1,Hs578t
delta_Hs578t_EPI_R2,Hs578t
delta_Hs578t_EPI_R3,Hs578t
delta_MDAMB231_EPI_R1,MDAMB231
delta_MDAMB231_EPI_R2,MDAMB231
delta_MDAMB231_EPI_R3,MDAMB231
delta_MDAMB468_EPI_R1,MDAMB468
delta_MDAMB468_EPI_R2,MDAMB468
delta_MDAMB468_EPI_R3,MDAMB468
delta_MDAMB157_EPI_R1,MDAMB157
delta_MDAMB157_EPI_R2,MDAMB157
delta_MDAMB157_EPI_R3,MDAMB157
