column,normalized_symbol,selected_signature_gene,detection_method
RERE,RERE,FALSE,user-specified first gene-column index: 39
RNF165,RNF165,FALSE,user-specified first gene-column index: 39
PHF7,PHF7,FALSE,user-specified first gene-column index: 39
CIDEA,CIDEA,FALSE,user-specified first gene-column index: 39
TENT2,TENT2,FALSE,user-specified first gene-column index: 39
SLC17A3,SLC17A3,FALSE,user-specified first gene-column index: 39
SDS,SDS,FALSE,user-specified first gene-column index: 39
ATP6V1C2,ATP6V1C2,FALSE,user-specified first gene-column index: 39
F3,F3,FALSE,user-specified first gene-column index: 39
FAM71C,FAM71C,FALSE,user-specified first gene-column index: 39
LIN52,LIN52,FALSE,user-specified first gene-column index: 39
PCOTH,PCOTH,FALSE,user-specified first gene-column index: 39
GRM1,GRM1,FALSE,user-specified first gene-column index: 39
FXN,FXN,FALSE,user-specified first gene-column index: 39
SLC9A1,SLC9A1,TRUE,user-specified first gene-column index: 39
PML,PML,TRUE,user-specified first gene-column index: 39
CD164,CD164,FALSE,user-specified first gene-column index: 39
MOB3A,MOB3A,FALSE,user-specified first gene-column index: 39
HGC6.1.1,HGC6.1.1,FALSE,user-specified first gene-column index: 39
OR1J2,OR1J2,FALSE,user-specified first gene-column index: 39
GNG5,GNG5,FALSE,user-specified first gene-column index: 39
TAF15,TAF15,FALSE,user-specified first gene-column index: 39
EXTL3,EXTL3,FALSE,user-specified first gene-column index: 39
CNPY3,CNPY3,FALSE,user-specified first gene-column index: 39
FAM174C,FAM174C,FALSE,user-specified first gene-column index: 39
LOC154449,LOC154449,FALSE,user-specified first gene-column index: 39
GATD3A,GATD3A,FALSE,user-specified first gene-column index: 39
P2RX1,P2RX1,TRUE,user-specified first gene-column index: 39
LRR1,LRR1,FALSE,user-specified first gene-column index: 39
ATP1B2,ATP1B2,FALSE,user-specified first gene-column index: 39
UBLCP1,UBLCP1,FALSE,user-specified first gene-column index: 39
LINC00937,LINC00937,FALSE,user-specified first gene-column index: 39
IFNL3,IFNL3,FALSE,user-specified first gene-column index: 39
DES,DES,FALSE,user-specified first gene-column index: 39
HERC2P9,HERC2P9,FALSE,user-specified first gene-column index: 39
PRR16,PRR16,FALSE,user-specified first gene-column index: 39
HIPK2,HIPK2,FALSE,user-specified first gene-column index: 39
SHMT2,SHMT2,FALSE,user-specified first gene-column index: 39
MRPS5,MRPS5,FALSE,user-specified first gene-column index: 39
SNORD36C,SNORD36C,FALSE,user-specified first gene-column index: 39
SPN,SPN,FALSE,user-specified first gene-column index: 39
CHRNA6,CHRNA6,FALSE,user-specified first gene-column index: 39
TBC1D22A,TBC1D22A,FALSE,user-specified first gene-column index: 39
RPL35,RPL35,FALSE,user-specified first gene-column index: 39
SSTR4,SSTR4,FALSE,user-specified first gene-column index: 39
ST6GALNAC4,ST6GALNAC4,FALSE,user-specified first gene-column index: 39
TM2D1,TM2D1,FALSE,user-specified first gene-column index: 39
RASD2,RASD2,FALSE,user-specified first gene-column index: 39
UBE2DNL,UBE2DNL,FALSE,user-specified first gene-column index: 39
TFAP2D,TFAP2D,FALSE,user-specified first gene-column index: 39
ITGA10,ITGA10,FALSE,user-specified first gene-column index: 39
ETFRF1,ETFRF1,FALSE,user-specified first gene-column index: 39
PLPPR1,PLPPR1,FALSE,user-specified first gene-column index: 39
MARS2,MARS2,FALSE,user-specified first gene-column index: 39
MAGEC1,MAGEC1,FALSE,user-specified first gene-column index: 39
PDIA6,PDIA6,FALSE,user-specified first gene-column index: 39
FLJ41130,FLJ41130,FALSE,user-specified first gene-column index: 39
CYP2B6,CYP2B6,FALSE,user-specified first gene-column index: 39
SLC25A25,SLC25A25,FALSE,user-specified first gene-column index: 39
FGFBP2,FGFBP2,FALSE,user-specified first gene-column index: 39
LRRC23,LRRC23,FALSE,user-specified first gene-column index: 39
PNCK,PNCK,FALSE,user-specified first gene-column index: 39
RPS24,RPS24,FALSE,user-specified first gene-column index: 39
NRDE2,NRDE2,FALSE,user-specified first gene-column index: 39
