cohort,variable,level,n,missing_n
METABRIC,age_5y,continuous,412,0
METABRIC,tumor_size,>50 mm,45,6
METABRIC,tumor_size,≤20 mm,119,6
METABRIC,tumor_size,21-50 mm,242,6
METABRIC,tumor_size,NA,6,6
METABRIC,grade,1-2,84,5
METABRIC,grade,3,323,5
METABRIC,grade,NA,5,5
METABRIC,pam50,Basal,113,73
METABRIC,pam50,Her2,88,73
METABRIC,pam50,LumA,56,73
METABRIC,pam50,LumB,47,73
METABRIC,pam50,Normal,35,73
METABRIC,pam50,NA,73,73
METABRIC,clinical_subtype,HR-/HER2-,165,0
METABRIC,clinical_subtype,HR-/HER2+,77,0
METABRIC,clinical_subtype,HR+/HER2-,144,0
METABRIC,clinical_subtype,HR+/HER2+,26,0
SCANB,age_5y,continuous,2462,0
SCANB,tumor_size,>50 mm,86,0
SCANB,tumor_size,≤20 mm,1414,0
SCANB,tumor_size,21-50 mm,962,0
SCANB,grade,1-2,1002,0
SCANB,grade,3,1460,0
SCANB,pam50,Basal,377,0
SCANB,pam50,Her2,481,0
SCANB,pam50,LumA,580,0
SCANB,pam50,LumB,737,0
SCANB,pam50,Normal,287,0
SCANB,clinical_subtype,HR-/HER2-,416,0
SCANB,clinical_subtype,HR-/HER2+,173,0
SCANB,clinical_subtype,HR+/HER2-,1454,0
SCANB,clinical_subtype,HR+/HER2+,419,0
