gene,n_input_columns,method,cohort
A1BG,1,max_variance,METABRIC
A1CF,1,max_variance,METABRIC
A2M,1,max_variance,METABRIC
A2ML1,1,max_variance,METABRIC
A4GALT,1,max_variance,METABRIC
A4GNT,1,max_variance,METABRIC
AA06,1,max_variance,METABRIC
AAA1,1,max_variance,METABRIC
AAAS,1,max_variance,METABRIC
AACS,1,max_variance,METABRIC
AACSP1,1,max_variance,METABRIC
AADAC,1,max_variance,METABRIC
AADACL2,1,max_variance,METABRIC
AADACL3,1,max_variance,METABRIC
AADACL4,1,max_variance,METABRIC
AADAT,1,max_variance,METABRIC
AAK1,1,max_variance,METABRIC
AAMDC,1,max_variance,METABRIC
AAMP,1,max_variance,METABRIC
AANAT,1,max_variance,METABRIC
AAR2,1,max_variance,METABRIC
AARD,1,max_variance,METABRIC
AARS1,1,max_variance,METABRIC
AARS2,1,max_variance,METABRIC
AASDH,1,max_variance,METABRIC
AASDHPPT,1,max_variance,METABRIC
AASS,1,max_variance,METABRIC
AATBC,1,max_variance,METABRIC
AATF,1,max_variance,METABRIC
AATK,1,max_variance,METABRIC
ABAT,1,max_variance,METABRIC
ABCA1,1,max_variance,METABRIC
ABCA10,1,max_variance,METABRIC
ABCA11P,1,max_variance,METABRIC
ABCA12,1,max_variance,METABRIC
ABCA13,1,max_variance,METABRIC
ABCA17P,1,max_variance,METABRIC
ABCA2,1,max_variance,METABRIC
ABCA3,1,max_variance,METABRIC
ABCA4,1,max_variance,METABRIC
ABCA5,1,max_variance,METABRIC
ABCA6,1,max_variance,METABRIC
ABCA7,1,max_variance,METABRIC
ABCA8,1,max_variance,METABRIC
ABCA9,1,max_variance,METABRIC
ABCB1,1,max_variance,METABRIC
ABCB10,1,max_variance,METABRIC
ABCB11,1,max_variance,METABRIC
ABCB4,1,max_variance,METABRIC
ABCB5,1,max_variance,METABRIC
ABCB6,1,max_variance,METABRIC
ABCB7,1,max_variance,METABRIC
ABCB8,1,max_variance,METABRIC
ABCB9,1,max_variance,METABRIC
ABCC1,1,max_variance,METABRIC
ABCC10,1,max_variance,METABRIC
ABCC11,1,max_variance,METABRIC
ABCC12,1,max_variance,METABRIC
ABCC13,1,max_variance,METABRIC
ABCC2,1,max_variance,METABRIC
ABCC3,1,max_variance,METABRIC
ABCC4,1,max_variance,METABRIC
ABCC5,1,max_variance,METABRIC
ABCC6,1,max_variance,METABRIC
ABCC8,1,max_variance,METABRIC
ABCC9,1,max_variance,METABRIC
ABCD1,1,max_variance,METABRIC
ABCD2,1,max_variance,METABRIC
ABCD3,1,max_variance,METABRIC
ABCD4,1,max_variance,METABRIC
ABCE1,1,max_variance,METABRIC
ABCF1,1,max_variance,METABRIC
ABCF2,1,max_variance,METABRIC
ABCF3,1,max_variance,METABRIC
ABCG1,1,max_variance,METABRIC
ABCG2,1,max_variance,METABRIC
ABCG4,1,max_variance,METABRIC
ABCG5,1,max_variance,METABRIC
ABCG8,1,max_variance,METABRIC
ABHD1,1,max_variance,METABRIC
ABHD10,1,max_variance,METABRIC
ABHD11,1,max_variance,METABRIC
ABHD11-AS1,1,max_variance,METABRIC
ABHD12,1,max_variance,METABRIC
ABHD12B,1,max_variance,METABRIC
ABHD13,1,max_variance,METABRIC
ABHD14A,1,max_variance,METABRIC
ABHD14B,1,max_variance,METABRIC
ABHD15,1,max_variance,METABRIC
ABHD16A,1,max_variance,METABRIC
ABHD16B,1,max_variance,METABRIC
ABHD17A,1,max_variance,METABRIC
ABHD17AP3,1,max_variance,METABRIC
ABHD17B,1,max_variance,METABRIC
ABHD17C,1,max_variance,METABRIC
ABHD18,1,max_variance,METABRIC
ABHD2,1,max_variance,METABRIC
ABHD3,1,max_variance,METABRIC
ABHD4,1,max_variance,METABRIC
ABHD5,1,max_variance,METABRIC
ABHD6,1,max_variance,METABRIC
ABHD8,1,max_variance,METABRIC
ABI1,1,max_variance,METABRIC
ABI2,1,max_variance,METABRIC
ABI3,1,max_variance,METABRIC
ABI3BP,1,max_variance,METABRIC
ABITRAM,1,max_variance,METABRIC
ABL1,1,max_variance,METABRIC
ABL2,1,max_variance,METABRIC
ABLIM1,1,max_variance,METABRIC
ABLIM2,1,max_variance,METABRIC
ABLIM3,1,max_variance,METABRIC
ABO,1,max_variance,METABRIC
ABR,1,max_variance,METABRIC
ABRA,1,max_variance,METABRIC
ABRACL,1,max_variance,METABRIC
ABRAXAS1,1,max_variance,METABRIC
ABRAXAS2,1,max_variance,METABRIC
ABT1,1,max_variance,METABRIC
ABTB1,1,max_variance,METABRIC
ABTB2,1,max_variance,METABRIC
ACAA1,1,max_variance,METABRIC
ACAA2,1,max_variance,METABRIC
ACACA,1,max_variance,METABRIC
ACACB,1,max_variance,METABRIC
ACAD10,1,max_variance,METABRIC
ACAD11,1,max_variance,METABRIC
ACAD8,1,max_variance,METABRIC
ACAD9,1,max_variance,METABRIC
ACADL,1,max_variance,METABRIC
ACADM,1,max_variance,METABRIC
ACADS,1,max_variance,METABRIC
ACADSB,1,max_variance,METABRIC
ACADVL,1,max_variance,METABRIC
ACAN,1,max_variance,METABRIC
