gene,signature,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,source_p_adjust,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,selected,selection_source
ABCC3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.6544268478096e-4,2.5178185359478e-4,0.439,0.439,2.5178185359478e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ABHD6,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.8573450015974e-4,1.404285972505e-4,0.463,0.463,1.404285972505e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ABO,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,5.60725872668679e-5,4.8837657709334e-5,0.508,0.508,4.8837657709334e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ACSM5,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00212487831681149,8.439065698139e-4,0.37,0.37,8.439065698139e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ACY3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00535150178424089,0.00250024000366731,0.348,0.348,0.00250024000366731,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ADAP2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.73567326340113e-5,7.67774128825117e-6,0.537,0.537,7.67774128825117e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ADPGK-AS1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,5.1532696653788e-4,2.57561802775e-4,0.429,0.429,2.57561802775e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
AGAP5,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.13368187767864e-5,3.53505890652892e-6,0.538,0.538,3.53505890652892e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
AKAP17A,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.57687124079368e-5,1.02624928209062e-5,0.544,0.544,1.02624928209062e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
AKAP5,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,4.2553855150953e-4,3.7462830744148e-4,0.426,0.426,3.7462830744148e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
AKNA,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.17104297871348e-6,3.9092492947381e-7,0.577,0.577,3.9092492947381e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ALDOB,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00407248313605627,0.00364482197599023,0.354,0.354,0.00364482197599023,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ALPL,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.6187218769477e-4,5.39637714365446e-5,0.442,0.442,5.39637714365446e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ANKHD1-EIF4EBP3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00390235916753713,0.00217005241160163,0.367,0.367,0.00217005241160163,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ANKRD53,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.0140527427350443,0.00807963613307986,0.306,0.306,0.00807963613307986,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
APOBEC3F,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.6208949619238e-4,1.7021343408319e-4,0.467,0.467,1.7021343408319e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
APOL1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.03223455687659e-6,4.07524760934385e-7,0.614,0.614,4.07524760934385e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
APOL2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,3.98433395081161e-7,1.33191830579776e-7,0.618,0.618,1.33191830579776e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
APOL3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,4.3666711407559e-7,2.59789594756527e-7,0.59,0.59,2.59789594756527e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
APOL6,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.34658044983593e-5,9.56788649763511e-6,0.522,0.522,9.56788649763511e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ARAP3,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.89926325120823e-5,6.21505751286827e-6,0.522,0.522,6.21505751286827e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ARHGAP23,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00132785443889529,6.7380453971009e-4,0.41,0.41,6.7380453971009e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ARHGAP6,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,3.14537615047591e-5,2.62883952422283e-5,0.484,0.484,2.62883952422283e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ARHGEF18,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.58198488916583e-5,4.24411960130958e-5,0.507,0.507,4.24411960130958e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ARMH1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.4215706977343e-4,4.98568634744032e-5,0.461,0.461,4.98568634744032e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ARSA,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.41657658009337e-6,6.01210638503637e-7,0.6,0.6,6.01210638503637e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ASIP,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,0.00286804526718888,0.00190970637409601,0.377,0.377,0.00190970637409601,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ASPHD2,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.86359311271811e-5,1.54520453848562e-5,0.519,0.519,1.54520453848562e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
