gene,signature,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,source_p_adjust,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,selected,selection_source
ATP5F1C,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,5.12492288581965e-7,9.42832155450119e-7,0.583,0.583,9.42832155450119e-7,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ABCC4,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,5.54202034707555e-6,0.999999999998396,0.639,0.639,0.999999999998396,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
DAP3,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,5.54202034707555e-6,0.0081569414933694,0.573,0.573,0.0081569414933694,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
HMGA1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,5.54202034707555e-6,1.60628988157096e-5,0.671,0.671,1.60628988157096e-5,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
YWHAE,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,5.54202034707555e-6,6.76289718250927e-5,0.664,0.664,6.76289718250927e-5,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
OLA1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,5.54202034707555e-6,1.98136881731743e-5,0.672,0.672,1.98136881731743e-5,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
PSMD14,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,6.99286666089078e-6,1.877999547582e-4,0.649,0.649,1.877999547582e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
RAC3,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,1.5218344544095e-5,2.35826126531416e-5,0.651,0.651,2.35826126531416e-5,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
TRAP1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,3.2992511592632e-5,0.0763280203964366,0.612,0.612,0.0763280203964366,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NTHL1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,3.55174201427942e-5,2.35826126531416e-5,0.604,0.604,2.35826126531416e-5,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
LYPLA1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,4.87920317338894e-5,0.00195598570094478,0.584,0.584,0.00195598570094478,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
GMPS,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,6.60929194087562e-5,0.0768217803256406,0.513,0.513,0.0768217803256406,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PAIP1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,6.67813924120673e-5,3.9742720268445e-4,0.614,0.614,3.9742720268445e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
MPZL1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,7.63986283581443e-5,0.999999999998396,0.764,0.764,0.999999999998396,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
SNHG16,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,8.60352322151659e-5,2.2493886933852e-4,0.617,0.617,2.2493886933852e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
EIF3E,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,8.60352322151659e-5,3.5938376836702e-4,0.531,0.531,3.5938376836702e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
ACBD6,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,8.60352322151659e-5,2.752876543813e-4,0.614,0.614,2.752876543813e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
MEMO1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,8.60352322151659e-5,0.00335148930223419,0.564,0.564,0.00335148930223419,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
DCTD,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,8.94648286499429e-5,0.999999999998396,0.73,0.73,0.999999999998396,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
EIF3M,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,9.171285587366e-5,2.2251080004446e-4,0.61,0.61,2.2251080004446e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
STRAP,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,9.171285587366e-5,2.2255515216271e-4,0.61,0.61,2.2255515216271e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
VDAC1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,1.1027263587175e-4,0.106433401958162,0.607,0.607,0.106433401958162,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
GDI2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,1.1027263587175e-4,0.00248254941241606,0.572,0.572,0.00248254941241606,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
METTL5,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,1.2048131447751e-4,1.6516286682535e-4,0.581,0.581,1.6516286682535e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
ADRM1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,1.5432986543491e-4,0.0768217803256406,0.675,0.675,0.0768217803256406,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
MALSU1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,1.5459197283134e-4,0.00248254941241606,0.53,0.53,0.00248254941241606,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
TMEM147,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,1.5709689615892e-4,3.5423153622803e-4,0.596,0.596,3.5423153622803e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
ANTXR2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,1.5709689615892e-4,0.999999999998396,0.638,0.638,0.999999999998396,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
GTF2F2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,1.6691408740265e-4,3.970998991578e-4,0.594,0.594,3.970998991578e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
BZW2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,1.7196650387409e-4,0.025969047943156,0.552,0.552,0.025969047943156,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
DCAF13,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,1.8681086813732e-4,2.2251080004446e-4,0.564,0.564,2.2251080004446e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
CHCHD3,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,2.2487411234899e-4,0.00247380083474007,0.568,0.568,0.00247380083474007,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
GLRX3,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,2.2487411234899e-4,2.2255515216271e-4,0.556,0.556,2.2255515216271e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
SMURF2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,2.2518167581713e-4,0.587817010218801,0.599,0.599,0.587817010218801,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
DPYD,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,2.2518167581713e-4,0.999999999998396,0.746,0.746,0.999999999998396,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
TBCA,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,2.2548253799766e-4,3.0565713603301e-4,0.575,0.575,3.0565713603301e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
NAA10,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,2.2548253799766e-4,0.0338005714204382,0.594,0.594,0.0338005714204382,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
PPP1R14B,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,3.4735001375515e-4,3.4454147178186e-4,0.558,0.558,3.4454147178186e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
GLUD1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,3.5675184681172e-4,0.999999999998396,0.687,0.687,0.999999999998396,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
MRPL24,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,3.5675184681172e-4,3.0565713603301e-4,0.537,0.537,3.0565713603301e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
CMSS1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,3.6326492698351e-4,0.00135260074775015,0.57,0.57,0.00135260074775015,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
MRPS12,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,4.1499918407902e-4,0.00704937783549192,0.542,0.542,0.00704937783549192,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
PPIA,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,4.1499918407902e-4,0.0246772651595348,0.637,0.637,0.0246772651595348,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
TCEA1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,4.5971293117996e-4,0.00108138353296365,0.567,0.567,0.00108138353296365,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
PWP1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,4.8837279682179e-4,0.00704937783549192,0.534,0.534,0.00704937783549192,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
YWHAQ,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,4.8837279682179e-4,0.00149771905099739,0.563,0.563,0.00149771905099739,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
NME2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,4.8837279682179e-4,3.941596225357e-4,0.492,0.492,3.941596225357e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
MRPL11,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,5.0927518525113e-4,0.0138861136586444,0.577,0.577,0.0138861136586444,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
E2F5,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,5.0927518525113e-4,6.1362882386058e-4,0.553,0.553,6.1362882386058e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
XPOT,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,5.2950695392953e-4,0.731563574366347,0.592,0.592,0.731563574366347,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
CDK8,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,5.627342373674e-4,0.163554538884882,0.517,0.517,0.163554538884882,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NUDCD1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,5.78283586991e-4,0.00108138353296365,0.558,0.558,0.00108138353296365,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
ZNF593,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,5.78283586991e-4,0.00933331227519146,0.538,0.538,0.00933331227519146,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
FUT8,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,5.823288500885e-4,0.999999999998396,0.552,0.552,0.999999999998396,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
LDHA,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,5.823288500885e-4,0.0157761193711084,0.499,0.499,0.0157761193711084,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
PAFAH1B1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,1,NO,5.823288500885e-4,0.999999999998396,0.718,0.718,0.999999999998396,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
ELP2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,5.9339077046913e-4,0.230112072404462,0.492,0.492,0.230112072404462,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PTGES2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,5.9339077046913e-4,0.0822949347102089,0.578,0.578,0.0822949347102089,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
PPA2,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,5.9737542509514e-4,0.00247380083474007,0.552,0.552,0.00247380083474007,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
TBC1D7,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,6.2813754187066e-4,0.0401003043543018,0.546,0.546,0.0401003043543018,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
MRPS35,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,6.3224024603572e-4,8.1631401826412e-4,0.544,0.544,8.1631401826412e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
YWHAZ,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,2,NO,7.0006687230154e-4,0.0328731753796313,0.502,0.502,0.0328731753796313,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
AURKAIP1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,1,NO,7.0006687230154e-4,0.172262430381147,0.504,0.504,0.172262430381147,TRUE,FALSE,FALSE,TRUE,FALSE,cimic meta_results.csv
NPM1,Dys-CIM,ALL3_NKI.NEO.TNBCCL,0.3,2,3,2,YES,7.2800501839619e-4,7.4002201235958e-4,0.522,0.522,7.4002201235958e-4,TRUE,TRUE,FALSE,TRUE,FALSE,cimic meta_results.csv
