cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,term,harmonized_variable,display_label,reference_level,comparison_level,estimate,hazard_ratio,conf_low,conf_high,p_value,term_ph_p,model_status,warning_text,p_adjust_model_terms,p_adjust_signature,exposure_coefficient,cox_fdr_supported,significance_value,significance_cutoff,significant,model_color,source_column,source_derivation
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,412,223,189,206,206,104,119,412,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.07587058309970612,1.078822947200642,0.94905506248259,1.2263344851269156,0.24592455009038103,0.18174821890495438,converged,NA,0.24592455009038103,0.24592455009038103,TRUE,FALSE,0.24592455009038103,0.05,FALSE,#4DAF4A,ssGSEA score,within-cohort z standardization
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.0371789115917829,1.0378786927572312,0.9064949089685669,1.1883047220917282,0.5903134388478849,0.273959304977722,converged,NA,0.5903134388478849,0.5903134388478849,TRUE,FALSE,0.5903134388478849,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,age_5y,age_5y,Age (per 5 years),per 5-year increase,+5 years,0.13654509398342926,1.146306568139685,1.0724560056156387,1.2252425659231359,5.850823030115401e-5,0.009334608253331883,converged,NA,4.680658424092321e-4,NA,FALSE,FALSE,NA,0.05,FALSE,#E41A1C,AGE_AT_DIAGNOSIS,numeric age divided by 5
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,tumor_size21-50 mm,tumor_size,Tumor size: 21-50 vs ≤20 mm,≤20 mm,21-50 mm,0.19923164000269986,1.2204646415919829,0.8912903099418689,1.6712107433024788,0.21411277928463981,NA,converged,NA,0.2755776534255903,NA,FALSE,FALSE,NA,0.05,FALSE,#E41A1C,Tumor_Size_Cat,harmonized or derived size category
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,tumor_size>50 mm,tumor_size,Tumor size: >50 vs ≤20 mm,≤20 mm,>50 mm,0.31458545395187315,1.3696913930969157,0.8592011551008424,2.1834869531845325,0.18611262675275397,NA,converged,NA,0.2755776534255903,NA,FALSE,FALSE,NA,0.05,FALSE,#E41A1C,Tumor_Size_Cat,harmonized or derived size category
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,grade3,grade,Grade: 3 vs 1-2,1-2,3,0.33738425700184943,1.4012774109567607,0.9486916537930795,2.0697751209329827,0.09001874241998091,NA,converged,NA,0.18003748483996182,NA,FALSE,FALSE,NA,0.05,FALSE,#E41A1C,NHG_Cat,grade 1/2 versus grade 3
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,clinical_subtypeHR+/HER2+,clinical_subtype,HR+/HER2+ vs HR+/HER2-,HR+/HER2-,HR+/HER2+,0.5578062474024422,1.7468361674721977,0.9915357654370445,3.077485152181029,0.053539353935100786,NA,converged,NA,0.1427716104936021,NA,FALSE,FALSE,NA,0.05,FALSE,#E41A1C,Clinical_Subtype,harmonized receptor subtype
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,clinical_subtypeHR-/HER2+,clinical_subtype,HR-/HER2+ vs HR+/HER2-,HR+/HER2-,HR-/HER2+,0.6339718552390405,1.8850830065566964,1.2770640270431937,2.78258401016619,0.0014183090691372447,NA,converged,NA,0.005673236276548979,NA,FALSE,FALSE,NA,0.05,FALSE,#E41A1C,Clinical_Subtype,harmonized receptor subtype
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,clinical_subtypeHR-/HER2-,clinical_subtype,HR-/HER2- vs HR+/HER2-,HR+/HER2-,HR-/HER2-,0.20953385683551945,1.2331031233737144,0.8686412365300291,1.7504848364649848,0.24113044674739156,NA,converged,NA,0.2755776534255903,NA,FALSE,FALSE,NA,0.05,FALSE,#E41A1C,Clinical_Subtype,harmonized receptor subtype
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,412,223,189,206,206,104,119,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.15336031275855097,1.1657449360539183,0.8956217834404658,1.5173383241249485,0.25416040244093757,NA,converged,NA,0.25416040244093757,0.25416040244093757,TRUE,FALSE,0.25416040244093757,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
