cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,term,harmonized_variable,display_label,reference_level,comparison_level,estimate,hazard_ratio,conf_low,conf_high,p_value,term_ph_p,model_status,warning_text,p_adjust_model_terms,p_adjust_signature,exposure_coefficient,cox_fdr_supported,significance_value,significance_cutoff,significant,model_color,source_column,source_derivation
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,412,223,189,206,206,104,119,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.15336031275855097,1.1657449360539183,0.8956217834404658,1.5173383241249485,0.25416040244093757,NA,converged,NA,0.25416040244093757,0.25416040244093757,TRUE,FALSE,0.25416040244093757,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.047062290056874984,1.0481872986926388,0.7951520045747152,1.3817441279396714,0.7384848593881725,NA,converged,NA,0.7384848593881725,0.7384848593881725,TRUE,FALSE,0.7384848593881725,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,412,223,189,206,206,124,99,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.39437792710427694,0.6740992477172684,0.5165243323528493,0.8797451878076666,0.0036948076801268893,NA,converged,NA,0.0036948076801268893,0.007389615360253779,TRUE,TRUE,0.007389615360253779,0.05,TRUE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,216,186,202,200,120,96,412,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.3764131510134019,0.6863187211838981,0.5218033767767392,0.9027028340773644,0.007101704805396846,NA,converged,NA,0.018937879481058253,0.014203409610793692,TRUE,TRUE,0.014203409610793692,0.05,TRUE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,DSS,DSS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,412,200,212,206,206,93,107,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.1715624534638995,1.1871582825640623,0.8989755504425508,1.5677231568385332,0.2265531623380097,NA,converged,NA,0.2265531623380097,0.2265531623380097,TRUE,FALSE,0.2265531623380097,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,DSS,DSS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,195,207,199,203,90,105,412,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.07500337686903084,1.0778877907643851,0.8062866731061288,1.4409789076669977,0.6126091830927322,NA,converged,NA,0.6126091830927322,0.6126091830927322,TRUE,FALSE,0.6126091830927322,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,DSS,DSS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,412,200,212,206,206,110,90,412,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.3372881315017256,0.7137031699080089,0.5395266495021209,0.9441094618899595,0.018133904786719782,NA,converged,NA,0.018133904786719782,0.036267809573439565,TRUE,TRUE,0.036267809573439565,0.05,TRUE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,DSS,DSS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,195,207,202,200,107,88,412,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,-0.3296962937188379,0.7191421082446685,0.5399441126276936,0.9578127805371337,0.024149789187623266,NA,converged,NA,0.06439943783366203,0.04829957837524653,TRUE,TRUE,0.04829957837524653,0.05,TRUE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,RFI,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,410,220,190,204,206,106,114,410,0,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.09660032295060221,1.1014200733128585,0.8453887846048401,1.4349920415179793,0.47420394396151594,NA,converged,NA,0.47420394396151594,0.47420394396151594,TRUE,FALSE,0.47420394396151594,0.05,FALSE,#4DAF4A,ssGSEA score,fixed raw-score median within cohort and signature
METABRIC,RFI,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,400,215,185,197,203,103,112,410,10,median_groupHigh,median_group,CIM score: High vs Low,Low,High,0.012727601714011095,1.0128089423608335,0.7693734040163103,1.3332693180856618,0.9276973683396662,NA,converged,NA,0.9276973683396662,0.9276973683396662,TRUE,FALSE,0.9276973683396662,0.05,FALSE,#E41A1C,ssGSEA score,fixed raw-score median within cohort and signature
