cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,parameters_n,events_per_parameter,concordance,concordance_se,aic,log_likelihood,lr_chisq,lr_df,lr_p,wald_chisq,wald_df,wald_p,score_chisq,score_df,score_p,global_ph_p,max_vif,model_status,warning_text
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,412,223,189,206,206,104,119,412,0,1,223,0.5280264853140239,0.02025827651977549,2453.842535019594,-1225.921267509797,1.3523383902052046,1,0.24486973195858183,1.35,1,0.24592455009038106,1.3472865618235284,1,0.2457530444193384,0.18174821890495438,NA,converged,NA
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,8,27,0.6126672060874205,0.019042101828345204,2350.05445291315,-1167.027226456575,32.71386585564187,8,6.93441420980317e-5,32.61,8,7.246226302778449e-5,33.44425144713692,8,5.1209726695583724e-5,9.701307097233116e-8,1.5100452907187658,converged,NA
METABRIC,OS,OS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,412,223,189,206,206,104,119,412,0,1,223,0.520271702790417,0.01776087940181343,2453.8914918933606,-1225.9457459466803,1.3033815164385487,1,0.2535964733682019,1.3,1,0.25416040244093757,1.3028159582246928,1,0.25369949642431067,0.8364468128425009,NA,converged,NA
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,8,27,0.6121765627420938,0.019039266666407435,2350.233295430829,-1167.1166477154145,32.535023337962684,8,7.467277156756336e-5,32.37,8,7.978308278100791e-5,33.2321502257289,8,5.5929647684977305e-5,9.188057245813267e-8,1.513642775678283,converged,NA
METABRIC,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.23083688127430485,-0.03729392320029222,412,223,189,206,206,124,99,412,0,1,223,0.534109627020239,0.02121774882209405,2450.424687828147,-1224.2123439140735,4.770185581652186,1,0.0289567041512682,4.73,1,0.029658206259492725,4.726920995738884,1,0.029693996751447165,0.36931349555440235,NA,converged,NA
METABRIC,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,216,186,202,200,120,96,412,10,8,27,0.6209651040680358,0.01929290197723413,2346.066081654402,-1165.033040827201,36.702237114389845,8,1.3054546541490971e-5,36.71,8,1.2991435409663846e-5,37.669979662708386,8,8.662077426574984e-6,7.703967795547438e-8,1.5400706514421147,converged,NA
METABRIC,OS,OS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,412,223,189,206,206,124,99,412,0,1,223,0.5426879984343657,0.017677117859017624,2446.689847715445,-1222.3449238577225,8.505025694354117,1,0.003541669108743453,8.43,1,0.003694807680126891,8.534712516549925,1,0.0034843636050711662,0.28767256002360814,NA,converged,NA
METABRIC,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,216,186,202,200,120,96,412,10,8,27,0.6291855320467574,0.01939027239855084,2343.0376474510836,-1163.5188237255418,39.73067131770813,8,3.595808461221037e-6,39.87,8,3.3879284564463204e-6,40.79898930177164,8,2.2729779284284683e-6,9.245975229477174e-8,1.5264197276932667,converged,NA
METABRIC,DSS,DSS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,412,200,212,206,206,93,107,412,0,1,200,0.5328358467371921,0.0213144219160761,2239.9828386797135,-1118.9914193398567,1.8204814200939836,1,0.17725598268845677,1.81,1,0.17834538234768837,1.8131731740898474,1,0.17812804615473493,0.16029378351598314,NA,converged,NA
METABRIC,DSS,DSS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,195,207,199,203,90,105,412,10,8,24.375,0.6079086148062991,0.019375256968111165,2166.2566977570445,-1075.1283488785223,21.769493132313983,8,0.005361262401907064,21.73,8,0.005437046182458419,22.206474577084613,8,0.004547395987556287,3.774937497656399e-7,1.5100452907187658,converged,NA
METABRIC,DSS,DSS,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,412,200,212,206,206,93,107,412,0,1,200,0.5228024308741798,0.018449464352328717,2240.3369012855655,-1119.1684506427828,1.4664188142419334,1,0.22591157521883193,1.46,1,0.2265531623380097,1.4659471743458945,1,0.22598622850395467,0.8016178190923043,NA,converged,NA
METABRIC,DSS,DSS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,195,207,199,203,90,105,412,10,8,24.375,0.6068593638802211,0.019328320909322065,2166.3943499283196,-1075.1971749641598,21.63184096103896,8,0.0056455342113712675,21.58,8,0.005747529443998082,22.06756971361612,8,0.004792220433187077,3.834532991263436e-7,1.513642775678283,converged,NA
METABRIC,DSS,DSS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.23083688127430485,-0.03729392320029222,412,200,212,206,206,110,90,412,0,1,200,0.5300829336703776,0.021949467410353793,2238.913377761818,-1118.456688880909,2.889942337989396,1,0.08913411561363045,2.87,1,0.09033448295927231,2.8674928665033534,1,0.09038557211782329,0.6701727816058024,NA,converged,NA
METABRIC,DSS,DSS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,195,207,202,200,107,88,412,10,8,24.375,0.6131639933577855,0.020028365196834208,2164.0913697345413,-1074.0456848672707,23.9348211548172,8,0.0023501695953178116,23.9,8,0.002378022192337094,24.434967023224726,8,0.0019367497220662408,4.115636326331149e-7,1.5400706514421147,converged,NA
METABRIC,DSS,DSS,Fun-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.23083688127430485,-0.03729392320029222,412,200,212,206,206,110,90,412,0,1,200,0.5388610904305972,0.018410932061570334,2236.18286679435,-1117.091433397175,5.620453305457431,1,0.017752056813966913,5.58,1,0.018133904786719782,5.6350324188811305,1,0.01760501981955843,0.5014244678664777,NA,converged,NA
METABRIC,DSS,DSS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,median_split,median_group,available,"survival::Surv(time, event) ~ median_group + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,195,207,202,200,107,88,412,10,8,24.375,0.6248517362821846,0.020212498867115413,2161.536990542805,-1072.7684952714026,26.48920034655339,8,8.657905368667791e-4,26.48,8,8.682343932571134e-4,26.997649213397196,8,7.076475473160986e-4,4.942989852881388e-7,1.5264197276932667,converged,NA
METABRIC,RFI,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z",,0.7514332257467629,-0.01821328144254894,410,220,190,204,206,106,114,410,0,1,220,0.5181185737575258,0.020730174177645843,2454.605999868222,-1226.302999934111,0.18309337149503335,1,0.668728213713906,0.18,1,0.6689484563401943,0.1828515689175821,1,0.6689340140955493,0.03827776643842803,NA,converged,NA
METABRIC,RFI,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,400,215,185,197,203,103,112,410,10,8,26.875,0.5852511082049627,0.019741711776966486,2386.237948644915,-1185.1189743224575,13.559750147244358,8,0.0939869571232535,13.55,8,0.09433935457670518,13.690833569198515,8,0.09018822416137409,1.587635424891072e-8,1.5062809110449165,converged,NA
METABRIC,RFI,RFI,Dys-CIM,M0,M0: Unadjusted,Primary univariable,median_split,median_group,available,"survival::Surv(time, event) ~ median_group",,0.7514332257467629,-0.01821328144254894,410,220,190,204,206,106,114,410,0,1,220,0.517860313463432,0.017660242679887965,2454.276530717244,-1226.138265358622,0.5125625224732175,1,0.47403165887430443,0.51,1,0.47420394396151594,0.5125606301695554,1,0.4740324749426648,0.361080496549687,NA,converged,NA
