signature,cohort,cohort_display,endpoint_original,endpoint_display,row_order,y,forest_y,model_id,sample_mode,term,model_status,n,events,hazard_ratio,conf_low,conf_high,p_value,p_adjust_signature,significant_bh,estimable,formula_text,warning_text
Dys-CIM,METABRIC,METABRIC,OS,OS,1,6,6.11,M2,available,cim_z,converged,402,216,1.0378786927572312,0.9064949089685669,1.1883047220917282,0.5903134388478849,0.5903134388478849,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Dys-CIM,SCANB,SCAN-B,OS,OS,2,5,5.11,M2,available,cim_z,converged,2462,261,1.1241169421823705,0.9923333634499539,1.2734016070045917,0.06591607035883205,0.06591607035883205,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Dys-CIM,METABRIC,METABRIC,RFI,RFI,3,4,4.11,M2,available,cim_z,converged,400,215,0.9892770079567559,0.8636198575104651,1.1332173408947024,0.8763877604025772,0.8763877604025772,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Dys-CIM,SCANB,SCAN-B,RFi,RFI,4,3,3.11,M2,available,cim_z,converged,1866,214,1.0737324019248091,0.9364632096127665,1.231122866449769,0.3080341926177921,0.3080341926177921,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Dys-CIM,METABRIC,METABRIC,DSS,DSS,5,2,2.11,M2,available,cim_z,converged,402,195,1.0470488339179052,0.9069589499222186,1.208777156565758,0.5304212172931696,0.5304212172931696,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Dys-CIM,SCANB,SCAN-B,DRFi,DRFI,6,1,1.11,M2,available,cim_z,converged,1867,177,1.0126939523165635,0.8707184353470843,1.1778193724010673,0.8699876127208849,0.8699876127208849,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Fun-CIM,METABRIC,METABRIC,OS,OS,1,6,5.89,M2,available,cim_z,converged,402,216,0.8676976072446685,0.7580520106571822,0.9932024808764877,0.03950170011527509,0.07900340023055018,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Fun-CIM,SCANB,SCAN-B,OS,OS,2,5,4.89,M2,available,cim_z,converged,2462,261,0.8627668228238154,0.7582489780215895,0.9816915184082275,0.025063423754464506,0.05012684750892901,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Fun-CIM,METABRIC,METABRIC,RFI,RFI,3,4,3.89,M2,available,cim_z,converged,400,215,0.9230302977156759,0.80626420383302555,1.056706879023904,0.24578051122614508,0.49156102245229016,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Fun-CIM,SCANB,SCAN-B,RFi,RFI,4,3,2.89,M2,available,cim_z,converged,1866,214,0.8707191741791092,0.7520633492461386,1.0080957688512735,0.06401300360510795,0.1280260072102159,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Fun-CIM,METABRIC,METABRIC,DSS,DSS,5,2,1.89,M2,available,cim_z,converged,402,195,0.8906501799439897,0.7724262139723436,1.0269689566266629,0.11099758640135274,0.22199517280270548,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
Fun-CIM,SCANB,SCAN-B,DRFi,DRFI,6,1,0.89,M2,available,cim_z,converged,1867,177,0.873635411044595,0.743212038361034,1.0269462710994137,0.10149781714669202,0.20299563429338405,FALSE,TRUE,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",NA
