cohort,endpoint_original,endpoint_harmonized,signature,model_id,model_label,model_role,parameterization,exposure_variable,sample_mode,formula_text,configured_covariates,raw_median_cutoff,z_median_cutoff,n,events,censored,low_n,high_n,low_events,high_events,n_endpoint_score,excluded_covariate_missing,term,harmonized_variable,display_label,reference_level,comparison_level,estimate,hazard_ratio,conf_low,conf_high,p_value,term_ph_p,model_status,warning_text,p_adjust_model_terms,p_adjust_signature,exposure_coefficient,cox_fdr_supported,significance_value,significance_cutoff,significant,model_color,source_column,source_derivation,endpoint_group,group_order,row_order,y,cohort_display,endpoint_display,row_label,estimable,valid_ci_order,hr_ci_text,p_adjust_text,significant_bh,n_events_text
METABRIC,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,216,186,199,203,100,116,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.0371789115917829,1.0378786927572312,0.9064949089685669,1.1883047220917282,0.5903134388478849,0.273959304977722,converged,NA,0.5903134388478849,0.5903134388478849,TRUE,FALSE,0.5903134388478849,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Overall survival,1,1,6,METABRIC,OS,METABRIC | OS,TRUE,TRUE,1.04 (0.91–1.19),0.590,FALSE,402 / 216
SCANB,OS,OS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,2462,261,2201,1231,1231,130,131,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.11699778714711898,1.1241169421823705,0.9923333634499539,1.2734016070045917,0.06591607035883205,0.6595065376953922,converged,NA,0.10546571257413129,0.06591607035883205,TRUE,FALSE,0.06591607035883205,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Overall survival,1,2,5,SCAN-B,OS,SCAN-B | OS,TRUE,TRUE,1.12 (0.99–1.27),0.066,FALSE,2462 / 261
METABRIC,RFI,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,400,215,185,197,203,103,112,410,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.010780897641966646,0.9892770079567559,0.8636198575104651,1.1332173408947024,0.8763877604025772,0.026359375539283445,converged,NA,0.8763877604025772,0.8763877604025772,TRUE,FALSE,0.8763877604025772,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Recurrence-focused,2,3,4,METABRIC,RFI,METABRIC | RFI,TRUE,TRUE,0.99 (0.86–1.13),0.876,FALSE,400 / 215
SCANB,RFi,RFI,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1866,214,1652,981,885,110,104,1866,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.07114080482212277,1.0737324019248091,0.9364632096127665,1.231122866449769,0.3080341926177921,0.2455500807621296,converged,NA,0.4928547081884673,0.3080341926177921,TRUE,FALSE,0.3080341926177921,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Recurrence-focused,2,4,3,SCAN-B,RFI,SCAN-B | RFI,TRUE,TRUE,1.07 (0.94–1.23),0.308,FALSE,1866 / 214
METABRIC,DSS,DSS,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.7514332257467629,-0.01821328144254894,402,195,207,199,203,90,105,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.04597557255610821,1.0470488339179052,0.9069589499222186,1.208777156565758,0.5304212172931696,0.17346360407029285,converged,NA,0.5304212172931696,0.5304212172931696,TRUE,FALSE,0.5304212172931696,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Cohort-specific,3,5,2,METABRIC,DSS,METABRIC | DSS,TRUE,TRUE,1.05 (0.91–1.21),0.530,FALSE,402 / 195
SCANB,DRFi,DRFi,Dys-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.3886774662091883,-0.05189421448763552,1867,177,1690,982,885,95,82,1867,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,0.012614059497215571,1.0126939523165635,0.8707184353470843,1.1778193724010673,0.8699876127208849,0.5218737900969908,converged,NA,0.8699876127208849,0.8699876127208849,TRUE,FALSE,0.8699876127208849,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Cohort-specific,3,6,1,SCAN-B,DRFI,SCAN-B | DRFI,TRUE,TRUE,1.01 (0.87–1.18),0.870,FALSE,1867 / 177
METABRIC,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,402,216,186,202,200,120,96,412,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.1419120037701433,0.8676976072446685,0.7580520106571822,0.9932024808764877,0.03950170011527509,0.3580073466012612,converged,NA,0.09261882089375638,0.07900340023055018,TRUE,FALSE,0.07900340023055018,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Overall survival,1,1,6,METABRIC,OS,METABRIC | OS,TRUE,TRUE,0.87 (0.76–0.99),0.079,FALSE,402 / 216
SCANB,OS,OS,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,2462,261,2201,1231,1231,126,135,2462,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.1476108181227691,0.8627668228238154,0.7582489780215895,0.9816915184082275,0.025063423754464506,0.17579474200353407,converged,NA,0.04010147800714321,0.05012684750892901,TRUE,FALSE,0.05012684750892901,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Overall survival,1,2,5,SCAN-B,OS,SCAN-B | OS,TRUE,TRUE,0.86 (0.76–0.98),0.050,FALSE,2462 / 261
METABRIC,RFI,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.23083688127430485,-0.03729392320029222,400,215,185,202,198,112,103,410,10,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.08009321975726807,0.9230302977156759,0.80626420383302555,1.056706879023904,0.24578051122614508,0.8410545937384333,converged,NA,0.32770734830152676,0.49156102245229016,TRUE,FALSE,0.49156102245229016,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Recurrence-focused,2,3,4,METABRIC,RFI,METABRIC | RFI,TRUE,TRUE,0.92 (0.81–1.06),0.492,FALSE,400 / 215
SCANB,RFi,RFI,Fun-CIM,M2,M2: Prespecified adjusted,Primary adjusted,continuous,cim_z,available,"survival::Surv(time, event) ~ cim_z + age_5y + tumor_size + grade + clinical_subtype",age_5y; tumor_size; grade; clinical_subtype,0.12885907966821492,-0.055289421812261076,1866,214,1652,807,1059,96,118,1866,0,cim_z,cim_z,CIM score (per 1 SD),per 1-SD increase,+1 SD,-0.13843577182220873,0.8707191741791092,0.7520633492461386,1.0080957688512735,0.06401300360510795,0.6466907740356432,converged,NA,0.10242080576817272,0.1280260072102159,TRUE,FALSE,0.1280260072102159,0.05,FALSE,#E41A1C,ssGSEA score,within-cohort z standardization,Recurrence-focused,2,4,3,SCAN-B,RFI,SCAN-B | RFI,TRUE,TRUE,0.87 (0.75–1.01),0.128,FALSE,1866 / 214
