cohort,endpoint_original,endpoint_harmonized,signature,raw_median_cutoff,n,events,low_n,high_n,low_events,high_events,logrank_chisq,logrank_df,logrank_p,status,warning_text,logrank_p_adjust_signature
METABRIC,OS,OS,Dys-CIM,0.7514332257467629,412,223,206,206,104,119,1.3038293148482936,1,0.25351493815345777,completed,NA,0.25351493815345777
METABRIC,OS,OS,Fun-CIM,0.23083688127430485,412,223,206,206,124,99,8.536601628214608,1,0.003480749049935245,completed,NA,0.00696149809987049
METABRIC,DSS,DSS,Dys-CIM,0.7514332257467629,412,200,206,206,93,107,1.4671057620920782,1,0.2258028949783097,completed,NA,0.2258028949783097
METABRIC,DSS,DSS,Fun-CIM,0.23083688127430485,412,200,206,206,110,90,5.636494320871147,1,0.017590345380949533,completed,NA,0.035180690761899065
METABRIC,RFI,RFI,Dys-CIM,0.7514332257467629,410,220,204,206,106,114,0.51228915016201515,1,0.4741495760938215,completed,NA,0.4741495760938215
METABRIC,RFI,RFI,Fun-CIM,0.23083688127430485,410,220,206,204,115,105,2.264350215086761,1,0.13238172691099706,completed,NA,0.2647634538219941
SCANB,OS,OS,Dys-CIM,0.3886774662091883,2462,261,1231,1231,130,131,1.1159715438843139,1,0.2907875412747742,completed,NA,0.2907875412747742
SCANB,OS,OS,Fun-CIM,0.12885907966821492,2462,261,1231,1231,126,135,1.9594052669841429,1,0.16157693837172962,completed,NA,0.2907875412747742
SCANB,DRFi,DRFi,Dys-CIM,0.3886774662091883,1867,177,982,885,95,82,0.004837390100803942,1,0.9445507612517852,completed,NA,0.9445507612517852
SCANB,DRFi,DRFi,Fun-CIM,0.12885907966821492,1867,177,808,1059,77,100,0.7484973857629769,1,0.3869523847019607,completed,NA,0.7739047694039214
SCANB,RFi,RFI,Dys-CIM,0.3886774662091883,1866,214,981,885,110,104,0.5953393955847821,1,0.4403618033111598,completed,NA,0.4403618033111598
SCANB,RFi,RFI,Fun-CIM,0.12885907966821492,1866,214,807,1059,96,118,1.9352224979287118,1,0.16418820809484105,completed,NA,0.3283764161896821
