gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis,in_expression_matrix
A2M,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00152860954848846,0.00143230879775008,0.444,0.444,2.4637512967587e-4,0.00143230879775008,0.444,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABCA5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00154948993570737,0.00256874248070237,0.445,0.445,5.2424964464648e-4,0.00256874248070237,0.445,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABCC3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.4797251268685e-4,7.7608821421314e-4,0.486,0.486,1.0985994669463e-4,7.7608821421314e-4,0.486,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABHD6,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00316513138847213,0.00288966416446454,0.414,0.414,6.1235819700908e-4,0.00288966416446454,0.414,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABO,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.5287048377233e-4,7.6276532293146e-4,0.492,0.492,1.0769862578497e-4,7.6276532293146e-4,0.492,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACBD6,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.85355005910076e-5,6.45592893575345e-5,0.614,-0.614,4.46636593039547e-7,6.45592893575345e-5,0.614,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACSM5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00516779919561994,0.00352146401949428,0.373,0.373,7.9562268301911e-4,0.00352146401949428,0.373,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACTA2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00570091865393052,0.00864030739746149,0.388,0.388,0.00263731693394541,0.00864030739746149,0.388,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACTG1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.1103416487023e-4,9.5182251034145e-4,0.539,-0.539,3.44932662732206e-5,9.5182251034145e-4,0.539,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACY1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,9.43011790226881e-5,6.64668604334665e-5,0.499,-0.499,4.80735154078531e-7,6.64668604334665e-5,0.499,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ACY3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0147756748873981,0.0119529920884768,0.331,0.331,0.00398755493979274,0.0119529920884768,0.331,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADA2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.65918305976075e-5,7.75532807464913e-6,0.536,0.536,9.26737317096437e-8,7.75532807464913e-6,0.536,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAD2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00563796563284628,0.00389648238600741,0.371,0.371,9.3177631962308e-4,0.00389648238600741,0.371,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMDEC1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.1569611962332e-4,3.5572983388699e-4,0.476,0.476,3.71900589620303e-5,3.5572983388699e-4,0.476,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAMTSL3,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0052482031681712,0.00490141894755995,0.39,0.39,0.00127308811783186,0.00490141894755995,0.39,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADAP2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.7562182318932e-4,1.4213642703396e-4,0.525,0.525,8.81455764561736e-6,1.4213642703396e-4,0.525,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADCK2,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0188542029891736,0.0208499804358008,0.348,-0.348,0.00267509182949897,0.0208499804358008,0.348,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADGRG5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.16981691752217e-5,3.59025475589434e-5,0.558,0.558,1.21933180388864e-6,3.59025475589434e-5,0.558,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADGRG7,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,9.7385022177375e-4,0.00138118357600161,0.465,0.465,2.3372448646493e-4,0.00138118357600161,0.465,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADGRL4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.55491485374952e-5,2.19488058608755e-5,0.589,0.589,5.24562655794509e-7,2.19488058608755e-5,0.589,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADH1C,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00125634013702436,0.00325464471351541,0.449,0.449,7.1131386034377e-4,0.00325464471351541,0.449,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADH4,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0080199720444098,0.00720540554037366,0.368,0.368,0.00206872177935885,0.00720540554037366,0.368,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADH6,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00664933074910764,0.00458097248645063,0.363,0.363,0.00115820813808374,0.00458097248645063,0.363,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADHFE1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00157237830031808,9.9516748535704e-4,0.423,0.423,1.530304718049e-4,9.9516748535704e-4,0.423,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADK,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.66588499702477e-5,5.2844952623352e-4,0.567,-0.567,1.24634322224888e-5,5.2844952623352e-4,0.567,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ADPGK-AS1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00156591168558645,0.00136301632583937,0.441,0.441,2.2974111655657e-4,0.00136301632583937,0.441,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AGAP5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.9610372898137e-4,1.6594020880996e-4,0.48,0.48,1.2054147243743e-5,1.6594020880996e-4,0.48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AGTR2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0127969369855496,0.0146630663543054,0.347,0.347,0.00517818349556131,0.0146630663543054,0.347,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIF1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,5.2247032215025e-4,3.085018361259e-4,0.462,0.462,3.03651178325178e-5,3.085018361259e-4,0.462,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AIM2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.393098755585e-4,1.9023414196742e-4,0.514,0.514,1.53144466489502e-5,1.9023414196742e-4,0.514,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKAP17A,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.779312732123e-4,2.0680040416309e-4,0.53,0.53,1.72983985872272e-5,2.0680040416309e-4,0.53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKAP5,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,8.3593499553131e-4,0.00116038879257702,0.47,0.47,1.8391067655937e-4,0.00116038879257702,0.47,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKAP9,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00749748645295938,0.00770837032931532,0.374,0.374,0.00228099889304582,0.00770837032931532,0.374,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKNA,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.6717241292855e-4,8.33007679344822e-5,0.477,0.477,4.18826881770396e-6,8.33007679344822e-5,0.477,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AKNAD1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.004225423390554,0.0077072141308742,0.401,0.401,0.00227338580338365,0.0077072141308742,0.401,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALAS2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00663987912651081,0.00760827823445905,0.381,0.381,0.00223702520415698,0.00760827823445905,0.381,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALDH1A1,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.44516587880635e-5,1.4436919660025e-4,0.566,0.566,9.170621922406e-6,1.4436919660025e-4,0.566,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALDH1A2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00240929852160606,0.00162960229369537,0.411,0.411,2.9261842122765e-4,0.00162960229369537,0.411,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALDOB,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.00745830906793643,0.0110383539696767,0.375,0.375,0.00358225826940452,0.0110383539696767,0.375,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALK,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,0.0119330869937185,0.0109369370835918,0.348,0.348,0.00353902775440752,0.0109369370835918,0.348,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALKAL2,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.2551252066569e-4,1.7511659951152e-4,0.468,0.468,1.29960746807294e-5,1.7511659951152e-4,0.468,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ALPL,Fun-CIM,NKI.TNBCCL,0.3,2,2,2,YES,6.1957304787089e-4,3.4286672511428e-4,0.441,0.441,3.53648697602155e-5,3.4286672511428e-4,0.441,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
