gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis
ATP5F1C,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.55891589798988e-7,5.66852597764275e-8,0.702,-0.702,1.7825553388813697e-11,5.66852597764275e-8,0.702,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DAP3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.17255866750554e-7,1.38088455083167e-5,0.681,-0.681,2.60544254873901e-8,1.38088455083167e-5,0.681,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ABCC4,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,1.75060424518983e-6,0.662569028920379,0.639,-0.639,0.225231798824821,0.662569028920379,0.639,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
TRAP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.75060424518983e-6,5.13162859375334e-5,0.643,-0.643,3.24459844309786e-7,5.13162859375334e-5,0.643,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HMGA1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.75060424518983e-6,5.91957564421793e-6,0.671,-0.671,3.7230035498226e-9,5.91957564421793e-6,0.671,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
YWHAE,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.75060424518983e-6,2.13625280602415e-5,0.664,-0.664,4.70244328370096e-8,2.13625280602415e-5,0.664,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OLA1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.75060424518983e-6,7.3018343250312e-6,0.672,-0.672,6.88852294814264e-9,7.3018343250312e-6,0.672,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PSMD14,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,2.25491383519858e-6,5.13162859375334e-5,0.649,-0.649,1.74110515478692e-7,5.13162859375334e-5,0.649,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
GMPS,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,3.04587624108286e-6,3.5273317771559e-4,0.592,-0.592,6.95106911612968e-6,3.5273317771559e-4,0.592,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
RAC3,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,4.48666919923254e-6,8.6907762471886e-6,0.651,-0.651,1.36647425270261e-8,8.6907762471886e-6,0.651,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
VDAC1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,7.86740222376501e-6,7.73825950233611e-5,0.627,-0.627,6.32687883838801e-7,7.73825950233611e-5,0.627,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NTHL1,Dys-CIM,NKI.TNBCCL,0.3,2,2,2,YES,1.09075400832547e-5,8.6907762471886e-6,0.604,-0.604,1.35958654865075e-8,8.6907762471886e-6,0.604,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
