signature,gene,present
Dys-CIM,ACBD6,TRUE
Dys-CIM,ACTG1,TRUE
Dys-CIM,ACY1,TRUE
Dys-CIM,ADCK2,TRUE
Dys-CIM,ADK,TRUE
Dys-CIM,AMZ2,TRUE
Dys-CIM,ANKRD39,TRUE
Dys-CIM,ANO10,TRUE
Dys-CIM,AP1S1,TRUE
Dys-CIM,APEH,TRUE
Dys-CIM,APIP,TRUE
Dys-CIM,ASB13,TRUE
Dys-CIM,ASCC1,TRUE
Dys-CIM,ASL,TRUE
Dys-CIM,ATG5,TRUE
Dys-CIM,ATP5F1A,TRUE
Dys-CIM,ATP5F1B,TRUE
Dys-CIM,ATP5F1C,TRUE
Dys-CIM,ATP5PO,TRUE
Dys-CIM,ATP6V1H,TRUE
Dys-CIM,ATPAF1,TRUE
Dys-CIM,AZIN1,TRUE
Dys-CIM,B9D1,TRUE
Dys-CIM,BCAP31,TRUE
Dys-CIM,BCAT2,TRUE
Dys-CIM,BFAR,TRUE
Dys-CIM,BNIP1,TRUE
Dys-CIM,BORA,TRUE
Dys-CIM,BPHL,TRUE
Dys-CIM,BTF3,TRUE
Dys-CIM,BUB1,TRUE
Dys-CIM,BZW1,TRUE
Dys-CIM,BZW2,TRUE
Dys-CIM,CALM2,TRUE
Dys-CIM,CAMKMT,TRUE
Dys-CIM,CANT1,TRUE
Dys-CIM,CAPN1,TRUE
Dys-CIM,CBLC,TRUE
Dys-CIM,CBX3,TRUE
Dys-CIM,CCT3,TRUE
Dys-CIM,CCT4,TRUE
Dys-CIM,CCT8,TRUE
Dys-CIM,CDK5,TRUE
Dys-CIM,CDK8,TRUE
Dys-CIM,CEP20,TRUE
Dys-CIM,CHCHD3,TRUE
Dys-CIM,CINP,TRUE
Dys-CIM,CLIC1,TRUE
Dys-CIM,CLNS1A,TRUE
Dys-CIM,CMC1,TRUE
Dys-CIM,CMSS1,TRUE
Dys-CIM,COA1,TRUE
Dys-CIM,COIL,TRUE
Dys-CIM,COP1,TRUE
Dys-CIM,COPS2,TRUE
Dys-CIM,COPS4,TRUE
Dys-CIM,COPS5,TRUE
Dys-CIM,COQ3,TRUE
Dys-CIM,CORO1B,TRUE
Dys-CIM,CPNE3,TRUE
Dys-CIM,CRLS1,TRUE
Dys-CIM,CTPS2,TRUE
Dys-CIM,CUL2,TRUE
Dys-CIM,DAP3,TRUE
Dys-CIM,DARS1,TRUE
Dys-CIM,DAZAP1,TRUE
Dys-CIM,DCAF13,TRUE
Dys-CIM,DCPS,TRUE
Dys-CIM,DCTN5,TRUE
Dys-CIM,DCUN1D5,TRUE
Dys-CIM,DDB1,TRUE
Dys-CIM,DDX1,TRUE
Dys-CIM,DDX10,TRUE
Dys-CIM,DDX18,TRUE
Dys-CIM,DEPDC1,TRUE
Dys-CIM,DEPDC1B,TRUE
Dys-CIM,DHPS,TRUE
Dys-CIM,DHRS13,TRUE
Dys-CIM,DHX15,TRUE
Dys-CIM,DIAPH3,TRUE
Dys-CIM,DLAT,TRUE
Dys-CIM,DLD,TRUE
Dys-CIM,DLL3,TRUE
Dys-CIM,DNAAF2,TRUE
Dys-CIM,DNAAF5,TRUE
Dys-CIM,DNAJC19,TRUE
Dys-CIM,DNPEP,TRUE
Dys-CIM,DPH5,TRUE
Dys-CIM,DPH6,TRUE
Dys-CIM,DVL1,TRUE
Dys-CIM,DYNC1I2,TRUE
Dys-CIM,E2F5,TRUE
Dys-CIM,EBPL,TRUE
Dys-CIM,ECHDC3,TRUE
Dys-CIM,ECT2,TRUE
Dys-CIM,EEFSEC,TRUE
Dys-CIM,EFCAB11,TRUE
Dys-CIM,EI24,TRUE
Dys-CIM,EIF2B3,TRUE
Dys-CIM,EIF3C,TRUE
Dys-CIM,EIF3E,TRUE
Dys-CIM,EIF3H,TRUE
Dys-CIM,EIF3M,TRUE
Dys-CIM,EIF4E,TRUE
Dys-CIM,EIF5A,TRUE
Dys-CIM,EIF5AL1,TRUE
Dys-CIM,EIPR1,TRUE
Dys-CIM,ELOVL1,TRUE
Dys-CIM,ELP2,TRUE
Dys-CIM,ELP4,TRUE
Dys-CIM,ENDOD1,TRUE
Dys-CIM,ENO1,TRUE
Dys-CIM,ENOPH1,TRUE
Dys-CIM,ESD,TRUE
Dys-CIM,ETFA,TRUE
Dys-CIM,ETV4,TRUE
Dys-CIM,EXOSC7,TRUE
Dys-CIM,FADS3,TRUE
Dys-CIM,FARS2,TRUE
Dys-CIM,FARSB,TRUE
Dys-CIM,FBXO22,TRUE
Dys-CIM,FIS1,TRUE
Dys-CIM,FOXK2,TRUE
Dys-CIM,FXR1,TRUE
Dys-CIM,GALK1,TRUE
Dys-CIM,GCAT,TRUE
Dys-CIM,GCDH,TRUE
Dys-CIM,GCSH,TRUE
Dys-CIM,GDI2,TRUE
Dys-CIM,GFUS,TRUE
Dys-CIM,GIPC1,TRUE
Dys-CIM,GLO1,TRUE
Dys-CIM,GLRX3,TRUE
Dys-CIM,GMPS,TRUE
Dys-CIM,GOT2,TRUE
Dys-CIM,GPI,TRUE
Dys-CIM,GPN1,TRUE
Dys-CIM,GPSM2,TRUE
Dys-CIM,GRSF1,TRUE
Dys-CIM,GTF2F2,TRUE
Dys-CIM,HAGHL,TRUE
Dys-CIM,HDAC2,TRUE
Dys-CIM,HDDC3,TRUE
Dys-CIM,HDHD5,TRUE
Dys-CIM,HEBP2,TRUE
Dys-CIM,HIBADH,TRUE
Dys-CIM,HIBCH,TRUE
Dys-CIM,HMGA1,TRUE
Dys-CIM,HNRNPC,TRUE
Dys-CIM,HOMER2,TRUE
Dys-CIM,HSP90AB1,TRUE
Dys-CIM,HSPA4,TRUE
Dys-CIM,HSPA5,TRUE
Dys-CIM,HSPD1,TRUE
Dys-CIM,IAH1,TRUE
Dys-CIM,IFT52,TRUE
Dys-CIM,IMP4,TRUE
Dys-CIM,INTS13,TRUE
Dys-CIM,INTS15,TRUE
Dys-CIM,IPO5,TRUE
Dys-CIM,KCMF1,TRUE
Dys-CIM,KISS1R,TRUE
Dys-CIM,KLHL7,TRUE
Dys-CIM,KRT38,TRUE
Dys-CIM,LDHA,TRUE
Dys-CIM,LDLRAD3,TRUE
Dys-CIM,LRPPRC,TRUE
Dys-CIM,LRRC8E,TRUE
Dys-CIM,LSM2,TRUE
Dys-CIM,LYPLA1,TRUE
Dys-CIM,MACROD1,TRUE
Dys-CIM,MAPKAP1,TRUE
Dys-CIM,MATCAP2,TRUE
Dys-CIM,MEAF6,TRUE
Dys-CIM,MEAK7,TRUE
Dys-CIM,MEMO1,TRUE
Dys-CIM,METTL5,TRUE
Dys-CIM,MGAT4B,TRUE
Dys-CIM,MICOS13,TRUE
Dys-CIM,MIPEP,TRUE
Dys-CIM,MKS1,TRUE
Dys-CIM,MNAT1,TRUE
Dys-CIM,MRGBP,TRUE
Dys-CIM,MRPL1,TRUE
Dys-CIM,MRPL19,TRUE
Dys-CIM,MRPL24,TRUE
Dys-CIM,MRPL3,TRUE
Dys-CIM,MRPL30,TRUE
Dys-CIM,MRPL39,TRUE
Dys-CIM,MRPL4,TRUE
Dys-CIM,MRPL42,TRUE
Dys-CIM,MRPS28,TRUE
Dys-CIM,MRPS35,TRUE
Dys-CIM,MRS2,TRUE
Dys-CIM,MTA3,TRUE
Dys-CIM,MTCH2,TRUE
Dys-CIM,MTFR1,TRUE
Dys-CIM,MTX2,TRUE
Dys-CIM,MVB12A,TRUE
Dys-CIM,MYCBP,TRUE
Dys-CIM,MZT1,TRUE
Dys-CIM,NAA15,TRUE
Dys-CIM,NAA20,TRUE
Dys-CIM,NAE1,TRUE
Dys-CIM,NAF1,TRUE
Dys-CIM,NARS2,TRUE
Dys-CIM,NAT10,TRUE
Dys-CIM,NDC1,TRUE
Dys-CIM,NDUFA10,TRUE
Dys-CIM,NDUFAF2,TRUE
Dys-CIM,NDUFB5,TRUE
Dys-CIM,NDUFS1,TRUE
Dys-CIM,NDUFS2,TRUE
Dys-CIM,NDUFV2,TRUE
Dys-CIM,NELFB,TRUE
Dys-CIM,NEURL1,TRUE
Dys-CIM,NME1-NME2,TRUE
Dys-CIM,NME2,TRUE
Dys-CIM,NOA1,TRUE
Dys-CIM,NOL10,TRUE
Dys-CIM,NPM1,TRUE
Dys-CIM,NPM3,TRUE
Dys-CIM,NSMCE1,TRUE
Dys-CIM,NSMCE2,TRUE
Dys-CIM,NSMF,TRUE
Dys-CIM,NTAQ1,TRUE
Dys-CIM,NTHL1,TRUE
Dys-CIM,NUDCD1,TRUE
Dys-CIM,NUDCD2,TRUE
Dys-CIM,NUP35,TRUE
Dys-CIM,NUP37,TRUE
Dys-CIM,OAT,TRUE
Dys-CIM,OLA1,TRUE
Dys-CIM,OTUD6B,TRUE
Dys-CIM,PAICS,TRUE
Dys-CIM,PAIP1,TRUE
Dys-CIM,PARD3,TRUE
Dys-CIM,PCBD1,TRUE
Dys-CIM,PCCB,TRUE
Dys-CIM,PCMT1,TRUE
Dys-CIM,PDCD10,TRUE
Dys-CIM,PDIA4,TRUE
