gene,endpoint,n_patients,n_events,coefficient,hazard_ratio,conf_low,conf_high,p_value,ph_p_value,model_status,warning_text,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj,fdr_all_genes,fdr_within_signature,association_direction,fdr_supported,nominal_p_below_0_05,expected_survival_direction,observed_survival_direction,direction_concordant
CLIC1,RFS,20,6,1.8324402633926378,6.249117560078929,2.021810658957817,19.315097636203333,0.0014590454146632746,0.8074384375971524,converged,NA,Dys-CIM,-0.449,4.2586237401857e-4,0.00539538784613176,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DCTN5,RFS,20,6,1.8783403661007938,6.542637463809036,2.031884285733641,21.067196239170567,0.0016425643528883212,0.28254504565388794,converged,NA,Dys-CIM,-0.355,0.00359322444434429,0.0259901953882654,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
SLC25A3,RFS,20,6,1.5580145784839707,4.749382352237942,1.7638501032713496,12.78829345300614,0.002049996480634998,0.8874556350554481,converged,NA,Dys-CIM,-0.494,5.81091384742858e-5,0.00135872838491345,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DEPDC1B,RFS,20,6,2.1432060134890856,8.526730668122276,2.122137435286651,34.260333321378965,0.0025250818042224133,0.5357539993149762,converged,NA,Dys-CIM,-0.411,1.4454212857698e-4,0.00263853703259242,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
RPUSD3,RFS,20,6,1.697364429709384,5.459539413568853,1.811369819548351,16.455265118496758,0.0025668701441646778,0.8044067315562838,converged,NA,Dys-CIM,-0.425,2.4320923112111e-4,0.00379120272041734,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PGK1,RFS,20,6,1.2241162072370584,3.4011588345308654,1.5345997913124925,7.538044435555235,0.002572495503195214,0.9904670116068216,converged,NA,Dys-CIM,-0.491,8.08771462168436e-5,0.00168097598019322,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
DARS1,RFS,20,6,1.3387185178485104,3.8141526037493283,1.5958378470513408,9.116064086064851,0.0026009699883542937,0.8307213549782765,converged,NA,Dys-CIM,-0.492,1.0791914258861e-4,0.00209257849653528,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
HDHD5,RFS,20,6,1.540490948119292,4.66688090505417,1.7078203034870065,12.752967825414384,0.002669204930891487,0.670957667803519,converged,NA,Dys-CIM,-0.503,5.03363893083823e-6,2.8583878214402e-4,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
PTGES3,RFS,20,6,1.743702845502737,5.718478911718296,1.832729257213604,17.842788799849213,0.0026695339948621054,0.7411426768120467,converged,NA,Dys-CIM,-0.401,9.7259928045171e-4,0.00981862130741733,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
MRPL4,RFS,20,6,2.0615314800619315,7.857994962439479,2.038006148441188,30.29828191487722,0.002753819054312725,0.828892220240036,converged,NA,Dys-CIM,-0.407,1.5127934435321e-4,0.00270263098338885,0.09635652633977744,0.03199524574816548,Higher change associated with higher relapse hazard,FALSE,TRUE,Detrimental (HR > 1),Detrimental,TRUE
