scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"ATP5F1C",3,3,"YES",3,"YES","YES","Dys","YES","Dys","YES","Dys",59.407065072231,5.93918517304398e-11,5.12492288581965e-07,"YES",6.34772207500929,1.09263200307118e-10,9.42832155450119e-07,"YES",0.583
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"ABCC4",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",46.1572648950948,2.28406834832426e-09,5.54202034707555e-06,"YES",0.754642363684681,0.225231798824821,0.999999999998396,"NO",0.639
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"DAP3",3,3,"YES",2,"NO","YES","Dys","YES","Fun","YES","Dys",51.368049880822,2.49834194723229e-09,5.54202034707555e-06,"YES",3.7408663486673,9.16935131367287e-05,0.0081569414933694,"YES",0.573
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"HMGA1",3,2,"NO",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.2354828809209,3.55204176079807e-09,5.54202034707555e-06,"YES",5.78054262029807,3.7230035498226e-09,1.60628988157096e-05,"YES",0.671
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"YWHAE",3,2,"NO",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.1489308298716,3.70233823087776e-09,5.54202034707555e-06,"YES",5.33786225211591,4.70244328370096e-08,6.76289718250927e-05,"YES",0.664
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"OLA1",3,2,"NO",2,"YES","YES","Dys","NO",NA,"YES","Dys",45.0653306879811,3.85353135733611e-09,5.54202034707555e-06,"YES",5.67613699556279,6.88852294814264e-09,1.98136881731743e-05,"YES",0.672
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"PSMD14",3,2,"NO",2,"YES","YES","Dys","NO",NA,"YES","Dys",44.2573331098932,5.67273920804675e-09,6.99286666089078e-06,"YES",5.09528280977579,1.74110515478692e-07,0.000187799954758204,"YES",0.649
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"RAC3",3,2,"NO",2,"YES","YES","Dys","NO",NA,"YES","Dys",42.3508731111364,1.4109022639096e-08,1.5218344544095e-05,"YES",5.55773694304152,1.36647425270261e-08,2.35826126531416e-05,"YES",0.651
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"TRAP1",3,3,"YES",2,"NO","YES","Dys","YES","Fun","YES","Dys",45.6717701702442,3.44110098891746e-08,3.2992511592632e-05,"YES",2.83627658216494,0.00228214500663816,0.0763280203964366,"NO",0.612
"ALL3_NKI.NEO.TNBCCL","Dys","Dys_only",0.3,"NTHL1",3,2,"NO",2,"YES","YES","Dys","NO",NA,"YES","Dys",40.1056412619603,4.11605286160554e-08,3.55174201427942e-05,"YES",5.55861914542109,1.35958654865075e-08,2.35826126531416e-05,"YES",0.604
