universe,sig_mode,rho_threshold,cim_class,n_genes
"ALL3_NKI.NEO.TNBCCL","padj",0.3,"Both",359
"ALL3_NKI.NEO.TNBCCL","padj",0.3,"Dys_only",1605
"ALL3_NKI.NEO.TNBCCL","padj",0.3,"Fun_only",5691
"ALL3_NKI.NEO.TNBCCL","rawp01",0.3,"Both",912
"ALL3_NKI.NEO.TNBCCL","rawp01",0.3,"Dys_only",1912
"ALL3_NKI.NEO.TNBCCL","rawp01",0.3,"Fun_only",7340
"ALL3_NKI.NEO.TNBCCL","rawp05",0.3,"Both",2411
"ALL3_NKI.NEO.TNBCCL","rawp05",0.3,"Dys_only",2463
"ALL3_NKI.NEO.TNBCCL","rawp05",0.3,"Fun_only",12557
"NEO.TNBCCL","padj",0.3,"Both",85
"NEO.TNBCCL","padj",0.3,"Dys_only",379
"NEO.TNBCCL","padj",0.3,"Fun_only",3688
"NEO.TNBCCL","rawp01",0.3,"Both",366
"NEO.TNBCCL","rawp01",0.3,"Dys_only",1022
"NEO.TNBCCL","rawp01",0.3,"Fun_only",5914
"NEO.TNBCCL","rawp05",0.3,"Both",1059
"NEO.TNBCCL","rawp05",0.3,"Dys_only",1629
"NEO.TNBCCL","rawp05",0.3,"Fun_only",11687
"NKI.NEO","padj",0.3,"Both",171
"NKI.NEO","padj",0.3,"Dys_only",1373
"NKI.NEO","padj",0.3,"Fun_only",5557
"NKI.NEO","rawp01",0.3,"Both",247
"NKI.NEO","rawp01",0.3,"Dys_only",1287
"NKI.NEO","rawp01",0.3,"Fun_only",6373
"NKI.NEO","rawp05",0.3,"Both",797
"NKI.NEO","rawp05",0.3,"Dys_only",1725
"NKI.NEO","rawp05",0.3,"Fun_only",9377
"NKI.TNBCCL","padj",0.3,"Both",128
"NKI.TNBCCL","padj",0.3,"Dys_only",1827
"NKI.TNBCCL","padj",0.3,"Fun_only",3118
"NKI.TNBCCL","rawp01",0.3,"Both",405
"NKI.TNBCCL","rawp01",0.3,"Dys_only",2401
"NKI.TNBCCL","rawp01",0.3,"Fun_only",4295
"NKI.TNBCCL","rawp05",0.3,"Both",1101
"NKI.TNBCCL","rawp05",0.3,"Dys_only",3706
"NKI.TNBCCL","rawp05",0.3,"Fun_only",9002
