universe,sig_mode,cim,cim_class,rho_threshold,gene,n_datasets,nki_smc,neo,tnbc_cl,mean_abs_rrb
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"STING1",3,"YES","YES","YES",0.713
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"STAT2",3,"YES","YES","YES",0.665
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"TMEM175",3,"YES","YES","YES",0.623
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"CCDC159",3,"YES","YES","YES",0.599
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"MYPOP",2,"NO","YES","YES",0.824
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"PRKACA",2,"NO","YES","YES",0.786
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"CDK2AP2",2,"NO","YES","YES",0.776
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"IFFO1",2,"YES","YES","NO",0.768
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"UNK",2,"NO","YES","YES",0.759
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"BRPF3",2,"NO","YES","YES",0.756
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"CSGALNACT1",2,"YES","YES","NO",0.756
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"FOXN3",2,"YES","YES","NO",0.753
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"HCFC1R1",2,"NO","YES","YES",0.753
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"PHACTR4",2,"NO","YES","YES",0.751
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"TBC1D2B",2,"YES","YES","NO",0.749
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"INPP5D",2,"YES","YES","NO",0.746
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"GUSB",2,"NO","YES","YES",0.743
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"WIPF1",2,"YES","YES","NO",0.742
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"TTLL3",2,"YES","YES","NO",0.741
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"ZFYVE19",2,"NO","YES","YES",0.74
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"H6PD",2,"YES","YES","NO",0.739
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"HIRIP3",2,"NO","YES","YES",0.739
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"COPS7B",2,"NO","YES","YES",0.738
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"ADAMTSL4",2,"YES","YES","NO",0.736
"ALL3_NKI.NEO.TNBCCL","padj","Fun","Fun_only",0.3,"KEAP1",2,"NO","YES","YES",0.729
