universe,sig_mode,cim,rho_threshold,min_n_datasets,n_genes_exactly,n_genes_shared_by_at_least
"ALL3_NKI.NEO.TNBCCL","padj","Dys",0.3,1,1929,1964
"ALL3_NKI.NEO.TNBCCL","padj","Dys",0.3,2,35,35
"ALL3_NKI.NEO.TNBCCL","padj","Fun",0.3,1,5403,6050
"ALL3_NKI.NEO.TNBCCL","padj","Fun",0.3,2,643,647
"ALL3_NKI.NEO.TNBCCL","padj","Fun",0.3,3,4,4
"ALL3_NKI.NEO.TNBCCL","rawp01","Dys",0.3,1,2744,2824
"ALL3_NKI.NEO.TNBCCL","rawp01","Dys",0.3,2,80,80
"ALL3_NKI.NEO.TNBCCL","rawp01","Fun",0.3,1,7156,8252
"ALL3_NKI.NEO.TNBCCL","rawp01","Fun",0.3,2,1064,1096
"ALL3_NKI.NEO.TNBCCL","rawp01","Fun",0.3,3,32,32
"ALL3_NKI.NEO.TNBCCL","rawp05","Dys",0.3,1,4605,4874
"ALL3_NKI.NEO.TNBCCL","rawp05","Dys",0.3,2,269,269
"ALL3_NKI.NEO.TNBCCL","rawp05","Fun",0.3,1,11881,14968
"ALL3_NKI.NEO.TNBCCL","rawp05","Fun",0.3,2,2893,3087
"ALL3_NKI.NEO.TNBCCL","rawp05","Fun",0.3,3,194,194
"NEO.TNBCCL","padj","Dys",0.3,1,464,464
"NEO.TNBCCL","padj","Fun",0.3,1,3711,3773
"NEO.TNBCCL","padj","Fun",0.3,2,62,62
"NEO.TNBCCL","rawp01","Dys",0.3,1,1388,1388
"NEO.TNBCCL","rawp01","Fun",0.3,1,6018,6280
"NEO.TNBCCL","rawp01","Fun",0.3,2,262,262
"NEO.TNBCCL","rawp05","Dys",0.3,1,2688,2688
"NEO.TNBCCL","rawp05","Fun",0.3,1,11777,12746
"NEO.TNBCCL","rawp05","Fun",0.3,2,969,969
"NKI.NEO","padj","Dys",0.3,1,1544,1544
"NKI.NEO","padj","Fun",0.3,1,5163,5728
"NKI.NEO","padj","Fun",0.3,2,565,565
"NKI.NEO","rawp01","Dys",0.3,1,1534,1534
"NKI.NEO","rawp01","Fun",0.3,1,5870,6620
"NKI.NEO","rawp01","Fun",0.3,2,750,750
"NKI.NEO","rawp05","Dys",0.3,1,2519,2522
"NKI.NEO","rawp05","Dys",0.3,2,3,3
"NKI.NEO","rawp05","Fun",0.3,1,8271,10174
"NKI.NEO","rawp05","Fun",0.3,2,1903,1903
"NKI.TNBCCL","padj","Dys",0.3,1,1920,1955
"NKI.TNBCCL","padj","Dys",0.3,2,35,35
"NKI.TNBCCL","padj","Fun",0.3,1,3218,3246
"NKI.TNBCCL","padj","Fun",0.3,2,28,28
"NKI.TNBCCL","rawp01","Dys",0.3,1,2726,2806
"NKI.TNBCCL","rawp01","Dys",0.3,2,80,80
"NKI.TNBCCL","rawp01","Fun",0.3,1,4552,4700
"NKI.TNBCCL","rawp01","Fun",0.3,2,148,148
"NKI.TNBCCL","rawp05","Dys",0.3,1,4541,4807
"NKI.TNBCCL","rawp05","Dys",0.3,2,266,266
"NKI.TNBCCL","rawp05","Fun",0.3,1,9500,10103
"NKI.TNBCCL","rawp05","Fun",0.3,2,603,603
