analysis,sig_mode,group,group_members,cim,rho_threshold,gene
"overlap_BH","padj","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl","Fun",0.3,"CCDC159"
"overlap_BH","padj","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl","Fun",0.3,"STAT2"
"overlap_BH","padj","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl","Fun",0.3,"STING1"
"overlap_BH","padj","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl","Fun",0.3,"TMEM175"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ABCA1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ABCC1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ABCD4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ABI3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ABR"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ABTB1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ACAD11"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ACAP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ACAP2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ACBD4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADAM19"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADAMTS10"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADAMTS2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADAMTSL4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADCY3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADCY4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADCY7"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADGRE1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADGRE5"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"ADPRH"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AFF1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AGAP5"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AGAP6"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AGER"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AGFG2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AGO1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AGO4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AHSA2P"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"AKNA"
