analysis,sig_mode,group,group_members,n_members,cim,rho_threshold,n_genes
"overlap_BH","padj","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl",3,"Dys",0.3,0
"overlap_BH","padj","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl",3,"Fun",0.3,4
"overlap_BH","padj","NEO.TNBCCL","neo;tnbc_cl",2,"Dys",0.3,0
"overlap_BH","padj","NEO.TNBCCL","neo;tnbc_cl",2,"Fun",0.3,62
"overlap_BH","padj","NKI.NEO","nki_smc;neo",2,"Dys",0.3,0
"overlap_BH","padj","NKI.NEO","nki_smc;neo",2,"Fun",0.3,565
"overlap_BH","padj","NKI.TNBCCL","nki_smc;tnbc_cl",2,"Dys",0.3,35
"overlap_BH","padj","NKI.TNBCCL","nki_smc;tnbc_cl",2,"Fun",0.3,28
"overlap_rawp","rawp01","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl",3,"Dys",0.3,0
"overlap_rawp","rawp01","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl",3,"Fun",0.3,32
"overlap_rawp","rawp01","NEO.TNBCCL","neo;tnbc_cl",2,"Dys",0.3,0
"overlap_rawp","rawp01","NEO.TNBCCL","neo;tnbc_cl",2,"Fun",0.3,262
"overlap_rawp","rawp01","NKI.NEO","nki_smc;neo",2,"Dys",0.3,0
"overlap_rawp","rawp01","NKI.NEO","nki_smc;neo",2,"Fun",0.3,750
"overlap_rawp","rawp01","NKI.TNBCCL","nki_smc;tnbc_cl",2,"Dys",0.3,80
"overlap_rawp","rawp01","NKI.TNBCCL","nki_smc;tnbc_cl",2,"Fun",0.3,148
"overlap_rawp","rawp05","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl",3,"Dys",0.3,0
"overlap_rawp","rawp05","ALL3_NKI.NEO.TNBCCL","nki_smc;neo;tnbc_cl",3,"Fun",0.3,194
"overlap_rawp","rawp05","NEO.TNBCCL","neo;tnbc_cl",2,"Dys",0.3,0
"overlap_rawp","rawp05","NEO.TNBCCL","neo;tnbc_cl",2,"Fun",0.3,969
"overlap_rawp","rawp05","NKI.NEO","nki_smc;neo",2,"Dys",0.3,3
"overlap_rawp","rawp05","NKI.NEO","nki_smc;neo",2,"Fun",0.3,1903
"overlap_rawp","rawp05","NKI.TNBCCL","nki_smc;tnbc_cl",2,"Dys",0.3,266
"overlap_rawp","rawp05","NKI.TNBCCL","nki_smc;tnbc_cl",2,"Fun",0.3,603
