ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009150,purine ribonucleotide metabolic process,2/5,189/7427,0.0105820105820106,15.7185185185185,5.31970697716658,0.0061240017462374,0.115957276951496,0.082093647399289,ATP5F1C/SULT1E1,2
GO:0009259,ribonucleotide metabolic process,2/5,197/7427,0.0101522842639594,15.0802030456853,5.19846209587971,0.00664033369962585,0.115957276951496,0.082093647399289,ATP5F1C/SULT1E1,2
GO:0051923,sulfation,1/5,10/7427,0.1,148.54,12.117070625483,0.00671589265130423,0.115957276951496,0.082093647399289,SULT1E1,1
GO:0019693,ribose phosphate metabolic process,2/5,200/7427,0.01,14.854,5.15481582823016,0.00683903822387363,0.115957276951496,0.082093647399289,ATP5F1C/SULT1E1,2
GO:0006163,purine nucleotide metabolic process,2/5,232/7427,0.00862068965517241,12.8051724137931,4.74135995326785,0.00912880404793918,0.115957276951496,0.082093647399289,ATP5F1C/SULT1E1,2
GO:0051204,protein insertion into mitochondrial membrane,1/5,16/7427,0.0625,92.8375,9.54429022857955,0.0107280759458819,0.115957276951496,0.082093647399289,MTX2,1
GO:0008210,estrogen metabolic process,1/5,17/7427,0.0588235294117647,87.3764705882353,9.25364449350469,0.0113955107887197,0.115957276951496,0.082093647399289,SULT1E1,1
GO:0090151,establishment of protein localization to mitochondrial membrane,1/5,17/7427,0.0588235294117647,87.3764705882353,9.25364449350469,0.0113955107887197,0.115957276951496,0.082093647399289,MTX2,1
GO:0009117,nucleotide metabolic process,2/5,264/7427,0.00757575757575758,11.2530303030303,4.40259492273038,0.0117237728973369,0.115957276951496,0.082093647399289,ATP5F1C/SULT1E1,2
GO:0046164,alcohol catabolic process,1/5,18/7427,0.0555555555555556,82.5222222222222,8.98740813789831,0.0120625853428432,0.115957276951496,0.082093647399289,SULT1E1,1
GO:0060236,regulation of mitotic spindle organization,1/5,21/7427,0.0476190476190476,70.7333333333333,8.30539359455148,0.0140616487315886,0.115957276951496,0.082093647399289,BORA,1
GO:0072521,purine-containing compound metabolic process,2/5,291/7427,0.00687285223367698,10.2089347079038,4.15939789040463,0.0141442809204761,0.115957276951496,0.082093647399289,ATP5F1C/SULT1E1,2
GO:0007007,inner mitochondrial membrane organization,1/5,22/7427,0.0454545454545455,67.5181818181818,8.10944585507263,0.0147272835893176,0.115957276951496,0.082093647399289,MTX2,1
GO:0002183,cytoplasmic translational initiation,1/5,23/7427,0.0434782608695652,64.5826086956522,7.9263100228001,0.0153925588873667,0.115957276951496,0.082093647399289,EIF3E,1
