ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-8949613,Cristae formation,2/5,18/4507,0.111111111111111,100.155555555556,14.0461192934971,0.000149607903772478,0.00418902130562939,0.00141733803573927,ATP5F1C/MTX2,2
R-HSA-1592230,Mitochondrial biogenesis,2/5,50/4507,0.04,36.056,8.30622891539436,0.00118088183508096,0.0165323456911335,0.00559365079775192,ATP5F1C/MTX2,2
R-HSA-1852241,Organelle biogenesis and maintenance,2/5,123/4507,0.016260162601626,14.6569105691057,5.11737919320675,0.00699996108510872,0.0626938538250299,0.0212122061814011,ATP5F1C/MTX2,2
R-HSA-163210,Formation of ATP by chemiosmotic coupling,1/5,12/4507,0.0833333333333333,75.1166666666667,8.566817291206,0.0132477716593965,0.0626938538250299,0.0212122061814011,ATP5F1C,1
R-HSA-9753281,Paracetamol ADME,1/5,14/4507,0.0714285714285714,64.3857142857143,7.91525749693874,0.0154420165676763,0.0626938538250299,0.0212122061814011,SULT1E1,1
R-HSA-69273,Cyclin A/B1/B2 associated events during G2/M transition,1/5,15/4507,0.0666666666666667,60.0933333333333,7.63909823002328,0.0165376742389789,0.0626938538250299,0.0212122061814011,BORA,1
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",1/5,19/4507,0.0526315789473684,47.4421052631579,6.75989772656871,0.0209105549158887,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-72702,Ribosomal scanning and start codon recognition,1/5,20/4507,0.05,45.07,6.58199979004446,0.0220013408395564,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-72649,Translation initiation complex formation,1/5,21/4507,0.0476190476190476,42.9238095238095,6.41680146405563,0.0230911543665903,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",1/5,22/4507,0.0454545454545455,40.9727272727273,6.26284621553664,0.0241799961472787,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-72689,Formation of a pool of free 40S subunits,1/5,30/4507,0.0333333333333333,30.0466666666667,5.31913767851936,0.0328558254631681,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-2565942,Regulation of PLK1 Activity at G2/M Transition,1/5,31/4507,0.032258064516129,29.0774193548387,5.22722082132944,0.0339359507418556,0.0626938538250299,0.0212122061814011,BORA,1
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1/5,34/4507,0.0294117647058824,26.5117647058824,4.97574781235912,0.0371705376095802,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1/5,34/4507,0.0294117647058824,26.5117647058824,4.97574781235912,0.0371705376095802,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-1268020,Mitochondrial protein import,1/5,36/4507,0.0277777777777778,25.0388888888889,4.82548706796923,0.0393221111818451,0.0626938538250299,0.0212122061814011,MTX2,1
R-HSA-156580,Phase II - Conjugation of compounds,1/5,36/4507,0.0277777777777778,25.0388888888889,4.82548706796923,0.0393221111818451,0.0626938538250299,0.0212122061814011,SULT1E1,1
R-HSA-9748784,Drug ADME,1/5,36/4507,0.0277777777777778,25.0388888888889,4.82548706796923,0.0393221111818451,0.0626938538250299,0.0212122061814011,SULT1E1,1
R-HSA-72613,Eukaryotic Translation Initiation,1/5,39/4507,0.0256410256410256,23.1128205128205,4.62165701929668,0.0425422579526988,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-72737,Cap-dependent Translation Initiation,1/5,39/4507,0.0256410256410256,23.1128205128205,4.62165701929668,0.0425422579526988,0.0626938538250299,0.0212122061814011,EIF3E,1
R-HSA-9837999,Mitochondrial protein degradation,1/5,50/4507,0.02,18.028,4.03464359799564,0.0542756680441454,0.0759859352618036,0.0257095269682794,ATP5F1C,1
R-HSA-9609507,Protein localization,1/5,72/4507,0.0138888888888889,12.5194444444444,3.28343800896983,0.0773973952163829,0.102382733567085,0.0346407745151791,MTX2,1
R-HSA-69275,G2/M Transition,1/5,80/4507,0.0125,11.2675,3.08768362478212,0.0856922633242854,0.102382733567085,0.0346407745151791,BORA,1
R-HSA-211859,Biological oxidations,1/5,82/4507,0.0121951219512195,10.9926829268293,3.0430581152352,0.087756628771787,0.102382733567085,0.0346407745151791,SULT1E1,1
R-HSA-453274,Mitotic G2-G2/M phases,1/5,82/4507,0.0121951219512195,10.9926829268293,3.0430581152352,0.087756628771787,0.102382733567085,0.0346407745151791,BORA,1
R-HSA-1428517,Aerobic respiration and respiratory electron transport,1/5,137/4507,0.0072992700729927,6.57956204379562,2.21002673200649,0.143082198127227,0.160252061902494,0.0542206224482124,ATP5F1C,1
R-HSA-72766,Translation,1/5,181/4507,0.00552486187845304,4.98011049723757,1.82124767219796,0.185381177395451,0.199641267964332,0.067547797431541,EIF3E,1
R-HSA-69278,"Cell Cycle, Mitotic",1/5,230/4507,0.00434782608695652,3.91913043478261,1.51434784653357,0.230503574224819,0.239040743640553,0.0808784470964276,BORA,1
R-HSA-1640170,Cell Cycle,1/5,298/4507,0.00335570469798658,3.0248322147651,1.20527337094392,0.289787081291164,0.289787081291164,0.098048260587236,BORA,1
