ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0046649,lymphocyte activation,65/468,470/7427,0.138297872340426,2.19473995271868,6.93966162558549,6.65990789066198e-10,2.36892923670847e-06,2.20618211914876e-06,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/NFAM1/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/SIRPA/BLNK/CDKN1A/RASSF5/DLL1/MAFB/DOCK2/CD28/SYVN1/NCKAP1L/KMT2A/IKZF1/DTX1/WAS/C3/CD1D/AKAP17A/IRF4/CD4/SEMA6D/NFKBID/CCDC88B/WDFY4/EGR1/LGALS9/MR1/BST1/ZNF335/TLR9/PDCD1/GPNMB/TBX21/CD37/CD3G/TESPA1/TNFSF14/SLA2/BTN2A2/PLCG2/CYP26B1/CD8B/CD5/HAVCR2/HFE/CLEC7A/IL4I1/IRF1/TREML2/CFB/CLNK/PSMB10/ZNF683/EGR3/MPL,65
GO:0002694,regulation of leukocyte activation,48/468,331/7427,0.145015105740181,2.30134015028275,6.28094518865296,3.16767362279564e-08,3.06406366049352e-05,2.85356031533762e-05,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/NFAM1/SYK/HLA-E/TNFRSF1B/SYT11/TYK2/SIRPA/CDKN1A/RASSF5/CD28/NCKAP1L/DTX1/CD1D/IRF4/CD4/NFKBID/CCDC88B/LGALS9/BST1/ZNF335/TLR9/PDCD1/GPNMB/TBX21/CD37/GRN/TESPA1/TNFSF14/BTN2A2/CYP26B1/NR1H3/CD300LF/CD5/HAVCR2/CEBPA/HFE/CLEC7A/IL4I1/IRF1/CLNK/ZNF683/EGR3/MPL,48
GO:0046651,lymphocyte proliferation,31/468,168/7427,0.18452380952381,2.92832977207977,6.55578239852742,4.30708976735103e-08,3.06406366049352e-05,2.85356031533762e-05,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/CDKN1A/RASSF5/DOCK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9/BST1/ZNF335/TLR9/GPNMB/CD37/TNFSF14/BTN2A2/HAVCR2/IL4I1/IRF1/PSMB10/MPL,31
GO:0032943,mononuclear cell proliferation,31/468,170/7427,0.182352941176471,2.89387883358472,6.4777632330331,5.72869076597157e-08,3.39615884242681e-05,3.16284032289693e-05,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/CDKN1A/RASSF5/DOCK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9/BST1/ZNF335/TLR9/GPNMB/CD37/TNFSF14/BTN2A2/HAVCR2/IL4I1/IRF1/PSMB10/MPL,31
GO:0032944,regulation of mononuclear cell proliferation,26/468,135/7427,0.192592592592593,3.05637860082305,6.25278665533968,2.25521802513093e-07,8.91312279487858e-05,8.30078494162227e-05,INPP5D/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/TYK2/CDKN1A/RASSF5/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9/BST1/ZNF335/TLR9/GPNMB/CD37/BTN2A2/HAVCR2/IL4I1/IRF1/MPL,26
GO:0002819,regulation of adaptive immune response,23/468,126/7427,0.182539682539683,2.89684235517569,5.56868071093176,2.99288457887076e-06,0.000709712696469553,0.000660954931207458,TNFRSF14/BCL6/HLA-E/TNFRSF1B/TYK2/CD28/SYVN1/NCKAP1L/WAS/C3/CD1D/CD4/NFKBID/LGALS9/MR1/PDCD1/TBX21/HAVCR2/HFE/CLEC7A/IL4I1/IRF1/HLA-C,23
GO:0002250,adaptive immune response,37/468,269/7427,0.137546468401487,2.18281542909796,5.12417855643881,4.71795411759941e-06,0.00093232015535006,0.000868269099888031,INPP5D/TNFRSF14/BCL6/SYK/MPEG1/HLA-E/TNFRSF1B/PIK3CG/TYK2/KLHL6/CD28/SYVN1/NCKAP1L/LAIR1/WAS/C3/CD1D/IRF4/CD4/PRKD2/NFKBID/LGALS9/MR1/PDCD1/TBX21/CD3G/SLA2/CD8B/HAVCR2/LAMP3/CFI/HFE/CLEC7A/IL4I1/IRF1/ZNF683/HLA-C,37
GO:0007159,leukocyte cell-cell adhesion,33/468,238/7427,0.138655462184874,2.20041478129713,4.88104208169864,1.31697567233891e-05,0.00223070593643309,0.0020774548575692,DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TYK2/SIRPA/CD28/NCKAP1L/DTX1/CD1D/SELPLG/CD4/NFKBID/CCDC88B/LGALS9/JAM2/CXCL12/PDCD1/GPNMB/TBX21/CD37/TESPA1/TNFSF14/BTN2A2/SELP/CD5/HAVCR2/HFE/IL4I1/IRF1/EGR3,33
GO:1903037,regulation of leukocyte cell-cell adhesion,31/468,218/7427,0.142201834862385,2.25669450325414,4.8836825968382,1.45001845761797e-05,0.00224248506684657,0.00208842475337472,DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TYK2/SIRPA/CD28/NCKAP1L/DTX1/CD1D/CD4/NFKBID/CCDC88B/LGALS9/CXCL12/PDCD1/GPNMB/TBX21/CD37/TESPA1/TNFSF14/BTN2A2/SELP/CD5/HAVCR2/HFE/IL4I1/IRF1/EGR3,31
GO:0030098,lymphocyte differentiation,34/468,253/7427,0.134387351778656,2.1326813283335,4.75350873828464,1.91408731542973e-05,0.00272336343239342,0.00253626643438204,INPP5D/VSIR/BCL6/NFAM1/SYK/BLNK/DLL1/MAFB/DOCK2/CD28/SYVN1/NCKAP1L/KMT2A/IKZF1/DTX1/CD1D/IRF4/CD4/NFKBID/EGR1/LGALS9/MR1/TLR9/TBX21/CD3G/TESPA1/BTN2A2/PLCG2/CYP26B1/IL4I1/IRF1/CFB/ZNF683/EGR3,34
