ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-8948216,Collagen chain trimerization,8/269,20/4507,0.4,6.70185873605948,6.43790663373782,9.75252086477969e-06,0.00708033014783005,0.00706287826838782,COL6A6/COL5A3/COL24A1/COL6A5/COL16A1/COL17A1/COL4A3/COL7A1,8
R-HSA-202433,Generation of second messenger molecules,7/269,18/4507,0.388888888888889,6.51569599339116,5.90681037020196,4.49505247328259e-05,0.0163170404780158,0.0162768215874654,LCP2/FYB1/WAS/CD4/CD3G/PLCG2/CD101,7
R-HSA-909733,Interferon alpha/beta signaling,8/269,28/4507,0.285714285714286,4.7870419543282,5.0638386402168,0.000158108454453931,0.0382622459778514,0.0381679356716859,STAT2/HLA-E/TYK2/IRF4/EGR1/SAMHD1/IRF1/HLA-C,8
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,8/269,31/4507,0.258064516129032,4.32377982971579,4.67799026275051,0.00034300865450645,0.0622560707929206,0.0621026195527467,COL6A6/COL5A3/COL24A1/COL6A5/COL16A1/COL17A1/COL4A3/COL7A1,8
R-HSA-419037,NCAM1 interactions,6/269,19/4507,0.315789473684211,5.29094110741538,4.72165431239337,0.00059887340062572,0.0869564177708546,0.0867420841327359,COL6A6/COL5A3/CACNA1G/COL6A5/COL4A3/CACNB2,6
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,7/269,29/4507,0.241379310344828,4.04422509934624,4.14309578728291,0.00124885396219422,0.1511113294255,0.150738864208706,COL6A6/COL5A3/COL24A1/COL6A5/COL17A1/COL4A3/COL7A1,7
R-HSA-1442490,Collagen degradation,7/269,30/4507,0.233333333333333,3.9094175960347,4.02776755111108,0.00154732928153295,0.160480151198989,0.160084593337545,COL6A6/COL5A3/COL6A5/COL16A1/COL17A1/COL4A3/COL7A1,7
R-HSA-1474290,Collagen formation,8/269,40/4507,0.2,3.35092936802974,3.76229511082398,0.00209220980587719,0.189868039883355,0.189400045584672,COL6A6/COL5A3/COL24A1/COL6A5/COL16A1/COL17A1/COL4A3/COL7A1,8
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),15/269,114/4507,0.131578947368421,2.20455879475641,3.28164111614894,0.00288899896038108,0.233045916137407,0.232471495291483,OXER1/PTAFR/HRH2/PLPPR4/PNOC/CXCL12/P2RY11/PSAP/C5AR1/CCL3L3/LTB4R/FFAR4/LTB4R2/AVPR2/CCKAR,15
R-HSA-500792,GPCR ligand binding,18/269,150/4507,0.12,2.01055762081784,3.17105802234053,0.00322689834197882,0.234160675051681,0.233583506503634,OXER1/PTAFR/HRH2/PLPPR4/GNB3/PNOC/CXCL12/P2RY11/PTCH2/PSAP/C5AR1/CCL3L3/LTB4R/FFAR4/LTB4R2/WNT2/AVPR2/CCKAR,18
R-HSA-164952,The role of Nef in HIV-1 replication and disease pathogenesis,4/269,12/4507,0.333333333333333,5.58488228004957,4.00631618780121,0.00419295974610448,0.234160675051681,0.233583506503634,ELMO1/CD28/CD4/CD8B,4
R-HSA-399719,Trafficking of AMPA receptors,4/269,12/4507,0.333333333333333,5.58488228004957,4.00631618780121,0.00419295974610448,0.234160675051681,0.233583506503634,GRIA3/TSPAN7/AKAP5/GRIP2,4
R-HSA-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",4/269,12/4507,0.333333333333333,5.58488228004957,4.00631618780121,0.00419295974610448,0.234160675051681,0.233583506503634,GRIA3/TSPAN7/AKAP5/GRIP2,4
R-HSA-375165,NCAM signaling for neurite out-growth,6/269,28/4507,0.214285714285714,3.59028146574615,3.46359177782323,0.00527942522743274,0.264644366117236,0.263992060154644,COL6A6/COL5A3/CACNA1G/COL6A5/COL4A3/CACNB2,6
R-HSA-216083,Integrin cell surface interactions,7/269,37/4507,0.189189189189189,3.16979805083894,3.33854836913106,0.00546785880407512,0.264644366117236,0.263992060154644,COL6A6/COL5A3/JAM2/COL6A5/COL16A1/COL4A3/COL7A1,7
R-HSA-1280218,Adaptive Immune System,35/269,383/4507,0.0913838120104439,1.53110349714153,2.73722487016704,0.00632450817892061,0.286974558618523,0.286267212309038,TNFRSF14/LCP2/MAP3K14/HLA-E/PIK3CG/BLNK/DNM1/FYB1/KLHL3/CD28/LAIR1/WAS/CD1D/UBA7/CD4/LGMN/OS9/HECW2/PDCD1/CD3G/MYLIP/BTN2A2/PLCG2/TRIM4/COL17A1/CD300LF/CD8B/IFI30/CD14/ATG14/IRF1/TREML2/PSMB10/CD101/HLA-C,35
