ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0046649,lymphocyte activation,36/174,470/7427,0.0765957446808511,3.26940572267058,7.87305582386439,1.37242685567723e-10,3.43106713919308e-07,3.0973507142863e-07,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/NFAM1/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/SIRPA/BLNK/CDKN1A/RASSF5/DLL1/MAFB/DOCK2/CD28/SYVN1/NCKAP1L/KMT2A/IKZF1/DTX1/WAS/C3/CD1D/AKAP17A/IRF4/CD4/SEMA6D/NFKBID/CCDC88B/WDFY4/EGR1/LGALS9,36
GO:0046651,lymphocyte proliferation,19/174,168/7427,0.113095238095238,4.82734674329502,7.77154399628522,1.05321502907595e-08,1.06901047871681e-05,9.65035143734253e-06,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/CDKN1A/RASSF5/DOCK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,19
GO:0032943,mononuclear cell proliferation,19/174,170/7427,0.111764705882353,4.77055442866802,7.70272461314908,1.28281257446018e-08,1.06901047871681e-05,9.65035143734253e-06,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/CDKN1A/RASSF5/DOCK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,19
GO:0042098,T cell proliferation,16/174,121/7427,0.132231404958678,5.64415313004655,7.97723966871585,1.74101645706954e-08,1.08813528566846e-05,9.82299811567655e-06,DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/DOCK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,16
GO:0042110,T cell activation,26/174,334/7427,0.0778443113772455,3.32269942872875,6.72735776675087,5.18735958801931e-08,2.59367979400966e-05,2.34141030667651e-05,DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/SIRPA/MAFB/DOCK2/CD28/NCKAP1L/KMT2A/DTX1/WAS/CD1D/IRF4/CD4/SEMA6D/NFKBID/CCDC88B/WDFY4/EGR1/LGALS9,26
GO:0050670,regulation of lymphocyte proliferation,16/174,133/7427,0.120300751879699,5.13490623109498,7.45249793183891,6.8239822085612e-08,2.59982394168645e-05,2.34695685514768e-05,INPP5D/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/TYK2/CDKN1A/RASSF5/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,16
GO:0070661,leukocyte proliferation,19/174,189/7427,0.100529100529101,4.29097488292891,7.09805627615876,7.27950703672205e-08,2.59982394168645e-05,2.34695685514768e-05,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/CDKN1A/RASSF5/DOCK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,19
GO:0032944,regulation of mononuclear cell proliferation,16/174,135/7427,0.118518518518519,5.05883354618987,7.37119759591552,8.44009080046919e-08,2.63752837514662e-05,2.38099403634289e-05,INPP5D/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/TYK2/CDKN1A/RASSF5/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,16
GO:0046633,alpha-beta T cell proliferation,8/174,29/7427,0.275862068965517,11.7748711850971,9.00424244483823,2.17933873013655e-07,6.05371869482374e-05,5.46491489755878e-05,TNFRSF14/VSIR/SYK/HLA-E/TYK2/DOCK2/CD28/LGALS9,8
GO:0002250,adaptive immune response,22/174,269/7427,0.0817843866171004,3.49087723796095,6.4450438253423,2.60915777791773e-07,6.52289444479433e-05,5.8884571324796e-05,INPP5D/TNFRSF14/BCL6/SYK/MPEG1/HLA-E/TNFRSF1B/PIK3CG/TYK2/KLHL6/CD28/SYVN1/NCKAP1L/LAIR1/WAS/C3/CD1D/IRF4/CD4/PRKD2/NFKBID/LGALS9,22
GO:0070663,regulation of leukocyte proliferation,16/174,149/7427,0.10738255033557,4.58350690426599,6.84366294323739,3.3667413810636e-07,7.65168495696274e-05,6.90745791483289e-05,INPP5D/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/TYK2/CDKN1A/RASSF5/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,16
GO:0030098,lymphocyte differentiation,21/174,253/7427,0.08300395256917,3.54293307891509,6.37393695449216,3.90392122768638e-07,8.13316922434662e-05,7.34211150189438e-05,INPP5D/VSIR/BCL6/NFAM1/SYK/BLNK/DLL1/MAFB/DOCK2/CD28/SYVN1/NCKAP1L/KMT2A/IKZF1/DTX1/CD1D/IRF4/CD4/NFKBID/EGR1/LGALS9,21
GO:0042129,regulation of T cell proliferation,13/174,101/7427,0.128712871287129,5.49396836235348,7.04288339737878,5.55201844724594e-07,0.00010676958552396,9.63848384687878e-05,TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/TYK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,13
