ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0046649,lymphocyte activation,36/174,470/7427,0.0765957446808511,3.26940572267058,7.87305582386439,1.37242685567723e-10,3.43106713919308e-07,3.0973507142863e-07,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/NFAM1/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/SIRPA/BLNK/CDKN1A/RASSF5/DLL1/MAFB/DOCK2/CD28/SYVN1/NCKAP1L/KMT2A/IKZF1/DTX1/WAS/C3/CD1D/AKAP17A/IRF4/CD4/SEMA6D/NFKBID/CCDC88B/WDFY4/EGR1/LGALS9,36
GO:0046651,lymphocyte proliferation,19/174,168/7427,0.113095238095238,4.82734674329502,7.77154399628522,1.05321502907595e-08,1.06901047871681e-05,9.65035143734253e-06,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/CDKN1A/RASSF5/DOCK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,19
GO:0032943,mononuclear cell proliferation,19/174,170/7427,0.111764705882353,4.77055442866802,7.70272461314908,1.28281257446018e-08,1.06901047871681e-05,9.65035143734253e-06,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/PIK3CG/TYK2/CDKN1A/RASSF5/DOCK2/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,19
GO:0050670,regulation of lymphocyte proliferation,16/174,133/7427,0.120300751879699,5.13490623109498,7.45249793183891,6.8239822085612e-08,2.59982394168645e-05,2.34695685514768e-05,INPP5D/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/TYK2/CDKN1A/RASSF5/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,16
GO:0032944,regulation of mononuclear cell proliferation,16/174,135/7427,0.118518518518519,5.05883354618987,7.37119759591552,8.44009080046919e-08,2.63752837514662e-05,2.38099403634289e-05,INPP5D/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TNFRSF1B/TYK2/CDKN1A/RASSF5/CD28/NCKAP1L/CD1D/CD4/CCDC88B/LGALS9,16
GO:0002250,adaptive immune response,22/174,269/7427,0.0817843866171004,3.49087723796095,6.4450438253423,2.60915777791773e-07,6.52289444479433e-05,5.8884571324796e-05,INPP5D/TNFRSF14/BCL6/SYK/MPEG1/HLA-E/TNFRSF1B/PIK3CG/TYK2/KLHL6/CD28/SYVN1/NCKAP1L/LAIR1/WAS/C3/CD1D/IRF4/CD4/PRKD2/NFKBID/LGALS9,22
GO:0030098,lymphocyte differentiation,21/174,253/7427,0.08300395256917,3.54293307891509,6.37393695449216,3.90392122768638e-07,8.13316922434662e-05,7.34211150189438e-05,INPP5D/VSIR/BCL6/NFAM1/SYK/BLNK/DLL1/MAFB/DOCK2/CD28/SYVN1/NCKAP1L/KMT2A/IKZF1/DTX1/CD1D/IRF4/CD4/NFKBID/EGR1/LGALS9,21
GO:0050865,regulation of cell activation,25/174,364/7427,0.0686813186813187,2.93158709106985,5.85279942153255,1.04770884002209e-06,0.000174618140003681,0.000157634228281218,INPP5D/DOCK8/TNFRSF14/VSIR/BCL6/NFAM1/SYK/HLA-E/TNFRSF1B/SYT11/TYK2/SIRPA/CDKN1A/RASSF5/EMILIN2/CD28/NCKAP1L/DTX1/CD1D/IRF4/CD4/CAPN3/NFKBID/CCDC88B/LGALS9,25
GO:0002819,regulation of adaptive immune response,14/174,126/7427,0.111111111111111,4.742656449553,6.56246983061429,1.24859943458867e-06,0.000176463234681351,0.000159299863223923,TNFRSF14/BCL6/HLA-E/TNFRSF1B/TYK2/CD28/SYVN1/NCKAP1L/WAS/C3/CD1D/CD4/NFKBID/LGALS9,14
GO:0001817,regulation of cytokine production,27/174,433/7427,0.0623556581986143,2.66158318069603,5.5181878351596,2.43663867710821e-06,0.000240270324124197,0.000216900873651486,STING1/INPP5D/TNFRSF14/VSIR/BCL6/NFAM1/PML/TRIM56/SYK/HLA-E/TNFRSF1B/PIK3CG/SYT11/TYK2/SIRPA/TRIM38/DLL1/CD28/NCKAP1L/C3/IRF4/CD4/SSC5D/PRKD2/CCDC88B/EGR1/LGALS9,27
GO:0001816,cytokine production,27/174,435/7427,0.0620689655172414,2.64934601664685,5.4909685019039,2.66096055479681e-06,0.000246010069345515,0.000222082353127067,STING1/INPP5D/TNFRSF14/VSIR/BCL6/NFAM1/PML/TRIM56/SYK/HLA-E/TNFRSF1B/PIK3CG/SYT11/TYK2/SIRPA/TRIM38/DLL1/CD28/NCKAP1L/C3/IRF4/CD4/SSC5D/PRKD2/CCDC88B/EGR1/LGALS9,27
GO:1903039,positive regulation of leukocyte cell-cell adhesion,15/174,166/7427,0.0903614457831325,3.85697964270877,5.76575559816902,7.05889032202984e-06,0.000507887150248695,0.000458488442161348,DOCK8/TNFRSF14/VSIR/BCL6/SYK/HLA-E/TYK2/SIRPA/CD28/NCKAP1L/CD1D/CD4/NFKBID/CCDC88B/LGALS9,15
