ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,9/65,114/2228,0.0789473684210526,2.70607287449393,3.24105230097321,0.00497721957934964,0.184157124435937,0.178132069155671,STAT2/PML/SERPING1/LCP2/CDKN1A/IL10RA/TNFAIP2/APOL6/IRF4,9
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,8/65,115/2228,0.0695652173913044,2.38448160535117,2.64225597539049,0.016856488966941,0.302948463097104,0.293036920207725,LCP2/HLA-E/FYB1/CD28/WAS/CD1D/IRF4/CD4,8
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,3/65,22/2228,0.136363636363636,4.67412587412587,3.00158844246402,0.0245633888997652,0.302948463097104,0.293036920207725,DLL1/DTX2/DTX1,3
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,7/65,126/2228,0.0555555555555556,1.9042735042735,1.81116180030572,0.0708685069579208,0.543329483201704,0.5255534119163,TNFRSF1B/SYT11/IL10RA/IKZF4/GABARAPL1/IRF4/CAPN3,7
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,6/65,103/2228,0.058252427184466,1.996713965646,1.7951395520876,0.0766315581276326,0.543329483201704,0.5255534119163,SERPING1/LCP2/PIK3CG/WAS/C3/LGMN,6
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,5/65,82/2228,0.0609756097560976,2.09005628517824,1.74312895850755,0.0881074837624385,0.543329483201704,0.5255534119163,SOD3/CDKN1A/PDE4DIP/MYH3/MYH11,5
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,6/65,115/2228,0.0521739130434783,1.78836120401338,1.50457188742643,0.11528355194942,0.609355917446935,0.589419664102299,SYK/CLDN15/SIRPA/FYB1/NFASC/LIMA1,6
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,6/65,124/2228,0.0483870967741936,1.65856079404467,1.30789347871195,0.149748076224022,0.639781870321958,0.618850173284397,EGR2/BCL6/CDKN1A/TNFAIP2/MSC/EGR1,6
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,3/65,47/2228,0.0638297872340426,2.18788870703764,1.42654467481394,0.155622617105341,0.639781870321958,0.618850173284397,STAT2/TMEM140/UBA7,3
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,5/65,108/2228,0.0462962962962963,1.58689458689459,1.0836588404533,0.204492549237577,0.734603552781261,0.710569581637635,TNFRSF1B/IL10RA/MAFB/DOCK2/IKZF1,5
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,3/65,58/2228,0.0517241379310345,1.77294429708223,1.03376269097517,0.238249800902031,0.734603552781261,0.710569581637635,STAT2/TNFRSF1B/TYK2,3
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,3/65,58/2228,0.0517241379310345,1.77294429708223,1.03376269097517,0.238249800902031,0.734603552781261,0.710569581637635,STAT2/SLA/CDKN1A,3
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,5/65,120/2228,0.0416666666666667,1.42820512820513,0.835787190979856,0.270419951887043,0.769656786140046,0.744475980903601,LCP2/TNFRSF1B/CDKN1A/IL10RA/PTAFR,5
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,4/65,95/2228,0.0421052631578947,1.44323886639676,0.765231321137934,0.299651569592226,0.786603216554456,0.760867976183542,ITIH4/CSAD/LCAT/GABARAPL1,4
HALLMARK_COAGULATION,HALLMARK_COAGULATION,3/65,69/2228,0.0434782608695652,1.49030100334448,0.717050153814397,0.326787973220228,0.786603216554456,0.760867976183542,SERPING1/C3/LGMN,3
