ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0050907,detection of chemical stimulus involved in sensory perception,24/1971,26/3974,0.923076923076923,1.86114038168833,4.36952448407567,4.12883745163207e-06,0.00725809526110793,0.00722434428312824,TRPV1/FFAR4/TAS2R5/OR1N1/OR7D4/OR2A5/OR1F1/OR1E1/OR1J2/OR5V1/OR51B4/OR13A1/OR10G2/OR3A3/OR12D2/OR7D2/SLC24A4/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1,24
GO:0050911,detection of chemical stimulus involved in sensory perception of smell,21/1971,22/3974,0.954545454545455,1.92458834924588,4.313337181368,4.4378448554619e-06,0.00725809526110793,0.00722434428312824,OR1N1/OR7D4/OR2A5/OR1F1/OR1E1/OR1J2/OR5V1/OR51B4/OR13A1/OR10G2/OR3A3/OR12D2/OR7D2/SLC24A4/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1,21
GO:0009593,detection of chemical stimulus,32/1971,38/3974,0.842105263157895,1.69788245347005,4.28754461923143,9.01997010035665e-06,0.00747117706887782,0.00743643523597776,TRPV1/SSC5D/KCNMB3/FFAR4/TAS2R5/KCNMB4/OR1N1/OR7D4/OR2A5/NR4A1/KCNK3/OR1F1/TLR9/OR1E1/OR1J2/OR5V1/OR51B4/OR13A1/P2RX2/CLEC7A/OR10G2/OR3A3/OR12D2/OR7D2/SLC24A4/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1,32
GO:0006261,DNA-templated DNA replication,36/1971,44/3974,0.818181818181818,1.64964715649647,4.29803279522884,9.13626055503249e-06,0.00747117706887782,0.00743643523597776,WIZ/POLD1/BOD1L1/TIMELESS/CIZ1/POLG/TERF2/RFC2/CAMSAP3/CHRAC1/RECQL5/CDT1/WRNIP1/CDK2/BCL6/POLE/PURA/POLA2/ZNF830/CDK2AP1/MCM7/DBF4B/MGME1/DDX11/MCM2/MCM3/MCIDAS/LIG1/RFC1/POLE3/POLD3/RAD51/MCM8/RFC4/TICRR/SAMHD1,36
GO:0007606,sensory perception of chemical stimulus,31/1971,37/3974,0.837837837837838,1.68927831941531,4.17806212203795,1.55107264341776e-05,0.00845593102769913,0.00841660997559845,TRPV1/SCNN1D/SCNN1B/TAS2R60/FFAR4/TAS2R5/SCNN1A/ANO9/OR1N1/OR7D4/OR2A5/OR1F1/OR1E1/OR1J2/OR5V1/OR51B4/OR13A1/P2RX2/OR10G2/OR3A3/OR12D2/OR7D2/SLC24A4/C5AR1/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1,31
GO:0050906,detection of stimulus involved in sensory perception,31/1971,37/3974,0.837837837837838,1.68927831941531,4.17806212203795,1.55107264341776e-05,0.00845593102769913,0.00841660997559845,ROM1/TRPV1/SEMA5B/WHRN/FFAR4/TAS2R5/NR2F6/PRPH2/OR1N1/OR7D4/OR2A5/OR1F1/OR1E1/TMC1/OR1J2/OR5V1/OR51B4/OR13A1/OR10G2/OR3A3/OR12D2/OR7D2/SLC24A4/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1/CXCL12,31
GO:0007608,sensory perception of smell,22/1971,25/3974,0.88,1.77428716387621,3.85203848192251,6.40239612619497e-05,0.0299174824696911,0.0297783627343174,ANO9/OR1N1/OR7D4/OR2A5/OR1F1/OR1E1/OR1J2/OR5V1/OR51B4/OR13A1/OR10G2/OR3A3/OR12D2/OR7D2/SLC24A4/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1,22
GO:0006260,DNA replication,62/1971,89/3974,0.696629213483146,1.40456849030037,3.82872052649257,8.37742757128424e-05,0.0342532069820884,0.0340939256289239,BRPF3/WIZ/POLD1/BOD1L1/ASCC2/TIMELESS/CIZ1/POLG/KCTD13/NFIC/TERF2/TSPYL2/CHAF1A/INO80C/CDKN1A/E4F1/RFC2/CAMSAP3/INO80B/CHRAC1/RECQL5/CDT1/INO80E/RBBP6/RNASEH2A/WRNIP1/RECQL4/CDK2/BCL6/POLE/PURA/POLA2/ZNF830/RMI2/TTF1/CDK2AP1/RBBP7/MCM7/DBF4B/MGME1/DUT/DDX11/MCM2/ADRA2A/MCM3/MCIDAS/LIG1/CHAF1B/GINS3/RFC1/TFPT/NASP/RPA2/ING5/POLE3/KIN/POLD3/RAD51/MCM8/RFC4/TICRR/SAMHD1,62
GO:0007600,sensory perception,85/1971,129/3974,0.658914728682171,1.32852721044289,3.76253154003078,0.000108074906667499,0.0386259263283468,0.0384463113271579,ROM1/SLC52A3/KIAA0319/TRPV1/HPS1/SEMA5B/GRIN2D/IRX5/DHRS3/OPA3/DDIT3/WHRN/SCNN1D/GPX1/TRIOBP/HOXD1/SCNN1B/CDKN2D/CRYGS/CCN3/TAS2R60/FFAR4/TAS2R5/NHERF1/NR2F6/POU4F3/ZNF513/PRPH2/NR2E1/SCNN1A/KCNJ10/ANO9/ESPN/ADRA2A/OR1N1/MRGPRX2/OR7D4/OR2A5/CDH23/KCND2/OR1F1/OR1E1/TMC1/OTOGL/OR1J2/OR5V1/PNOC/MYH14/SERPINB6/IMPG2/RDH11/OR51B4/OR13A1/DLL4/CRYGN/COL4A3/MYH1/P2RX2/LRIT3/KCNE1/OR10G2/OR3A3/OR12D2/OR7D2/SLC24A4/NMB/CDH3/C5AR1/SFRP5/RP1L1/OR2A12/OR1D5/TMPRSS3/OR10G4/PRCD/OR1L8/IMPG1/RD3/OR10G7/OR5A1/OR7C1/CACNB2/CXCL12/SLC45A2/IAPP,85
GO:0051606,detection of stimulus,46/1971,63/3974,0.73015873015873,1.47217188921907,3.74704246139589,0.000118085986940834,0.0386259263283468,0.0384463113271579,ROM1/GNA11/TIMELESS/TRPV1/SEMA5B/PNPLA2/WHRN/SSC5D/KCNMB3/FFAR4/CD1D/TAS2R5/NR2F6/PRPH2/KCNMB4/OR1N1/OR7D4/OR2A5/NR4A1/KCNK3/OR1F1/TLR9/OR1E1/TMC1/OR1J2/OR5V1/OR51B4/OR13A1/P2RX2/CLEC7A/OR10G2/OR3A3/PGLYRP1/OR12D2/OR7D2/SLC24A4/JUP/ELOVL4/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1/CXCL12,46
