ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,24/543,27/1164,0.888888888888889,1.90546347452425,4.44955477921538,4.46669365794523e-06,0.000223334682897261,0.000188071311913483,SLC25A28/STAT2/TRIM26/CNP/IFI35/PSMB8/OGFR/TMEM140/MOV10/DHX58/IRF7/LAMP3/HELZ2/IFI30/UBA7/TDRD7/TRIM21/TRAFD1/UBE2L6/PLSCR1/IFITM3/IRF1/SAMD9/HLA-C,24
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,36/543,47/1164,0.765957446808511,1.64194193017515,4.19915647467902,1.95426814729664e-05,0.00048856703682416,0.000411424873115082,PRKACA/WIZ/MARK2/GRINA/EPHX1/AQP3/FOS/AP2S1/CNP/SHOX2/NXF1/BSG/CCND3/GCH1/CDKN2B/CDK2/TUBA4A/HSPA2/CHKA/PSMC3/SULT1A1/JUNB/NR4A1/PRPF3/APOM/ACAA1/H2AX/SLC25A4/FGF18/POLE3/IRF1/ATF3/LHX2/RFC4/UROD/SQSTM1,36
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,37/543,52/1164,0.711538461538462,1.5252868678283,3.62234485607615,0.000225850680416136,0.0037641780069356,0.00316983411110366,PML/SLC25A28/STAT2/ZNFX1/TRIM26/TNFAIP2/IFI35/SECTM1/CDKN1A/PSMB8/OGFR/CASP7/PTPN6/GCH1/DHX58/SERPING1/IRF7/APOL6/HELZ2/LCP2/IFI30/CFB/OAS3/TDRD7/TRIM21/TRAFD1/STAT1/UBE2L6/PSMB10/PLSCR1/IFITM3/IL10RA/BPGM/IRF1/SELP/SAMHD1/IRF4,37
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,36/543,52/1164,0.692307692307692,1.48406289842754,3.33806698306693,0.000652958224654962,0.00816197780818702,0.00687324447005223,POLD1/TUBG1/TIMELESS/KIF22/CDKN1A/MYBL2/RFC2/DNMT1/ASF1B/TCF19/WDR90/SUV39H1/RNASEH2A/SHMT1/UBR7/POLE/POLA2/RBBP7/MCM7/DUT/MCM2/MCM3/LIG1/GINS3/TACC3/ESPL1/H2AX/RFC1/NASP/SNRPB/RPA2/PPP1R8/RANBP1/POLD3/CDKN2C/MLH1,36
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,30/543,43/1164,0.697674418604651,1.49556726198124,3.0951236374519,0.00155142481840952,0.0125418432060543,0.0105615521735194,DMPK/GAA/PDE4DIP/SPTAN1/CLU/SH2B1/EFS/CDKN1A/KLF5/SOD3/AK1/SIRT2/EPHB3/ACTN2/MYH3/MYH11/SORBS3/RYR1/DAPK2/MYOM1/ACTA1/ACTC1/GADD45B/MYH1/PPP1R3C/MYL2/PYGM/CKB/GSN/KCNH1,30
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,40/543,61/1164,0.655737704918033,1.40566977628838,3.04224219740801,0.0017558580488476,0.0125418432060543,0.0105615521735194,MDK/FOS/SLC7A5/ALDH3B1/GPER1/IDH2/MAPK13/XRCC3/LSR/PTPN6/RNASEH2A/ETFB/ITPK1/CLIC3/NHERF1/EMP2/KCNK5/SCNN1A/FOXC1/NAB2/MICB/ST14/GLA/IGSF1/CYP26B1/SULT2B1/KLF4/SFN/MYB/CDH1/EGR3/ZFP36/TMPRSS3/HMGCS2/CKB/DUSP2/IMPA2/CALCR/CXCL12/TJP3,40
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,40/543,61/1164,0.655737704918033,1.40566977628838,3.04224219740801,0.0017558580488476,0.0125418432060543,0.0105615521735194,ABHD4/S100A10/CSRNP2/DDB2/EPHX1/IP6K2/FOS/TSPYL2/OSGIN1/RAD9A/TAX1BP3/CDKN1A/FDXR/PIDD1/HRAS/PPP1R15A/DDIT3/CCND3/AK1/S100A4/PMM1/CDKN2B/NINJ1/BAIAP2/TRAF4/CEBPA/BAX/SLC3A2/STOM/IER5/RPS27L/IFI30/TNFSF9/CTSD/TRAFD1/ST14/KLF4/SFN/ISCU/ATF3,40
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,35/543,53/1164,0.660377358490566,1.4156155530074,2.89478736645277,0.00286777778641695,0.017923611165106,0.0150935672969313,USP11/POLD1/POLR2E/DDB2/GPX4/TAF1C/GTF2F1/POLR2A/TAF10/SNAPC5/GMPR2/RFC2/EIF1B/POLR2J/GTF3C5/AK1/SAC3D1/NCBP2/TAF12/BRF2/POLA2/STX3/DUT/LIG1/TAF9/CCNO/APRT/TARBP2/RPA2/POLD3/RAD51/DGUOK/RFC4/ALYREF/SURF1,35
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,18/543,25/1164,0.72,1.54342541436464,2.56739126670477,0.00862461561472462,0.0479145311929146,0.0403490788992965,LYPD3/SHOX2/GTF3C5/SLC30A3/PDK2/IL5/SPHK2/RYR1/MYOT/AKR1B10/HSD11B2/ACTC1/HTR1D/MACROH2A2/UPK3B/PKP1/COPZ2/PDCD1,18
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,23/543,37/1164,0.621621621621622,1.33253695684635,1.92142215562897,0.0396174065604433,0.198087032802217,0.166810132886077,S100A10/EPHX1/ALAD/NCAPH2/ACADVL/AADAT/GLUL/CEL/CD1D/GABARAPL1/ACOT2/IDH3B/TP53INP2/UBE2L6/ACAA1/GSTZ1/ECH1/RDH11/ACOT8/UROD/IL4I1/HMGCS2/GAPDHS,23
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,14/543,22/1164,0.636363636363636,1.36413862380713,1.61171781756235,0.081223167278277,0.369196214901259,0.310902075706324,GFI1/PGS1/HSPA2/CHRM4/CFTR/TEKT2/CNIH2/SLC2A5/RFC4/CRISP2/GAPDHS/MAP7/IL12RB2/NCAPH,14
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,31/543,55/1164,0.563636363636364,1.2082370668006,1.47882771601474,0.0900864481317421,0.375360200548926,0.316092800462253,PTGR1/POR/DHRS1/EPHX1/SERTAD1/PGD/PINK1/LCAT/PMM1/GCH1/SLC1A5/FBLN1/CSAD/NINJ1/ABHD6/FBP1/GABARAPL1/DDT/SERPINA6/ITIH4/CFB/RAP1GAP/GCLC/ABCC3/PSMB10/ECH1/HRG/JUP/LEAP2/CASP6/FMO3,31
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,17/543,29/1164,0.586206896551724,1.25662030863022,1.30808529408375,0.131390592033978,0.505348430899917,0.425556573389403,OPTN/FDXR/ABCD1/PHYH/IDH2/CH25H/HSD17B6/SERPINA6/DIO2/PEX16/HSD3B1/SULT2B1/PIPOX/EFHC1/SLC23A1/PAOX/CYP46A1,17
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,30/543,55/1164,0.545454545454545,1.16926167754897,1.20203796501921,0.143684746919303,0.513159810426083,0.432134577200912,BRPF3/RHOG/GNB2/CLU/PRSS36/CASP7/NOTCH4/C3/MMP15/CEBPB/SRC/WAS/CP/SERPING1/IRF7/APOBEC3F/ACTN2/CASP9/GATA3/LGMN/LCP2/CFB/CTSD/CSRP1/PLSCR1/PIK3CG/RABIF/IRF1/DGKG/ADRA2B,30
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,29/543,55/1164,0.527272727272727,1.13028628829734,0.925248214023691,0.215395131708408,0.684511653839776,0.576430866391391,RANBP10/SLC10A3/AQP3/OPTN/E2F2/ALAD/BSG/C3/CCND3/UCP2/HDGF/DMTN/ANK1/SELENBP1/GATA1/TMCC2/RBM38/RAP1GAP/GCLC/RHD/PIGQ/TNS1/BPGM/GLRX5/GYPE/UROD/SPTB/FTCD/SYNJ1,29
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,13/543,23/1164,0.565217391304348,1.21162623108335,0.95815234181913,0.227151465392958,0.684511653839776,0.576430866391391,GUSB/ATF5/CLU/STX5/EBP/LGMN/CHKA/ECH1/PLSCR1/STARD4/FBXO6/ATF3/PMVK,13
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,21/543,40/1164,0.525,1.12541436464088,0.754463257563656,0.275940407903078,0.684511653839776,0.576430866391391,COQ9/MIGA2/POR/GPX4/UCK1/LPCAT3/PHYH/C3/UCP2/PHLDB1/SLC1A5/ETFB/BCL6/STOM/DDT/SLC25A10/CHCHD10/SULT1A1/SLC25A1/ECH1/CDKN2C,21
HALLMARK_COAGULATION,HALLMARK_COAGULATION,20/543,38/1164,0.526315789473684,1.12823495202094,0.751230113864532,0.278361545541603,0.684511653839776,0.576430866391391,USP11/GNB2/CLU/C3/SIRT2/MMP15/SERPING1/CASP9/LGMN/MEP1A/CFB/CSRP1/PEF1/CFI/RABIF/HRG/ISCU/HMGCS2/GSN/VWF,20
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,4/543,6/1164,0.666666666666667,1.42909760589319,0.984966384738807,0.28271228886514,0.684511653839776,0.576430866391391,MAFB/PCSK1/GCG/IAPP,4
