ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-69239,Synthesis of DNA,21/1191,22/2419,0.954545454545455,1.93874513395924,4.35521769281427,3.70482968989578e-06,0.00249335038129986,0.00233989243572365,POLD1/ANAPC2/CDT1/PSMB4/UBB/CDK2/POLE/POLA2/MCM2/PSMC3/MCM3/PSMB5/LIG1/GINS3/RFC1/RPA2/POLE3/POLD3/MCM8/RFC4/ANAPC16,21
R-HSA-5419276,Mitochondrial translation termination,24/1191,27/2419,0.888888888888889,1.80539229405728,4.14375061315217,1.61673511731564e-05,0.00511280940701258,0.00479813192180738,ERAL1/MT-ND5/MRPL44/MRPL37/MT-CYB/MRPS18A/MT-ATP8/MT-ATP6/MRPL49/MT-ND4/MT-ND6/MT-ND4L/MT-ND2/MT-CO1/MRPL18/MT-CO2/MRPL34/MRPS11/MRPL28/AURKAIP1/MRPS24/MRPL46/MRPS16/MT-CO3,24
R-HSA-9752946,Expression and translocation of olfactory receptors,21/1191,23/2419,0.91304347826087,1.85445186726536,4.0540860254907,2.2791126628585e-05,0.00511280940701258,0.00479813192180738,OR1N1/OR7D4/OR2A5/OR1F1/OR1E1/OR1J2/OR5V1/OR51B4/OR13A1/OR10G2/OR3A3/OR12D2/OR7D2/LHX2/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1,21
R-HSA-5368287,Mitochondrial translation,25/1191,29/2419,0.862068965517241,1.75091925070211,4.00569734143666,3.3986335719147e-05,0.00571820098474649,0.00536626353460216,ERAL1/MTRFR/MT-ND5/MRPL44/MRPL37/MT-CYB/MRPS18A/MT-ATP8/MT-ATP6/MRPL49/MT-ND4/MT-ND6/MT-ND4L/MT-ND2/MT-CO1/MRPL18/MT-CO2/MRPL34/MRPS11/MRPL28/AURKAIP1/MRPS24/MRPL46/MRPS16/MT-CO3,25
R-HSA-381753,Olfactory Signaling Pathway,21/1191,24/2419,0.875,1.77718303946264,3.76756732699898,9.76652781418242e-05,0.0111674059499216,0.0104800869163259,OR1N1/OR7D4/OR2A5/OR1F1/OR1E1/OR1J2/OR5V1/OR51B4/OR13A1/OR10G2/OR3A3/OR12D2/OR7D2/LHX2/OR2A12/OR1D5/OR10G4/OR1L8/OR10G7/OR5A1/OR7C1,21
R-HSA-69306,DNA Replication,27/1191,33/2419,0.818181818181818,1.66178154339363,3.76895755621726,0.000105748067939879,0.0111674059499216,0.0104800869163259,POLD1/ANAPC2/POLG/CDT1/TOP3A/H2AB1/PSMB4/UBB/CDK2/H2AZ2/POLE/POLA2/MGME1/MCM2/PSMC3/MCM3/PSMB5/LIG1/GINS3/H2AX/RFC1/RPA2/POLE3/POLD3/MCM8/RFC4/ANAPC16,27
R-HSA-72172,mRNA Splicing,39/1191,52/2419,0.75,1.52329974811083,3.75610664242008,0.000116154296655946,0.0111674059499216,0.0104800869163259,POLR2E/SNRNP70/TFIP11/XAB2/SF3A2/PRCC/SF3A1/GTF2F1/SART1/CACTIN/YJU2/POLR2A/FAM32A/RBM10/RBM22/POLR2J/LENG1/PRPF6/EIF4A3/POLR2L/SF3B2/RBM42/HTATSF1/ZNF830/SF3B4/RBM25/RNF113A/FAM50A/PRPF3/PQBP1/SNRNP25/ZRSR2/BCAS2/SNRNP27/ALYREF/BUD31/DDX46/U2AF1L4/SNW1,39
R-HSA-69002,DNA Replication Pre-Initiation,18/1191,20/2419,0.9,1.827959697733,3.66095100558039,0.000148648495332714,0.0125050546698646,0.0117354075262669,ANAPC2/CDT1/H2AB1/PSMB4/UBB/CDK2/H2AZ2/POLE/POLA2/MCM2/PSMC3/MCM3/PSMB5/H2AX/RPA2/POLE3/MCM8/ANAPC16,18
R-HSA-69242,S Phase,24/1191,29/2419,0.827586206896552,1.68088248067402,3.63209378387438,0.000187240704985722,0.0140014438283768,0.0131396985954893,POLD1/ANAPC2/CDKN1A/CDT1/E2F1/LIN37/PSMB4/UBB/CDK2/POLE/POLA2/MCM2/PSMC3/MCM3/PSMB5/LIG1/GINS3/RFC1/RPA2/POLE3/POLD3/MCM8/RFC4/ANAPC16,24
R-HSA-72163,mRNA Splicing - Major Pathway,37/1191,50/2419,0.74,1.50298908480269,3.53871737213535,0.000279658775432962,0.0188210355866383,0.0176626595010292,POLR2E/SNRNP70/TFIP11/XAB2/SF3A2/PRCC/SF3A1/GTF2F1/SART1/CACTIN/YJU2/POLR2A/FAM32A/RBM10/RBM22/POLR2J/LENG1/PRPF6/EIF4A3/POLR2L/SF3B2/RBM42/HTATSF1/ZNF830/SF3B4/RBM25/RNF113A/FAM50A/PRPF3/PQBP1/BCAS2/SNRNP27/ALYREF/BUD31/DDX46/U2AF1L4/SNW1,37
R-HSA-69052,Switching of origins to a post-replicative state,11/1191,11/2419,1,2.03106633081444,3.37473404064686,0.000402539750633805,0.0236454398891977,0.0221901367537634,ANAPC2/CDT1/PSMB4/UBB/CDK2/MCM2/PSMC3/MCM3/PSMB5/MCM8/ANAPC16,11
