ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0032611,interleukin-1 beta production,5/186,23/3974,0.217391304347826,4.64469378214119,3.8840268054632,0.0035943732134909,0.992922180391106,0.992922180391106,PML/HSPB1/SIRPA/CPTP/GSDMD,5
GO:0032651,regulation of interleukin-1 beta production,5/186,23/3974,0.217391304347826,4.64469378214119,3.8840268054632,0.0035943732134909,0.992922180391106,0.992922180391106,PML/HSPB1/SIRPA/CPTP/GSDMD,5
GO:0009268,response to pH,4/186,15/3974,0.266666666666667,5.69749103942652,4.0385885389961,0.00422303284530821,0.992922180391106,0.992922180391106,RAB11B/GNA11/SLC9A1/GBA1,4
GO:0072595,maintenance of protein localization in organelle,4/186,16/3974,0.25,5.34139784946237,3.85533794418076,0.00542750123479109,0.992922180391106,0.992922180391106,PML/SUPT7L/GPAA1/CIZ1,4
GO:1903573,negative regulation of response to endoplasmic reticulum stress,4/186,17/3974,0.235294117647059,5.02719797596458,3.68684759179446,0.00684175789547826,0.992922180391106,0.992922180391106,SYVN1/CREB3L1/SGTA/GRINA,4
GO:0006914,autophagy,17/186,191/3974,0.0890052356020942,1.90164949614367,2.82974321184096,0.00727801387852948,0.992922180391106,0.992922180391106,PRKACA/STING1/KEAP1/ATP6V0C/ZFYVE1/SYT11/MARK2/GAA/HSPB1/CDC37/VPS37C/AP5Z1/CPTP/SYK/TOLLIP/GBA1/VPS18,17
GO:0061919,process utilizing autophagic mechanism,17/186,191/3974,0.0890052356020942,1.90164949614367,2.82974321184096,0.00727801387852948,0.992922180391106,0.992922180391106,PRKACA/STING1/KEAP1/ATP6V0C/ZFYVE1/SYT11/MARK2/GAA/HSPB1/CDC37/VPS37C/AP5Z1/CPTP/SYK/TOLLIP/GBA1/VPS18,17
GO:0060338,regulation of type I interferon-mediated signaling pathway,4/186,18/3974,0.222222222222222,4.7479091995221,3.5310831240469,0.00848008276640496,0.992922180391106,0.992922180391106,STING1/CDC37/TRIM56/STAT2,4
GO:0032612,interleukin-1 production,5/186,28/3974,0.178571428571429,3.8152841781874,3.31232913237401,0.00868410207093896,0.992922180391106,0.992922180391106,PML/HSPB1/SIRPA/CPTP/GSDMD,5
GO:0032652,regulation of interleukin-1 production,5/186,28/3974,0.178571428571429,3.8152841781874,3.31232913237401,0.00868410207093896,0.992922180391106,0.992922180391106,PML/HSPB1/SIRPA/CPTP/GSDMD,5
