ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,4/46,47/1164,0.0851063829787234,2.15356151711378,1.63685787956831,0.110126082895778,0.795100275973146,0.795100275973146,PRKACA/WIZ/MARK2/GRINA,4
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,5/46,68/1164,0.0735294117647059,1.86061381074169,1.48287779460026,0.125143657880707,0.795100275973146,0.795100275973146,MDK/TUBG1/SIRPA/INPPL1/SYK,5
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,4/46,52/1164,0.0769230769230769,1.94648829431438,1.41583419400242,0.145091946539428,0.795100275973146,0.795100275973146,PML/SLC25A28/STAT2/ZNFX1,4
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,4/46,53/1164,0.0754716981132076,1.90976210008203,1.37453757776098,0.152571818536614,0.795100275973146,0.795100275973146,USP11/POLD1/POLR2E/DDB2,4
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,3/46,40/1164,0.075,1.89782608695652,1.17162041763114,0.207305419274338,0.795100275973146,0.795100275973146,COQ9/MIGA2/POR,3
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,4/46,61/1164,0.0655737704918033,1.65930149679259,1.07252912487962,0.217265637788585,0.795100275973146,0.795100275973146,ABHD4/S100A10/CSRNP2/DDB2,4
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,2/46,23/1164,0.0869565217391304,2.20037807183365,1.17892728878374,0.229553772150334,0.795100275973146,0.795100275973146,GUSB/ATF5,2
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,2/46,24/1164,0.0833333333333333,2.10869565217391,1.11279050422233,0.244478594529147,0.795100275973146,0.795100275973146,STAT2/TYK2,2
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,2/46,27/1164,0.0740740740740741,1.8743961352657,0.932089789542396,0.289436064339382,0.795100275973146,0.795100275973146,SLC25A28/STAT2,2
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,1/46,9/1164,0.111111111111111,2.81159420289855,1.10621376006659,0.305225295237552,0.795100275973146,0.795100275973146,PML,1
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,3/46,52/1164,0.0576923076923077,1.45986622073579,0.687905306273262,0.338524915396896,0.795100275973146,0.795100275973146,POLD1/TUBG1/TIMELESS,3
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,3/46,52/1164,0.0576923076923077,1.45986622073579,0.687905306273262,0.338524915396896,0.795100275973146,0.795100275973146,PML/HMGN2/ATF5,3
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,3/46,55/1164,0.0545454545454545,1.3802371541502,0.585757683406819,0.371954328348105,0.795100275973146,0.795100275973146,PTGR1/POR/DHRS1,3
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,2/46,35/1164,0.0571428571428571,1.44596273291925,0.54316714289291,0.406863605037263,0.795100275973146,0.795100275973146,CSNK2B/STAT2,2
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,1/46,13/1164,0.0769230769230769,1.94648829431438,0.695820361168391,0.409597111864954,0.795100275973146,0.795100275973146,HSPB1,1
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,1/46,13/1164,0.0769230769230769,1.94648829431438,0.695820361168391,0.409597111864954,0.795100275973146,0.795100275973146,MAP3K6,1
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,1/46,13/1164,0.0769230769230769,1.94648829431438,0.695820361168391,0.409597111864954,0.795100275973146,0.795100275973146,DTX2,1
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,2/46,43/1164,0.0465116279069768,1.17694641051567,0.239729262875857,0.514868385166109,0.943218844802743,0.943218844802743,DMPK/GAA,2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2/46,49/1164,0.0408163265306122,1.03283052351375,0.0476086959387637,0.58728746280253,0.943218844802743,0.943218844802743,ATP6V0C/POR,2
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,2/46,53/1164,0.0377358490566038,0.954881050041017,-0.0681691314489214,0.631117638499404,0.943218844802743,0.943218844802743,HSPB1/CASP2,2
