ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-6798695,Neutrophil degranulation,12/106,131/2419,0.0916030534351145,2.09045081376926,2.74667315697949,0.0105605829880353,0.782974971662914,0.782974971662914,STING1/GUSB/ATP6V0C/GAA/CSNK2B/SIRPA/GALNS/RHOG/TOLLIP/ARSA/GSDMD/NEU1,12
R-HSA-9679191,Potential therapeutics for SARS,4/106,24/2419,0.166666666666667,3.80345911949686,2.95420313050183,0.0188001388297855,0.782974971662914,0.782974971662914,KEAP1/GATAD2A/STAT2/TYK2,4
R-HSA-391251,Protein folding,4/106,26/2419,0.153846153846154,3.51088534107402,2.75508796981493,0.0247373620308231,0.782974971662914,0.782974971662914,GNA11/CSNK2B/TBCC/GBA1,4
R-HSA-5663084,Diseases of carbohydrate metabolism,3/106,15/2419,0.2,4.56415094339623,2.96365571515524,0.0253308061728226,0.782974971662914,0.782974971662914,GUSB/GAA/GALNS,3
R-HSA-1483206,Glycerophospholipid biosynthesis,4/106,27/2419,0.148148148148148,3.38085255066387,2.66272955483951,0.0280854709191061,0.782974971662914,0.782974971662914,ABHD4/CDIPT/MIGA2/CSNK2B,4
R-HSA-168249,Innate Immune System,17/106,240/2419,0.0708333333333333,1.61647012578616,2.1536856071689,0.0290462079259129,0.782974971662914,0.782974971662914,PRKACA/STING1/GUSB/ATP6V0C/OTUD5/GAA/CSNK2B/CNPY3/TRIM56/SIRPA/POLR2E/GALNS/RHOG/TOLLIP/ARSA/GSDMD/NEU1,17
R-HSA-112382,Formation of RNA Pol II elongation complex,3/106,16/2419,0.1875,4.27889150943396,2.81645889703804,0.0302032354214853,0.782974971662914,0.782974971662914,MLLT1/NELFA/POLR2E,3
R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,3/106,16/2419,0.1875,4.27889150943396,2.81645889703804,0.0302032354214853,0.782974971662914,0.782974971662914,NELFA/POLR2E/DDB2,3
R-HSA-75955,RNA Polymerase II Transcription Elongation,3/106,16/2419,0.1875,4.27889150943396,2.81645889703804,0.0302032354214853,0.782974971662914,0.782974971662914,MLLT1/NELFA/POLR2E,3
R-HSA-9840310,Glycosphingolipid catabolism,3/106,17/2419,0.176470588235294,4.02719200887902,2.68084183392557,0.0355330432911359,0.782974971662914,0.782974971662914,ARSA/GBA1/NEU1,3
R-HSA-9820952,Respiratory Syncytial Virus Infection Pathway,4/106,29/2419,0.137931034482759,3.1476903057905,2.49037627214835,0.0355579109407859,0.782974971662914,0.782974971662914,MED25/CSNK2B/STAT2/TYK2,4
R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,3/106,18/2419,0.166666666666667,3.80345911949686,2.55521627261189,0.0413144721273711,0.782974971662914,0.782974971662914,PRKACA/TUBG1/CDK11B,3
R-HSA-380287,Centrosome maturation,3/106,18/2419,0.166666666666667,3.80345911949686,2.55521627261189,0.0413144721273711,0.782974971662914,0.782974971662914,PRKACA/TUBG1/CDK11B,3
R-HSA-1483257,Phospholipid metabolism,6/106,59/2419,0.101694915254237,2.32075471698113,2.19829230285072,0.0419826527981314,0.782974971662914,0.782974971662914,ABHD4/CDIPT/PLEKHA4/MIGA2/CSNK2B/INPPL1,6
R-HSA-8951664,Neddylation,6/106,59/2419,0.101694915254237,2.32075471698113,2.19829230285072,0.0419826527981314,0.782974971662914,0.782974971662914,COPS7B/KEAP1/FBXL12/CCDC22/BTBD6/DDB2,6
R-HSA-212165,Epigenetic regulation of gene expression,6/106,60/2419,0.1,2.28207547169811,2.15237783329299,0.0450430244566554,0.782974971662914,0.782974971662914,BOD1L1/DPF2/AKAP8L/ZNF317/POLR2E/GATAD2A,6
R-HSA-556833,Metabolism of lipids,14/106,197/2419,0.0710659898477157,1.62177952303419,1.94890543021871,0.0452885791058804,0.782974971662914,0.782974971662914,PRKACA/TECR/ABHD4/CDIPT/MED25/PLEKHA4/MIGA2/CSNK2B/PTGR1/CSNK1G2/INPPL1/ARSA/GBA1/NEU1,14
R-HSA-8953897,Cellular responses to stimuli,14/106,198/2419,0.0707070707070707,1.6135887173623,1.92854130805059,0.0469620305042517,0.782974971662914,0.782974971662914,PRKACA/KEAP1/ZBTB17/SYVN1/CRTC2/ATP6V0C/ANAPC2/GNA11/CSNK2B/CREB3L1/SULT1A3/CASTOR2/ATF5/HSF1,14
R-HSA-5696398,Nucleotide Excision Repair,4/106,32/2419,0.125,2.85259433962264,2.25799188587889,0.0487320160221668,0.782974971662914,0.782974971662914,COPS7B/POLD1/POLR2E/DDB2,4
R-HSA-2262752,Cellular responses to stress,12/106,163/2419,0.0736196319018405,1.68005556198634,1.92425186429758,0.0495579693409284,0.782974971662914,0.782974971662914,KEAP1/ZBTB17/SYVN1/CRTC2/ATP6V0C/ANAPC2/CSNK2B/CREB3L1/SULT1A3/CASTOR2/ATF5/HSF1,12
R-HSA-381119,Unfolded Protein Response (UPR),4/106,35/2419,0.114285714285714,2.60808625336927,2.05108425386268,0.0642597402765466,0.782974971662914,0.782974971662914,ZBTB17/SYVN1/CREB3L1/SULT1A3,4
R-HSA-167242,Abortive elongation of HIV-1 transcript in the absence of Tat,2/106,10/2419,0.2,4.56415094339623,2.41730223078867,0.0680343294067237,0.782974971662914,0.782974971662914,NELFA/POLR2E,2
R-HSA-6804758,Regulation of TP53 Activity through Acetylation,2/106,10/2419,0.2,4.56415094339623,2.41730223078867,0.0680343294067237,0.782974971662914,0.782974971662914,BRPF1/GATAD2A,2
R-HSA-1834949,Cytosolic sensors of pathogen-associated DNA,3/106,22/2419,0.136363636363636,3.11192109777015,2.12984636311196,0.068769781885753,0.782974971662914,0.782974971662914,STING1/TRIM56/POLR2E,3
R-HSA-1660662,Glycosphingolipid metabolism,3/106,23/2419,0.130434782608696,2.9766201804758,2.03862338026978,0.0766550488236095,0.782974971662914,0.782974971662914,ARSA/GBA1/NEU1,3
R-HSA-381038,XBP1(S) activates chaperone genes,3/106,23/2419,0.130434782608696,2.9766201804758,2.03862338026978,0.0766550488236095,0.782974971662914,0.782974971662914,ZBTB17/SYVN1/SULT1A3,3
R-HSA-5696399,Global Genome Nucleotide Excision Repair (GG-NER),3/106,23/2419,0.130434782608696,2.9766201804758,2.03862338026978,0.0766550488236095,0.782974971662914,0.782974971662914,COPS7B/POLD1/DDB2,3
R-HSA-9833110,RSV-host interactions,3/106,23/2419,0.130434782608696,2.9766201804758,2.03862338026978,0.0766550488236095,0.782974971662914,0.782974971662914,MED25/STAT2/TYK2,3
R-HSA-113418,Formation of the Early Elongation Complex,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,NELFA/POLR2E,2
R-HSA-167152,Formation of HIV elongation complex in the absence of HIV Tat,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,NELFA/POLR2E,2
R-HSA-167158,Formation of the HIV-1 Early Elongation Complex,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,NELFA/POLR2E,2
R-HSA-167169,HIV Transcription Elongation,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,NELFA/POLR2E,2
R-HSA-167200,Formation of HIV-1 elongation complex containing HIV-1 Tat,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,NELFA/POLR2E,2
R-HSA-167246,Tat-mediated elongation of the HIV-1 transcript,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,NELFA/POLR2E,2
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,MIB2/DTX2,2
R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,MIB2/MDK,2
R-HSA-5696394,DNA Damage Recognition in GG-NER,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,COPS7B/DDB2,2
R-HSA-9639288,Amino acids regulate mTORC1,2/106,11/2419,0.181818181818182,4.14922813036021,2.24060596538131,0.0808341031368537,0.782974971662914,0.782974971662914,ATP6V0C/CASTOR2,2
