ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006412,translation,59/383,156/2843,0.378205128205128,2.80740777933989,9.16069625720918,2.49754032376705e-15,5.43964282516463e-12,5.06606337252537e-12,DAP3/TRAP1/BZW2/EIF3M/METTL5/MRPL24/PAIP1/APEH/EIF3E/NPM1/COPS5/MRPS35/EIF5A/MRPS28/EIF3H/DDX1/NARS2/MRPL3/RPLP0/PTRH1/FARSB/MRPL39/EIF3C/RPS16/MRPL30/LRPPRC/RPS18/ELP2/DARS1/EIF2B3/MRPL4/RPL38/KCMF1/FARS2/ELP4/RPUSD3/FXR1/RACK1/RPS7/RPS14/MRPL19/RPL14/RARS1/OTUD6B/NAT10/DHPS/HSPA5/EIF4E/NEURL1/RPL37A/RPL4/RPS5/MRPL42/BZW1/RPL7/EEFSEC/MRPL1/EIF5AL1/PUS7,59
GO:0022613,ribonucleoprotein complex biogenesis,42/383,91/2843,0.461538461538462,3.42598915444868,9.27959893961731,1.09882897559951e-14,1.19662475442787e-11,1.11444391367382e-11,EIF3M/STRAP/METTL5/DCAF13/IMP4/EIF3E/NPM1/EIF3H/NOL10/DDX1/NPM3/RPLP0/SRSF9/CLNS1A/LSM2/EIF3C/WDR12/RPS16/UTP18/NOA1/PWP1/EXOSC7/RPL38/SRPK1/CINP/RPS7/RPS14/XRCC5/RPL14/HSP90AB1/DDX10/PTGES3/COIL/NAT10/TFB1M/RPS5/RBFA/RPL7/TBL3/TFB2M/DDX18/NAF1,42
GO:0042254,ribosome biogenesis,29/383,57/2843,0.508771929824562,3.77660207961156,8.35419073840032,8.70172511165801e-12,6.31745243106372e-09,5.88358747023333e-09,METTL5/DCAF13/IMP4/NPM1/NOL10/NPM3/RPLP0/WDR12/RPS16/UTP18/NOA1/PWP1/EXOSC7/RPL38/CINP/RPS7/RPS14/XRCC5/RPL14/DDX10/NAT10/TFB1M/RPS5/RBFA/RPL7/TBL3/TFB2M/DDX18/NAF1,29
GO:0002181,cytoplasmic translation,20/383,30/2843,0.666666666666667,4.94865100087032,8.57765119783886,2.03579736336849e-11,1.10849166435414e-08,1.03236355768713e-08,EIF3M/PAIP1/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/EIF2B3/RPL38/KCMF1/FXR1/RACK1/RPS7/RPS14/RPL14/RPL37A/RPL4/RPS5/RPL7,20
GO:0006364,rRNA processing,22/383,41/2843,0.536585365853659,3.98306056167611,7.59038497873668,8.43859075572016e-10,3.6758501331917e-07,3.423403028689e-07,METTL5/DCAF13/IMP4/NOL10/NPM3/WDR12/RPS16/UTP18/PWP1/EXOSC7/RPS7/RPS14/RPL14/DDX10/NAT10/TFB1M/RBFA/RPL7/TBL3/TFB2M/DDX18/NAF1,22
GO:0016072,rRNA metabolic process,23/383,45/2843,0.511111111111111,3.79396576733391,7.45327855646953,1.22868998823322e-09,4.4601446572866e-07,4.15383439881652e-07,METTL5/DCAF13/IMP4/NOL10/NPM3/WDR12/RPS16/UTP18/PWP1/EXOSC7/RPS7/RPS14/RPL14/DDX10/NAT10/TFB1M/POLR1B/RBFA/RPL7/TBL3/TFB2M/DDX18/NAF1,23
GO:0006520,amino acid metabolic process,25/383,62/2843,0.403225806451613,2.99313568601028,6.26002525885099,1.01067119460485e-07,3.14463123121339e-05,2.92866675489256e-05,ACY1/PYCR1/SMS/BCAT2/NARS2/GCAT/FARSB/GCSH/ENOPH1/PCBD1/DARS1/PCCB/ASL/FARS2/BPHL/GCDH/GOT2/DLD/RARS1/ETFA/HIBADH/HIBCH/AZIN1/APIP/OAT,25
GO:0006413,translational initiation,16/383,30/2843,0.533333333333333,3.95892080069626,6.42766112903076,2.10118363960946e-07,5.72047245883674e-05,5.32760641253608e-05,BZW2/EIF3M/PAIP1/EIF3E/NPM1/COPS5/EIF3H/DDX1/EIF3C/EIF2B3/KCMF1/FXR1/HSPA5/EIF4E/RPS5/BZW1,16
GO:0042274,ribosomal small subunit biogenesis,12/383,18/2843,0.666666666666667,4.94865100087032,6.63009341225886,2.63462746453926e-07,6.37579846418502e-05,5.93792646101422e-05,DCAF13/IMP4/NPM1/NOL10/RPS16/UTP18/RPS7/RPS14/XRCC5/NAT10/RPS5/TBL3,12
GO:0006396,RNA processing,45/383,163/2843,0.276073619631902,2.04928799115796,5.44333393365887,6.41859863919507e-07,0.000139797078361669,0.000130196206081357,STRAP/METTL5/DCAF13/IMP4/NPM1/NOL10/THOC7/DDX1/NPM3/SRSF9/CLNS1A/LSM2/WDR12/DAZAP1/RPS16/UTP18/LRPPRC/ELP2/PWP1/EXOSC7/TBRG4/FARS2/ELP4/INTS13/RPUSD3/SRPK1/RPS7/HNRNPC/RPS14/GRSF1/RPL14/DDX10/DHX15/COIL/NAT10/TFB1M/RBFA/RPL7/TBL3/TFB2M/INTS15/DDX18/DCPS/PUS7/NAF1,45
