ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006412,translation,59/383,156/2843,0.378205128205128,2.80740777933989,9.16069625720918,2.49754032376705e-15,5.43964282516463e-12,5.06606337252537e-12,DAP3/TRAP1/BZW2/EIF3M/METTL5/MRPL24/PAIP1/APEH/EIF3E/NPM1/COPS5/MRPS35/EIF5A/MRPS28/EIF3H/DDX1/NARS2/MRPL3/RPLP0/PTRH1/FARSB/MRPL39/EIF3C/RPS16/MRPL30/LRPPRC/RPS18/ELP2/DARS1/EIF2B3/MRPL4/RPL38/KCMF1/FARS2/ELP4/RPUSD3/FXR1/RACK1/RPS7/RPS14/MRPL19/RPL14/RARS1/OTUD6B/NAT10/DHPS/HSPA5/EIF4E/NEURL1/RPL37A/RPL4/RPS5/MRPL42/BZW1/RPL7/EEFSEC/MRPL1/EIF5AL1/PUS7,59
GO:0022613,ribonucleoprotein complex biogenesis,42/383,91/2843,0.461538461538462,3.42598915444868,9.27959893961731,1.09882897559951e-14,1.19662475442787e-11,1.11444391367382e-11,EIF3M/STRAP/METTL5/DCAF13/IMP4/EIF3E/NPM1/EIF3H/NOL10/DDX1/NPM3/RPLP0/SRSF9/CLNS1A/LSM2/EIF3C/WDR12/RPS16/UTP18/NOA1/PWP1/EXOSC7/RPL38/SRPK1/CINP/RPS7/RPS14/XRCC5/RPL14/HSP90AB1/DDX10/PTGES3/COIL/NAT10/TFB1M/RPS5/RBFA/RPL7/TBL3/TFB2M/DDX18/NAF1,42
GO:0006364,rRNA processing,22/383,41/2843,0.536585365853659,3.98306056167611,7.59038497873668,8.43859075572016e-10,3.6758501331917e-07,3.423403028689e-07,METTL5/DCAF13/IMP4/NOL10/NPM3/WDR12/RPS16/UTP18/PWP1/EXOSC7/RPS7/RPS14/RPL14/DDX10/NAT10/TFB1M/RBFA/RPL7/TBL3/TFB2M/DDX18/NAF1,22
GO:0016072,rRNA metabolic process,23/383,45/2843,0.511111111111111,3.79396576733391,7.45327855646953,1.22868998823322e-09,4.4601446572866e-07,4.15383439881652e-07,METTL5/DCAF13/IMP4/NOL10/NPM3/WDR12/RPS16/UTP18/PWP1/EXOSC7/RPS7/RPS14/RPL14/DDX10/NAT10/TFB1M/POLR1B/RBFA/RPL7/TBL3/TFB2M/DDX18/NAF1,23
GO:0006520,amino acid metabolic process,25/383,62/2843,0.403225806451613,2.99313568601028,6.26002525885099,1.01067119460485e-07,3.14463123121339e-05,2.92866675489256e-05,ACY1/PYCR1/SMS/BCAT2/NARS2/GCAT/FARSB/GCSH/ENOPH1/PCBD1/DARS1/PCCB/ASL/FARS2/BPHL/GCDH/GOT2/DLD/RARS1/ETFA/HIBADH/HIBCH/AZIN1/APIP/OAT,25
GO:0006396,RNA processing,45/383,163/2843,0.276073619631902,2.04928799115796,5.44333393365887,6.41859863919507e-07,0.000139797078361669,0.000130196206081357,STRAP/METTL5/DCAF13/IMP4/NPM1/NOL10/THOC7/DDX1/NPM3/SRSF9/CLNS1A/LSM2/WDR12/DAZAP1/RPS16/UTP18/LRPPRC/ELP2/PWP1/EXOSC7/TBRG4/FARS2/ELP4/INTS13/RPUSD3/SRPK1/RPS7/HNRNPC/RPS14/GRSF1/RPL14/DDX10/DHX15/COIL/NAT10/TFB1M/RBFA/RPL7/TBL3/TFB2M/INTS15/DDX18/DCPS/PUS7/NAF1,45
GO:0044281,small molecule metabolic process,74/383,332/2843,0.22289156626506,1.65451885872472,5.00624062527885,1.78706898030806e-06,0.000353839658100996,0.00032953894019652,ATP5F1C/OLA1/NTHL1/LDHA/PTGES2/NME2/ECHDC3/GFUS/NDUFV2/PYCR1/SMS/ENO1/PRMT3/GMPS/BCAT2/LYPLA1/ATP5F1A/ATP5PO/ADK/PPA2/MTCH2/PAICS/GCAT/ATP5F1B/GALK1/MACROD1/GCSH/DDB1/ELOVL1/ENOPH1/PGK1/PCBD1/SHPK/PCCB/PPAT/ASL/NDUFS1/MRS2/RTN4IP1/FOXK2/CTPS2/SLC37A4/PRKAG1/BPHL/SLC25A13/DLAT/GPI/SUCLG2/FIS1/GCDH/NDUFA10/GOT2/DLD/SLC25A15/PEX7/SORD/NDUFS2/ETFA/PTGES3/FADS3/SULT1E1/COQ3/HIBADH/PFKFB4/PMM2/ADCK2/HIBCH/SLC19A2/AZIN1/APIP/OAT/ESD/SRD5A3/NDUFB5,74
GO:0006457,protein folding,15/383,32/2843,0.46875,3.47952023498695,5.56488371220785,4.27569135119349e-06,0.000776037980241619,0.000722741862609637,TRAP1/TBCB/TBCA/HSPD1/CCT8/CCT4/CCT3/NUDCD2/HSPA4/HSP90AB1/DNAJC19/PTGES3/HSPA5/PDIA4/PDIA6,15
GO:0033365,protein localization to organelle,41/383,155/2843,0.264516129032258,1.96349701002274,4.86682195313468,6.96816626867456e-06,0.00116743585639794,0.00108725962750898,YWHAE/TMEM147/YWHAZ/NPM1/DVL1/PHB2/HSPD1/LYPLA1/DDX1/CCT8/MTCH2/GDI2/CCT4/CCT3/CDK5/ECT2/MTX2/VPS35/KCMF1/INTS13/BCAP31/MEAK7/GPSM2/IPO5/HSPA4/XRCC5/VPS28/PTTG1IP/BTF3/UBL4A/PEX7/VAPA/MVB12A/DNAJC19/NUP35/TRIM37/HSPA5/EI24/ZW10/PIK3R2/SH3BP4,41
GO:0009259,ribonucleotide metabolic process,28/383,90/2843,0.311111111111111,2.30937046707282,4.97994516170652,8.33090211688548e-06,0.00120964698737177,0.0011265718160869,ATP5F1C/OLA1/LDHA/NME2/NDUFV2/ENO1/GMPS/ATP5F1A/ATP5PO/ADK/MTCH2/PAICS/ATP5F1B/GALK1/PGK1/PPAT/NDUFS1/FOXK2/CTPS2/PRKAG1/SLC25A13/GPI/FIS1/NDUFA10/NDUFS2/SULT1E1/PFKFB4/NDUFB5,28
