ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,35/141,55/945,0.636363636363636,4.26499032882012,10.4432522858304,1.01125952926146e-17,3.84278621119355e-16,3.29989951653739e-16,YWHAE/PSMD14/LDHA/VDAC1/NPM1/COPS5/PHB2/HSPD1/YWHAQ/CBX3/CCT4/RPLP0/CCT3/CLNS1A/LSM2/SLC25A3/HDAC2/PWP1/PGK1/EXOSC7/SRPK1/RACK1/HNRNPC/RPL14/HSP90AB1/GOT2/GLO1/SET/DHX15/PTGES3/EIF4E/RPS5/RAD23B/PRDX4/DDX18,35
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,9/141,14/945,0.642857142857143,4.30851063829787,5.2202252366682,2.98244692879863e-05,0.000566664916471741,0.000486609762067146,IMP4/NPM1/PRMT3/HSPD1/CBX3/TBRG4/SORD/TFB2M/DDX18,9
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,23/141,72/945,0.319444444444444,2.14095744680851,4.21595632060971,0.000110258262658948,0.00139660466034668,0.00119930040085172,ATP5F1C/LDHA/VDAC1/PHB2/NDUFV2/VDAC2/ATP5F1A/ATP5PO/ATP5F1B/LRPPRC/SLC25A3/UQCRC2/MTX2/NDUFS1/ATP6V1H/DLAT/GPI/GOT2/DLD/NDUFS2/ETFA/OAT/NDUFB5,23
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,14/141,35/945,0.4,2.68085106382979,4.24140836403101,0.000202014994532561,0.00191914244805933,0.00164801706066036,LDHA/GFUS/ENO1/GALK1/PGK1/DEPDC1/SLC37A4/SLC25A13/GOT2/DLD/RARS1/HSPA5/PMM2/SRD5A3,14
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,16/141,46/945,0.347826086956522,2.33117483811286,3.87437540469864,0.000470922333517434,0.0035790097347325,0.00307338786085062,PSMD14/LDHA/COPS5/TCEA1/ENO1/HSPD1/GMPS/BUB1/PGK1/SLC37A4/GPI/HSPA4/SORD/RPN1/UCHL5/HSPA5,16
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,9/141,27/945,0.333333333333333,2.23404255319149,2.72306624188975,0.0121460504064898,0.076924985907769,0.0660574671230149,YIF1A/PAIP1/YWHAZ/NPM1/RPS14/DDX10/HSPA5/EIF4E/PDIA6,9
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,9/141,30/945,0.3,2.01063829787234,2.35457951397245,0.0248630479604731,0.134970831785426,0.115902930342055,NTHL1/LDHA/SMS/PCBD1/BPHL/SUCLG2/GCDH/DLD/HIBCH,9
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,6/141,26/945,0.230769230769231,1.54664484451719,1.18304619742359,0.178990078035082,0.812210253854011,0.697465868960508,SMS/TPD52/XRCC5/SORD/VAPA/HOMER2,6
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,5/141,21/945,0.238095238095238,1.59574468085106,1.15558358547545,0.192365586439108,0.812210253854011,0.697465868960508,TPD52/RAB2A/TOM1L1/ATP6V1H/ZW10,5
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,8/141,43/945,0.186046511627907,1.24690747154874,0.693637749063823,0.304803037355426,0.99985380408308,0.858600219572728,LDHA/ENO1/GALK1/PGK1/TPD52/SLC37A4/GPI/HSPA5,8
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,4/141,23/945,0.173913043478261,1.16558741905643,0.336506396238499,0.456863840273264,0.99985380408308,0.858600219572728,MAPKAP1/PRKAG1/UBE2N/EIF4E,4
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1/141,5/945,0.2,1.34042553191489,0.319455764438095,0.555048737241966,0.99985380408308,0.858600219572728,HDAC2,1
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,6/141,42/945,0.142857142857143,0.957446808510638,-0.118081112683167,0.616170757476217,0.99985380408308,0.858600219572728,ATP5PO/MTCH2/DLAT/DLD/COQ3/HIBCH,6
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,1/141,7/945,0.142857142857143,0.957446808510638,-0.0472984890744005,0.678583129362327,0.99985380408308,0.858600219572728,ELP4,1
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,2/141,15/945,0.133333333333333,0.893617021276596,-0.173837645337121,0.680607528096358,0.99985380408308,0.858600219572728,NDUFS2/PRDX4,2
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,2/141,16/945,0.125,0.837765957446809,-0.273943912122395,0.715612843711137,0.99985380408308,0.858600219572728,SLC35B2/PEX7,2
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,2/141,16/945,0.125,0.837765957446809,-0.273943912122395,0.715612843711137,0.99985380408308,0.858600219572728,SLC35B2/FIS1,2
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,9/141,70/945,0.128571428571429,0.861702127659574,-0.503301264245679,0.744769078571068,0.99985380408308,0.858600219572728,HMGA1/PAICS/TUBB/DIAPH3/DEPDC1/TBRG4/PRIM2/PRDX4/ZW10,9
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,6/141,48/945,0.125,0.837765957446809,-0.482874105173581,0.747493505525409,0.99985380408308,0.858600219572728,POLR2I/DDB1/BCAP31/CANT1/VPS28/NELFB,6
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,7/141,56/945,0.125,0.837765957446809,-0.523905131434068,0.757118093394749,0.99985380408308,0.858600219572728,NPM1/EIF5A/MRPL3/DARS1/TPD52/RARS1/UBE2N,7
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,4/141,35/945,0.114285714285714,0.765957446808511,-0.590575848156216,0.792697347893185,0.99985380408308,0.858600219572728,ASB13/CANT1/SLC19A2/ENDOD1,4
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,4/141,35/945,0.114285714285714,0.765957446808511,-0.590575848156216,0.792697347893185,0.99985380408308,0.858600219572728,E2F5/PPAT/RPN1/TYRO3,4
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,5/141,44/945,0.113636363636364,0.761605415860735,-0.677841035288606,0.812249089740026,0.99985380408308,0.858600219572728,PYCR1/ASL/BPHL/PTGES3/DHPS,5
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,2/141,20/945,0.1,0.670212765957447,-0.623943839108527,0.825025791074409,0.99985380408308,0.858600219572728,BUB1/COIL,2
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,3/141,30/945,0.1,0.670212765957447,-0.768336472980485,0.850175255235409,0.99985380408308,0.858600219572728,TCEA1/GMPS/ENDOD1,3
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,5/141,51/945,0.0980392156862745,0.657071339173967,-1.05387145456902,0.901482578824749,0.99985380408308,0.858600219572728,HMGA1/BUB1/MNAT1/PRIM2/RAD23B,5
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,4/141,43/945,0.0930232558139535,0.623453735774369,-1.05783231871256,0.9064405516661,0.99985380408308,0.858600219572728,YWHAE/BUB1/LRPPRC/ECT2,4
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1/141,16/945,0.0625,0.418882978723404,-0.981258111454807,0.926311505316285,0.99985380408308,0.858600219572728,ACTG1,1
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,1/141,16/945,0.0625,0.418882978723404,-0.981258111454807,0.926311505316285,0.99985380408308,0.858600219572728,MVB12A,1
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,3/141,39/945,0.0769230769230769,0.515548281505728,-1.29326115945928,0.947385569222618,0.99985380408308,0.858600219572728,RACK1/EI24/SLC19A2,3
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,2/141,30/945,0.0666666666666667,0.446808510638298,-1.28882247080598,0.953338818446296,0.99985380408308,0.858600219572728,TPM3/SYNGR2,2
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,3/141,40/945,0.075,0.502659574468085,-1.34532433109343,0.953461684931069,0.99985380408308,0.858600219572728,DAP3/VDAC2/BCAP31,3
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,3/141,41/945,0.0731707317073171,0.490399584846912,-1.39638448680798,0.95888230807545,0.99985380408308,0.858600219572728,CDK8/ACTG1/PPP2R2C,3
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,3/141,45/945,0.0666666666666667,0.446808510638298,-1.59157834425861,0.975206938325471,0.99985380408308,0.858600219572728,PREP/USP14/HSPA5,3
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,3/141,47/945,0.0638297872340426,0.42779538252603,-1.68433955530804,0.980860576898565,0.99985380408308,0.858600219572728,GFUS/SORD/HOMER2,3
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,3/141,57/945,0.0526315789473684,0.352743561030235,-2.10996306773027,0.995012807466094,0.99985380408308,0.858600219572728,SYNGR2/ETV4/DCPS,3
HALLMARK_COAGULATION,HALLMARK_COAGULATION,1/141,33/945,0.0303030303030303,0.203094777562863,-1.9504451999996,0.995629279448774,0.99985380408308,0.858600219572728,PREP,1
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,1/141,53/945,0.0188679245283019,0.126455238859896,-2.73973274376827,0.99985380408308,0.99985380408308,0.858600219572728,ETV4,1
