ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-392499,Metabolism of proteins,97/265,347/1788,0.279538904899135,1.88609646022511,7.6674157068468,5.66108070247508e-13,2.83620143194002e-10,2.49087550908904e-10,ATP5F1C/DAP3/PSMD14/EIF3M/TBCB/DCAF13/TBCA/MRPL24/VDAC1/APEH/EIF3E/COPS5/MRPS35/EIF5A/NUP37/MRPS28/GFUS/PRMT3/HSPD1/VDAC2/NSMCE2/ATP5F1A/EIF3H/ATP5PO/CCT8/NARS2/MRPL3/CCT4/RPLP0/CCT3/ATP5F1B/FARSB/EIF3C/PSMG2/GCSH/RPS16/TTLL12/DDB1/MRPL30/DPH5/HDAC2/RPS18/DCUN1D5/DARS1/UQCRC2/PCCB/EIF2B3/MRPL4/RPL38/FARS2/FOXK2/RAB2A/UCHL3/CUL2/DPH6/DLAT/RPS7/SUCLG2/RPS14/PSMD10/CAMKMT/MRPL19/RPL14/SRP72/DLD/USP14/RARS1/COPS2/NUP35/NAE1/NSMCE1/PIGU/CALM2/RPN1/DHPS/POMGNT1/FBXO22/UBE2N/RPL37A/RPL4/RPS5/TMED3/COPS4/RAD23B/PMM2/MRPL42/MGAT4B/DYNC1I2/RPL7/RAB3A/NDC1/SSR2/DCTN5/PDIA6/MRPL1/SRD5A3/UBE2F,97
R-HSA-72766,Translation,37/265,84/1788,0.440476190476191,2.97196765498652,7.72040167992549,3.2461019180425e-11,8.13148530469645e-09,7.14142421969349e-09,DAP3/PSMD14/EIF3M/MRPL24/APEH/EIF3E/MRPS35/MRPS28/EIF3H/NARS2/MRPL3/RPLP0/FARSB/EIF3C/RPS16/MRPL30/RPS18/DARS1/EIF2B3/MRPL4/RPL38/FARS2/CUL2/RPS7/RPS14/MRPL19/RPL14/SRP72/RARS1/RPN1/RPL37A/RPL4/RPS5/MRPL42/RPL7/SSR2/MRPL1,37
R-HSA-72689,Formation of a pool of free 40S subunits,15/265,20/1788,0.75,5.06037735849057,7.61509852116059,1.97724684202802e-09,3.3020022261868e-07,2.89996203497443e-07,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/RPL38/RPS7/RPS14/RPL14/RPL37A/RPL4/RPS5/RPL7,15
R-HSA-72613,Eukaryotic Translation Initiation,16/265,23/1788,0.695652173913044,4.69368334700574,7.43509438569065,3.31811475624598e-09,3.32475098575847e-07,2.91994098549646e-07,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/EIF2B3/RPL38/RPS7/RPS14/RPL14/RPL37A/RPL4/RPS5/RPL7,16
R-HSA-72737,Cap-dependent Translation Initiation,16/265,23/1788,0.695652173913044,4.69368334700574,7.43509438569065,3.31811475624598e-09,3.32475098575847e-07,2.91994098549646e-07,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/EIF2B3/RPL38/RPS7/RPS14/RPL14/RPL37A/RPL4/RPS5/RPL7,16
R-HSA-71291,Metabolism of amino acids and derivatives,31/265,73/1788,0.424657534246575,2.8652364952184,6.78576059876721,4.61606385378739e-09,3.85441331791247e-07,3.38511349277742e-07,PSMD14/PYCR1/SMS/BCAT2/RPLP0/GCSH/RPS16/ENOPH1/RPS18/PCBD1/DARS1/ASL/RPL38/SLC25A13/RPS7/RPS14/GCDH/RPL14/GOT2/DLD/SLC25A15/RARS1/RPL37A/RPL4/HIBADH/RPS5/RPL7/HIBCH/AZIN1/EEFSEC/OAT,31
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,15/265,21/1788,0.714285714285714,4.81940700808625,7.34213853629879,6.0059809824783e-09,4.29856638888804e-07,3.77518804612922e-07,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/RPL38/RPS7/RPS14/RPL14/RPL37A/RPL4/RPS5/RPL7,15
R-HSA-72312,rRNA processing,20/265,36/1788,0.555555555555556,3.74842767295598,6.94710357199549,1.05574147703011e-08,6.61158099990107e-07,5.80657812366561e-07,DCAF13/IMP4/RPLP0/WDR12/RPS16/UTP18/RPS18/EXOSC7/RPL38/RPUSD3/RPS7/RPS14/RPL14/NAT10/RPL37A/RPL4/TFB1M/RPS5/RPL7/TBL3,20
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,15/265,22/1788,0.681818181818182,4.60034305317324,7.08590191094752,1.63821943798689e-08,9.11942153812701e-07,8.00907280793589e-07,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/RPL38/RPS7/RPS14/RPL14/RPL37A/RPL4/RPS5/RPL7,15
R-HSA-168273,Influenza Viral RNA Transcription and Replication,17/265,28/1788,0.607142857142857,4.09649595687332,6.88697427242479,2.31482617652031e-08,1.15972791443668e-06,1.01852351766894e-06,POLR2I/GTF2F2/NUP37/RPLP0/RPS16/RPS18/RPL38/RPS7/RPS14/GRSF1/RPL14/NUP35/RPL37A/RPL4/RPS5/RPL7/NDC1,17
