ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006412,translation,36/193,156/2843,0.230769230769231,3.39936229573535,8.31748545797688,1.08164133118007e-11,2.02266928930673e-08,1.95150867541331e-08,DAP3/TRAP1/BZW2/EIF3M/METTL5/MRPL24/PAIP1/APEH/EIF3E/NPM1/COPS5/MRPS35/EIF5A/MRPS28/EIF3H/DDX1/NARS2/MRPL3/RPLP0/PTRH1/FARSB/MRPL39/EIF3C/RPS16/MRPL30/LRPPRC/RPS18/ELP2/DARS1/EIF2B3/MRPL4/RPL38/KCMF1/FARS2/ELP4/RPUSD3,36
GO:0022613,ribonucleoprotein complex biogenesis,23/193,91/2843,0.252747252747253,3.72311108580539,7.12409322405908,1.34936472042414e-08,1.26165601359657e-05,1.2172690162142e-05,EIF3M/STRAP/METTL5/DCAF13/IMP4/EIF3E/NPM1/EIF3H/NOL10/DDX1/NPM3/RPLP0/SRSF9/CLNS1A/LSM2/EIF3C/WDR12/RPS16/UTP18/NOA1/PWP1/EXOSC7/RPL38,23
GO:0002181,cytoplasmic translation,11/193,30/2843,0.366666666666667,5.40120898100173,6.53906276744044,1.85767841702762e-06,0.000868464659960411,0.00083791073862772,EIF3M/PAIP1/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/EIF2B3/RPL38/KCMF1,11
GO:0006413,translational initiation,11/193,30/2843,0.366666666666667,5.40120898100173,6.53906276744044,1.85767841702762e-06,0.000868464659960411,0.00083791073862772,BZW2/EIF3M/PAIP1/EIF3E/NPM1/COPS5/EIF3H/DDX1/EIF3C/EIF2B3/KCMF1,11
GO:0009259,ribonucleotide metabolic process,19/193,90/2843,0.211111111111111,3.1097869890616,5.48813155333576,5.23845005144485e-06,0.00163265026603364,0.00157521112073271,ATP5F1C/OLA1/LDHA/NME2/NDUFV2/ENO1/GMPS/ATP5F1A/ATP5PO/ADK/MTCH2/PAICS/ATP5F1B/GALK1/PGK1/PPAT/NDUFS1/FOXK2/CTPS2,19
GO:0019693,ribose phosphate metabolic process,19/193,90/2843,0.211111111111111,3.1097869890616,5.48813155333576,5.23845005144485e-06,0.00163265026603364,0.00157521112073271,ATP5F1C/OLA1/LDHA/NME2/NDUFV2/ENO1/GMPS/ATP5F1A/ATP5PO/ADK/MTCH2/PAICS/ATP5F1B/GALK1/PGK1/PPAT/NDUFS1/FOXK2/CTPS2,19
GO:0009150,purine ribonucleotide metabolic process,18/193,87/2843,0.206896551724138,3.04770412721101,5.23425624223133,1.26961387079426e-05,0.0033916827691218,0.00327235815720505,ATP5F1C/OLA1/LDHA/NME2/NDUFV2/ENO1/GMPS/ATP5F1A/ATP5PO/ADK/MTCH2/PAICS/ATP5F1B/GALK1/PGK1/PPAT/NDUFS1/FOXK2,18
GO:0042254,ribosome biogenesis,14/193,57/2843,0.245614035087719,3.61803472411599,5.38753405779438,1.57832775363551e-05,0.003689341124123,0.00355954443385692,METTL5/DCAF13/IMP4/NPM1/NOL10/NPM3/RPLP0/WDR12/RPS16/UTP18/NOA1/PWP1/EXOSC7/RPL38,14
GO:0009117,nucleotide metabolic process,21/193,117/2843,0.17948717948718,2.64394845223861,4.89988576518794,2.40922020653263e-05,0.00407948947779474,0.003935966768894,ATP5F1C/OLA1/NTHL1/LDHA/NME2/NDUFV2/ENO1/GMPS/ATP5F1A/ATP5PO/ADK/MTCH2/PAICS/ATP5F1B/GALK1/PGK1/SHPK/PPAT/NDUFS1/FOXK2/CTPS2,21
GO:0044281,small molecule metabolic process,42/193,332/2843,0.126506024096386,1.86350583681878,4.51729775043644,2.49302082460364e-05,0.00407948947779474,0.003935966768894,ATP5F1C/OLA1/NTHL1/LDHA/PTGES2/NME2/ECHDC3/GFUS/NDUFV2/PYCR1/SMS/ENO1/PRMT3/GMPS/BCAT2/LYPLA1/ATP5F1A/ATP5PO/ADK/PPA2/MTCH2/PAICS/GCAT/ATP5F1B/GALK1/MACROD1/GCSH/DDB1/ELOVL1/ENOPH1/PGK1/PCBD1/SHPK/PCCB/PPAT/ASL/NDUFS1/MRS2/RTN4IP1/FOXK2/CTPS2/SLC37A4,42
GO:0009260,ribonucleotide biosynthetic process,13/193,52/2843,0.25,3.68264248704663,5.26807933300638,2.61785421034957e-05,0.00407948947779474,0.003935966768894,ATP5F1C/NME2/NDUFV2/ENO1/GMPS/ATP5F1A/ATP5PO/ADK/PAICS/ATP5F1B/PPAT/NDUFS1/CTPS2,13
GO:0046390,ribose phosphate biosynthetic process,13/193,52/2843,0.25,3.68264248704663,5.26807933300638,2.61785421034957e-05,0.00407948947779474,0.003935966768894,ATP5F1C/NME2/NDUFV2/ENO1/GMPS/ATP5F1A/ATP5PO/ADK/PAICS/ATP5F1B/PPAT/NDUFS1/CTPS2,13
