ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,20/76,55/945,0.363636363636364,4.52153110047847,7.95427817067998,6.15602966342028e-10,2.0930500855629e-08,1.87920905514935e-08,YWHAE/PSMD14/LDHA/VDAC1/NPM1/COPS5/PHB2/HSPD1/YWHAQ/CBX3/CCT4/RPLP0/CCT3/CLNS1A/LSM2/SLC25A3/HDAC2/PWP1/PGK1/EXOSC7,20
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,6/76,14/945,0.428571428571429,5.32894736842105,4.82341231729849,0.000398045253168218,0.00676676930385971,0.00607542754835701,IMP4/NPM1/PRMT3/HSPD1/CBX3/TBRG4,6
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,14/76,72/945,0.194444444444444,2.41776315789474,3.69952288327439,0.000979943285492195,0.0111060239022449,0.0099713527295697,ATP5F1C/LDHA/VDAC1/PHB2/NDUFV2/VDAC2/ATP5F1A/ATP5PO/ATP5F1B/LRPPRC/SLC25A3/UQCRC2/MTX2/NDUFS1,14
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,10/76,46/945,0.217391304347826,2.70308924485126,3.500413752093,0.00236287107537601,0.0200844041406961,0.0180324371541854,PSMD14/LDHA/COPS5/TCEA1/ENO1/HSPD1/GMPS/BUB1/PGK1/SLC37A4,10
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,7/76,35/945,0.2,2.48684210526316,2.64948266450488,0.017618191244827,0.119803700464823,0.107563693915786,LDHA/GFUS/ENO1/GALK1/PGK1/DEPDC1/SLC37A4,7
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,6/76,43/945,0.13953488372093,1.73500611995104,1.45815878699246,0.123433304919033,0.699455394541184,0.627994007482797,LDHA/ENO1/GALK1/PGK1/TPD52/SLC37A4,6
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,4/76,27/945,0.148148148148148,1.84210526315789,1.31222959493125,0.165408546657607,0.803412940908378,0.721330504221144,YIF1A/PAIP1/YWHAZ/NPM1,4
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,4/76,30/945,0.133333333333333,1.65789473684211,1.0824040222534,0.216167539216374,0.887553692935799,0.796874832666817,NTHL1/LDHA/SMS/PCBD1,4
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,3/76,21/945,0.142857142857143,1.77631578947368,1.06339591140009,0.234940683424182,0.887553692935799,0.796874832666817,TPD52/RAB2A/TOM1L1,3
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1/76,5/945,0.2,2.48684210526316,0.985300791440536,0.343043556168908,0.992796118716597,0.891364936309019,HDAC2,1
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,1/76,7/945,0.142857142857143,1.77631578947368,0.609352960192794,0.445032348665777,0.992796118716597,0.891364936309019,ELP4,1
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,4/76,43/945,0.0930232558139535,1.15667074663403,0.310814862173248,0.460447381582831,0.992796118716597,0.891364936309019,YWHAE/BUB1/LRPPRC/ECT2,4
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,5/76,56/945,0.0892857142857143,1.11019736842105,0.251302761815051,0.47513789422541,0.992796118716597,0.891364936309019,NPM1/EIF5A/MRPL3/DARS1/TPD52,5
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,6/76,70/945,0.0857142857142857,1.06578947368421,0.169076913280094,0.501355541074508,0.992796118716597,0.891364936309019,HMGA1/PAICS/TUBB/DIAPH3/DEPDC1/TBRG4,6
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,2/76,26/945,0.0769230769230769,0.956477732793522,-0.0665155726439404,0.633663104346169,0.992796118716597,0.891364936309019,SMS/TPD52,2
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,2/76,30/945,0.0666666666666667,0.828947368421053,-0.281425045785885,0.711834985310162,0.992796118716597,0.891364936309019,TCEA1/GMPS,2
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,2/76,30/945,0.0666666666666667,0.828947368421053,-0.281425045785885,0.711834985310162,0.992796118716597,0.891364936309019,TPM3/SYNGR2,2
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,1/76,16/945,0.0625,0.777138157894737,-0.265748459294886,0.741459484370765,0.992796118716597,0.891364936309019,SLC35B2,1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,1/76,16/945,0.0625,0.777138157894737,-0.265748459294886,0.741459484370765,0.992796118716597,0.891364936309019,ACTG1,1
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,1/76,16/945,0.0625,0.777138157894737,-0.265748459294886,0.741459484370765,0.992796118716597,0.891364936309019,SLC35B2,1
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,2/76,35/945,0.0571428571428571,0.710526315789474,-0.515828483354933,0.789719230512425,0.992796118716597,0.891364936309019,E2F5/PPAT,2
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,3/76,51/945,0.0588235294117647,0.731424148606811,-0.58286260751946,0.796456494265424,0.992796118716597,0.891364936309019,HMGA1/BUB1/MNAT1,3
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,1/76,20/945,0.05,0.62171052631579,-0.5054186847757,0.816341382289066,0.992796118716597,0.891364936309019,BUB1,1
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,2/76,40/945,0.05,0.62171052631579,-0.722624809463143,0.848693142556572,0.992796118716597,0.891364936309019,DAP3/VDAC2,2
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,1/76,23/945,0.0434782608695652,0.540617848970252,-0.659258107670851,0.858034486006223,0.992796118716597,0.891364936309019,MAPKAP1,1
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,2/76,41/945,0.0487804878048781,0.606546854942234,-0.761348750580146,0.85854309001959,0.992796118716597,0.891364936309019,CDK8/ACTG1,2
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,2/76,42/945,0.0476190476190476,0.592105263157895,-0.799303614095387,0.867812827634815,0.992796118716597,0.891364936309019,ATP5PO/MTCH2,2
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,2/76,44/945,0.0454545454545455,0.565191387559809,-0.873061798164041,0.884723475859306,0.992796118716597,0.891364936309019,PYCR1/ASL,2
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,2/76,48/945,0.0416666666666667,0.518092105263158,-1.01291113015889,0.912769159893352,0.992796118716597,0.891364936309019,POLR2I/DDB1,2
HALLMARK_COAGULATION,HALLMARK_COAGULATION,1/76,33/945,0.0303030303030303,0.376794258373206,-1.077144334966,0.940205764805874,0.992796118716597,0.891364936309019,PREP,1
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,1/76,35/945,0.0285714285714286,0.355263157894737,-1.1488907129269,0.949761246774785,0.992796118716597,0.891364936309019,ASB13,1
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,1/76,45/945,0.0222222222222222,0.276315789473684,-1.47033740071864,0.979091926270124,0.992796118716597,0.891364936309019,PREP,1
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,1/76,47/945,0.0212765957446809,0.264557670772676,-1.52877048073529,0.982475773061349,0.992796118716597,0.891364936309019,GFUS,1
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,1/76,57/945,0.0175438596491228,0.21814404432133,-1.79986776389609,0.992796118716597,0.992796118716597,0.891364936309019,SYNGR2,1
