ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-392499,Metabolism of proteins,55/143,347/1788,0.15850144092219,1.98182221236976,6.00499906361914,2.36834457141355e-08,8.62621939427723e-06,7.59202206972268e-06,ATP5F1C/DAP3/PSMD14/EIF3M/TBCB/DCAF13/TBCA/MRPL24/VDAC1/APEH/EIF3E/COPS5/MRPS35/EIF5A/NUP37/MRPS28/GFUS/PRMT3/HSPD1/VDAC2/NSMCE2/ATP5F1A/EIF3H/ATP5PO/CCT8/NARS2/MRPL3/CCT4/RPLP0/CCT3/ATP5F1B/FARSB/EIF3C/PSMG2/GCSH/RPS16/TTLL12/DDB1/MRPL30/DPH5/HDAC2/RPS18/DCUN1D5/DARS1/UQCRC2/PCCB/EIF2B3/MRPL4/RPL38/FARS2/FOXK2/RAB2A/UCHL3/CUL2/DPH6,55
R-HSA-72766,Translation,23/143,84/1788,0.273809523809524,3.42357642357642,6.70670047145238,4.09796645808894e-08,8.62621939427723e-06,7.59202206972268e-06,DAP3/PSMD14/EIF3M/MRPL24/APEH/EIF3E/MRPS35/MRPS28/EIF3H/NARS2/MRPL3/RPLP0/FARSB/EIF3C/RPS16/MRPL30/RPS18/DARS1/EIF2B3/MRPL4/RPL38/FARS2/CUL2,23
R-HSA-8949613,Cristae formation,7/143,12/1788,0.583333333333333,7.29370629370629,6.44796925657639,1.02302415383856e-05,0.00143564389588678,0.00126352456895149,ATP5F1C/ATP5F1A/ATP5PO/CHCHD3/ATP5F1B/MICOS13/MTX2,7
R-HSA-72613,Eukaryotic Translation Initiation,9/143,23/1788,0.391304347826087,4.89267254484646,5.53843137659949,3.237322564303e-05,0.00272582559914313,0.00239902640554665,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/EIF2B3/RPL38,9
R-HSA-72737,Cap-dependent Translation Initiation,9/143,23/1788,0.391304347826087,4.89267254484646,5.53843137659949,3.237322564303e-05,0.00272582559914313,0.00239902640554665,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/EIF2B3/RPL38,9
R-HSA-72689,Formation of a pool of free 40S subunits,8/143,20/1788,0.4,5.0013986013986,5.30436043899307,7.61099405495978e-05,0.00534038082856345,0.00470012264446639,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/RPL38,8
R-HSA-8953854,Metabolism of RNA,22/143,119/1788,0.184873949579832,2.31157078215902,4.3650014220996,9.65467873461485e-05,0.00580659963896122,0.00511044648809688,PSMD14/DCAF13/POLR2I/GTF2F2/IMP4/YWHAZ/NUP37/THOC7/RPLP0/SRSF9/CLNS1A/LSM2/WDR12/MNAT1/RPS16/UTP18/LRPPRC/RPS18/EXOSC7/RPL38/TBRG4/RPUSD3,22
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,8/143,21/1788,0.380952380952381,4.76323676323676,5.11328805454588,0.000114705411360845,0.00603637227286445,0.00531267168408123,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/RPL38,8
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,8/143,22/1788,0.363636363636364,4.54672600127146,4.93390716217298,0.000168175537306477,0.00786687791178076,0.00692371802712046,EIF3M/EIF3E/EIF3H/RPLP0/EIF3C/RPS16/RPS18/RPL38,8
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,9/143,29/1788,0.310344827586207,3.88039546660236,4.60962442126357,0.000260948903945978,0.0109859488561257,0.00966884359884044,DCAF13/IMP4/RPLP0/WDR12/RPS16/UTP18/RPS18/EXOSC7/RPL38,9
R-HSA-72312,rRNA processing,10/143,36/1788,0.277777777777778,3.47319347319347,4.41865033008921,0.00032540317680367,0.0116170231529512,0.0102242584068979,DCAF13/IMP4/RPLP0/WDR12/RPS16/UTP18/RPS18/EXOSC7/RPL38/RPUSD3,10
R-HSA-72649,Translation initiation complex formation,6/143,14/1788,0.428571428571429,5.35864135864136,4.82598190778628,0.000413908188347429,0.0116170231529512,0.0102242584068979,EIF3M/EIF3E/EIF3H/EIF3C/RPS16/RPS18,6
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",6/143,14/1788,0.428571428571429,5.35864135864136,4.82598190778628,0.000413908188347429,0.0116170231529512,0.0102242584068979,EIF3M/EIF3E/EIF3H/EIF3C/RPS16/RPS18,6
