ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,39/283,54/945,0.722222222222222,2.41166077738516,6.98133689755802,4.67732022442411e-11,2.19834050547933e-09,1.77245819030808e-09,STAT2/STAT4/LCP2/IL18BP/SAMD9L/IL10RA/IRF4/CD38/SERPING1/APOL6/P2RY14/SAMHD1/CDKN1A/TNFAIP2/KLRK1/SELP/IDO1/CASP1/BANK1/SOCS1/PML/XAF1/EPSTI1/IFI30/SP110/GCH1/IRF1/TNFAIP6/XCL1/CASP7/CXCL9/PARP14/IFI44L/CCL7/IL6/GPR18/ZNFX1/PSMB10/CFB,39
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,14/283,16/945,0.875,2.92181978798587,5.06658129330438,2.37346763291097e-06,5.57764893734077e-05,4.49709656762078e-05,STAT2/SAMD9L/UBA7/TMEM140/CASP1/LPAR6/EPSTI1/LAMP3/IFI30/SP110/IRF1/PARP14/IFI44L/HLA-C,14
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,32/283,56/945,0.571428571428571,1.90812720848057,4.57867735265256,1.15248371625111e-05,0.000180555782212675,0.000145576890473825,CCR2/STAT4/LCP2/HLA-E/CD28/IRF4/ITK/FYB1/CD4/FCGR2B/PTPRC/TRAT1/CD3G/PRKCB/IGSF6/WAS/CD1D/SOCS1/CD2/CD8B/GPR65/KLRD1/CD8A/IL12B/TLR3/LY86/CXCR3/CXCL9/CCL19/CCL7/IL6/PSMB10,32
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,30/283,53/945,0.566037735849057,1.89012600840056,4.35870240967915,2.89155567728999e-05,0.000339757792081574,0.000273936853637999,LCP2/TNFRSF1B/KCNA3/IL10RA/SLAMF1/GPR183/BTG2/RGS1/PTAFR/CDKN1A/IL7R/C5AR1/GP1BA/CCR7/CD48/LAMP3/MEP1A/IL12B/AQP9/CD14/GCH1/TLR3/IRF1/MARCO/TNFAIP6/EMP3/KCNMB2/CXCL9/CCL7/IL6,30
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,14/283,21/945,0.666666666666667,2.22614840989399,3.71335885679242,0.000480692262821338,0.00390945938071249,0.00315208371121276,TENT5C/BTG2/PDCD1/SHOX2/GP1BA/SLC30A3/DCC/SYNPO/IL12B/COPZ2/SIDT1/CYP39A1/IFI44L/GPRC5C,14
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,18/283,30/945,0.6,2.00353356890459,3.6503306503818,0.000499079920942021,0.00390945938071249,0.00315208371121276,GPX3/MYH11/SOD3/MYH3/MYOM1/PTGIS/CDKN1A/TNNT3/ITGA7/PYGM/MYBPC3/PDE4DIP/APOD/FXYD1/CASQ1/SH2B1/CHRNA1/GADD45B,18
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,28/283,57/945,0.491228070175439,1.64031988097452,3.25895340647681,0.00132567551565669,0.00890096417655209,0.00717658925769037,TNFRSF1B/IL10RA/IRF4/SYT11/SHE/SMPDL3A/GABARAPL1/PRKCH/CAPN3/RHOH/IKZF4/SELP/IL3RA/DHRS3/ITIH5/PENK/SOCS1/CD48/GPR65/BATF/SH3BGRL2/CTLA4/BATF3/GADD45B/GLIPR2/MAP6/IL1R2/GPR83,28
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,26/283,53/945,0.490566037735849,1.63810920728049,3.1246454020702,0.00204046747719748,0.0119877464285352,0.00966537226040911,TNFRSF1B/IL10RA/TLR8/ADGRL4/MAFB/IKZF1/DOCK2/SPARCL1/EPB41L3/IL7R/TSPAN7/GPNMB/RELN/ADAMDEC1/TMEM176B/FLT4/GADD45G/CD37/PIGR/ALDH1A2/FCER1G/APOD/F13A1/TPH1/GLRX/CFB,26
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,22/283,45/945,0.488888888888889,1.63250883392226,2.84120007729448,0.00481512740656475,0.0251456653453937,0.02027422065922,EGR2/BCL6/GPR183/BTG2/CDKN1A/TNFAIP2/FOSB/IL7R/EGR1/MSC/DNAJB4/ZFP36/IER5/IL12B/GCH1/DUSP1/IRF1/TNFAIP6/EGR3/GADD45B/IL6/CEBPD,22
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,20/283,45/945,0.444444444444444,1.48409893992933,2.17454977982873,0.0248452854927348,0.116772841815854,0.0941505555514162,PIK3CG/LCP2/SERPING1/APOBEC3G/GNGT2/LGMN/C3/WAS/NOTCH4/CASP1/APOC1/GP1BA/CP/FCER1G/APOBEC3F/IRF1/CASP7/F8/IL6/CFB,20
HALLMARK_COAGULATION,HALLMARK_COAGULATION,15/283,33/945,0.454545454545455,1.51782846129136,1.97877168728577,0.0402943613916247,0.172166816855124,0.13881311101421,SERPING1/LGMN/C3/VWF/APOC1/GP1BA/MEP1A/A2M/ISCU/CFI/HMGCS2/F8/TF/F9/CFB,15
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,13/283,29/945,0.448275862068966,1.49689289630803,1.77608714249557,0.0614265434236812,0.240587295076085,0.193978558180046,STAT2/TNFRSF1B/CD38/TYK2/IL3RA/SOCS1/A2M/CD14/IRF1/CXCL9/CCL7/IL6/IL1R2,13
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,8/283,16/945,0.5,1.66961130742049,1.76532687672936,0.0719458551991773,0.260111938027795,0.209720711511772,CH25H/ALDH1A1/PIPOX/CYP46A1/AQP9/ABCA5/CYP39A1/CYP7A1,8
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,17/283,44/945,0.386363636363636,1.29015419209766,1.28808052052923,0.132121130210344,0.443549508563297,0.35762110432875,ITIH4/CSAD/GABARAPL1/LCAT/ABCC3/TMEM176B/AQP9/FBP1/FBLN1/ABHD6/GCH1/ENPEP/ADH1C/ATOH8/PSMB10/CFB/FABP1,17
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,12/283,30/945,0.4,1.3356890459364,1.22106130910659,0.154028020165166,0.482621129850852,0.389123419364629,CLIC2/TNS1/TENT5C/BTG2/C3/RANBP10/SYNJ1/RHD/UCP2/ATG4A/ALAS2/GYPE,12
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,15/283,40/945,0.375,1.25220848056537,1.06516187132452,0.185657160609968,0.545367909291781,0.43971432776045,GPX3/CD38/BTG2/PLPPR4/CDKN1A/CASP1/CD2/AVPR1A/CD14/GCH1/IRF1/CASP7/EGR3/GADD45B/IL6,15
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,15/283,41/945,0.365853658536585,1.22166681030768,0.948328069321932,0.216875271653642,0.599596339277715,0.483437138051461,SYK/CLDN15/FYB1/LIMA1/PTPRC/NFASC/VWF/COL17A1/SIRPA/COL16A1/SLC30A3/CLDN18/NEXN/NRAP/COL9A1,15
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,14/283,39/945,0.358974358974359,1.19869529763523,0.828144294230276,0.253925018682239,0.663026437670291,0.534578986699451,IRAG2/TSPYL2/BTG2/SESN1/DDB2/CDKN1A/CASP1/RPS27L/SOCS1/IER5/CEBPA/ISCU/IFI30/STOM,14
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,3/283,7/945,0.428571428571429,1.43109540636042,0.748119915543067,0.351484677977401,0.86555399099946,0.69787107896933,MAFB/NKX6-1/PCSK1,3
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,14/283,42/945,0.333333333333333,1.113074204947,0.48988544129619,0.368320847233813,0.86555399099946,0.69787107896933,BCL6/GPX3/SPARCL1/C3/CAVIN2/FZD4/ITGA7/ITIH5/LPL/PHLDB1/UCP2/MIGA2/STOM/LTC4S,14
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,7/283,20/945,0.35,1.16872791519435,0.498403739379167,0.389321953882103,0.871339611069468,0.702535856629358,SHE/GFI1/CRISP2/DCC/CFTR/SLC2A5/GSG1,7
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,4/283,11/945,0.363636363636364,1.21426276903309,0.467110723879037,0.428875299591158,0.908121473830717,0.732192005776166,DTX1/DLL1/DTX2/WNT2,4
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,2/283,5/945,0.4,1.3356890459364,0.491822581844066,0.470906922495379,0.908121473830717,0.732192005776166,PML/NKX6-1,2
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,2/283,5/945,0.4,1.3356890459364,0.491822581844066,0.470906922495379,0.908121473830717,0.732192005776166,DLL1/NOTCH4,2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,5/283,15/945,0.333333333333333,1.113074204947,0.288481467238091,0.483043337143998,0.908121473830717,0.732192005776166,GPX3/IPCEF1/MPO/GLRX/PDLIM1,5
