ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-500792,GPCR ligand binding,61/552,82/1788,0.74390243902439,2.40959703075292,8.73041661614966,1.18145902934277e-16,5.86003678554014e-14,5.65856693001011e-14,CCR2/CYSLTR2/GPR183/PLPPR4/OXER1/P2RY14/PTAFR/GNGT2/HRH2/P2RY13/CXCL12/PNOC/P2RY10/GNB3/S1PR4/PTCH2/FZD4/SUCNR1/CCL3/LPAR6/GPR35/TSHR/C5AR1/CCR7/PENK/HTR2B/AVPR1A/P2RY12/GPR65/P2RY11/CCL3L3/PSAP/SSTR3/RXFP1/WNT2/XCL2/CRHBP/AVPR2/LTB4R/XCL1/UTS2B/CCL21/HCAR2/CXCL9/FFAR4/TAS1R1/HTR1F/CCL19/CCL7/GNRH1/CHRM5/CNR2/UTS2/CCKAR/LTB4R2/GRM2/GPR18/SCTR/AGTR2/VIPR2/DRD1,61
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),51/552,65/1788,0.784615384615385,2.54147157190635,8.45808682755676,1.00650557343938e-15,2.49613382212966e-13,2.41031597849956e-13,CCR2/CYSLTR2/GPR183/PLPPR4/OXER1/P2RY14/PTAFR/HRH2/P2RY13/CXCL12/PNOC/P2RY10/S1PR4/SUCNR1/CCL3/LPAR6/GPR35/TSHR/C5AR1/CCR7/PENK/HTR2B/AVPR1A/P2RY12/GPR65/P2RY11/CCL3L3/PSAP/SSTR3/RXFP1/XCL2/AVPR2/LTB4R/XCL1/UTS2B/CCL21/HCAR2/CXCL9/FFAR4/HTR1F/CCL19/CCL7/GNRH1/CHRM5/CNR2/UTS2/CCKAR/LTB4R2/GPR18/AGTR2/DRD1,51
R-HSA-372790,Signaling by GPCR,78/552,134/1788,0.582089552238806,1.8854639844257,7.11996940754374,8.5738720697364e-12,1.41754684886308e-09,1.368811154993e-09,CCR2/PIK3CG/CYSLTR2/PDE1B/GPR183/RGS1/PLPPR4/OXER1/P2RY14/PTAFR/GNGT2/HRH2/P2RY13/CXCL12/PNOC/P2RY10/GNB3/RGS2/PRKCH/PRKCB/S1PR4/PTCH2/FZD4/SUCNR1/CCL3/LPAR6/GPR35/TSHR/C5AR1/PLEKHG2/CCR7/RGS18/PENK/HTR2B/AVPR1A/P2RY12/GPR65/P2RY11/CCL3L3/PSAP/SSTR3/KALRN/RXFP1/ABHD6/WNT2/CCL4L2/XCL2/CRHBP/AVPR2/GNAL/LTB4R/XCL1/GPR45/UTS2B/RGS13/CCL21/HCAR2/CXCL9/RGS6/FFAR4/TAS1R1/HTR1F/CCL19/CCL7/GNRH1/CHRM5/CNR2/UTS2/CCKAR/LTB4R2/GRM2/ARHGEF18/GPR18/SCTR/AGTR2/VIPR2/GPR83/DRD1,78
R-HSA-388396,GPCR downstream signalling,69/552,123/1788,0.560975609756098,1.81707317073171,6.27377539824975,1.58031685267785e-09,1.95959289732053e-07,1.89222149465374e-07,CCR2/PIK3CG/CYSLTR2/PDE1B/GPR183/RGS1/OXER1/P2RY14/PTAFR/GNGT2/HRH2/P2RY13/CXCL12/PNOC/P2RY10/GNB3/RGS2/PRKCH/PRKCB/S1PR4/SUCNR1/LPAR6/TSHR/C5AR1/PLEKHG2/CCR7/RGS18/PENK/HTR2B/AVPR1A/P2RY12/GPR65/P2RY11/PSAP/SSTR3/KALRN/RXFP1/ABHD6/CCL4L2/XCL2/AVPR2/GNAL/LTB4R/XCL1/GPR45/UTS2B/RGS13/CCL21/HCAR2/CXCL9/RGS6/FFAR4/TAS1R1/HTR1F/CCL19/GNRH1/CHRM5/CNR2/UTS2/CCKAR/LTB4R2/GRM2/ARHGEF18/GPR18/SCTR/AGTR2/VIPR2/GPR83/DRD1,69
R-HSA-168256,Immune System,157/552,363/1788,0.432506887052342,1.40094622110432,5.716820875361,1.50198539468335e-08,1.48996951152588e-06,1.43874390438089e-06,IQGAP2/CCR2/LYZ/STAT2/PIK3CG/TRIM22/JAML/IRAG2/BCL6/STAT4/LCP2/MRC1/HLA-E/STING1/TNFRSF14/ADA2/CD28/IL18BP/TNFRSF1B/IL10RA/IRF4/SERPING1/P2RX1/TLR8/ITK/TNFSF8/FYB1/NFAM1/CD4/SLAMF6/ELMO1/BLNK/FCGR2B/IL21/MAP3K14/NCKAP1L/ATP8B4/PTPRC/TMT1A/PTAFR/KLHL3/TRIM56/PELI2/HLA-DQB1/DNM1/LAIR1/LGMN/TNFRSF25/SAMHD1/NFASC/ARSA/PDCD1/CDKN1A/TRAT1/RASGRP3/CD3G/TRIM38/PRKCB/IL11RA/FOSB/AIM2/UBA7/IL7R/WAS/LGALS9/PTPN7/TLR5/HLA-DQB2/CD1D/KLRK1/EGR1/BTN2A2/TASL/COL17A1/CD53/TYK2/BST1/SIRPA/TLR9/SLA2/DERL3/CCL3/PLCG2/TWIST1/C5AR1/RNASE6/SOCS1/CPPED1/XAF1/GBP5/CD8B/HAVCR2/CD300LF/CCL3L3/WIPF3/KLRD1/PIGR/RAB37/PSAP/CD8A/CRISP3/FCER1A/C1QB/C4BPA/IL12B/BATF/IFI30/MYLIP/CD160/MPO/CD14/FCER1G/CD1C/SLC2A5/IL23R/CTLA4/NLRP4/TYROBP/OS9/TREML2/LILRA5/BTLA/TLR3/LY86/IRF1/F13A1/GNLY/HECW2/KIR2DS4/TNFAIP6/HPSE/PLAC8/ATG14/FCGR3A/IFI44L/CCL19/CD101/MUC20/SH2B1/APOB/FLT3/TRIM4/STOM/RAB24/TNFSF13B/HLA-C/IL6/CD300LB/RNASE2/IL1R2/CTSG/KIR2DL1/FCN3/CEBPD/PSMB10/CFB/EPPIN,157
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,22/552,27/1788,0.814814814814815,2.63929146537842,5.73430728285349,6.5387036405351e-08,5.40532834284235e-06,5.21949150253241e-06,JAML/HLA-E/SLAMF6/FCGR2B/LAIR1/CD3G/CD1D/KLRK1/COL17A1/CD8B/CD300LF/KLRD1/CD8A/CD160/CD1C/TYROBP/TREML2/LILRA5/FCGR3A/HLA-C/CD300LB/KIR2DL1,22
R-HSA-375276,Peptide ligand-binding receptors,23/552,31/1788,0.741935483870968,2.40322580645161,5.26556658598286,6.94547217706783e-07,4.92136314260807e-05,4.75216517378325e-05,CCR2/CXCL12/PNOC/CCL3/C5AR1/CCR7/PENK/AVPR1A/CCL3L3/PSAP/SSTR3/RXFP1/XCL2/AVPR2/XCL1/UTS2B/CCL21/CXCL9/CCL19/CCL7/UTS2/CCKAR/AGTR2,23
R-HSA-202433,Generation of second messenger molecules,10/552,10/1788,1,3.23913043478261,4.74390621306541,7.43114892396721e-06,0.000460731233285967,0.000444891152684879,LCP2/ITK/FYB1/CD4/HLA-DQB1/CD3G/WAS/HLA-DQB2/PLCG2/CD101,10
R-HSA-418594,G alpha (i) signalling events,34/552,59/1788,0.576271186440678,1.86661753868828,4.52249986955775,1.36262058751283e-05,0.000750955346007068,0.000725137271717352,CCR2/PDE1B/GPR183/RGS1/OXER1/P2RY14/GNGT2/P2RY13/CXCL12/PNOC/GNB3/S1PR4/SUCNR1/C5AR1/CCR7/RGS18/PENK/P2RY12/PSAP/SSTR3/CCL4L2/GNAL/RGS13/CCL21/HCAR2/CXCL9/RGS6/TAS1R1/HTR1F/CCL19/CNR2/GRM2/GPR18/AGTR2,34
R-HSA-168249,Innate Immune System,80/552,180/1788,0.444444444444444,1.43961352657005,4.15515144099696,3.61908691426148e-05,0.00179506710947369,0.0017333521536726,IQGAP2/CCR2/LYZ/IRAG2/LCP2/HLA-E/STING1/ADA2/TNFRSF1B/SERPING1/P2RX1/TLR8/ITK/NFAM1/CD4/ELMO1/MAP3K14/NCKAP1L/ATP8B4/PTPRC/TMT1A/PTAFR/TRIM56/PELI2/DNM1/LAIR1/LGMN/NFASC/ARSA/CD3G/AIM2/UBA7/WAS/TLR5/KLRK1/TASL/CD53/BST1/SIRPA/TLR9/PLCG2/C5AR1/RNASE6/SOCS1/CPPED1/WIPF3/KLRD1/PIGR/RAB37/PSAP/CRISP3/FCER1A/C1QB/C4BPA/MPO/CD14/FCER1G/SLC2A5/NLRP4/TYROBP/TLR3/LY86/GNLY/KIR2DS4/TNFAIP6/HPSE/PLAC8/FCGR3A/MUC20/APOB/TRIM4/STOM/RAB24/HLA-C/CD300LB/RNASE2/CTSG/FCN3/CFB/EPPIN,80
