ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006955,immune response,63/179,375/2843,0.168,2.6682905027933,8.9864088935233,4.81564870772731e-15,9.73724168702462e-12,8.25250115387375e-12,CCR2/LYZ/STAT2/PIK3CG/TRIM22/INPP5D/BCL6/MPEG1/STAT4/LAX1/JCHAIN/LCP2/FCRL5/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/CYSLTR2/CD28/SYK/VSIR/IL18BP/TNFRSF1B/APOL1/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/TNFSF8/FYB1/GPR183/RGS1/APOBEC3G/NFAM1/CD4/NAIP/SLAMF6/LY9/BLNK/FCGR2B/IL21/MAP3K14/NCKAP1L/DOCK2/PTPRC/PTAFR/HRH2/TRIM56/SMPDL3A/CH25H/HLA-DQB1/LAIR1/DLL1/CXCL12/SAMHD1/PDCD1/TRAT1/TBX21,63
GO:0046649,lymphocyte activation,43/179,204/2843,0.21078431372549,3.34782013364005,9.0205216504759,1.20057618749237e-13,1.21378252555478e-10,1.02870422801978e-10,DOCK8/CCR2/PIK3CG/INPP5D/JAML/BCL6/STAT4/LAX1/FCRL5/HLA-E/TNFRSF14/POU2AF1/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/ITK/TNFSF8/GPR183/NR5A2/MAFB/NFAM1/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/DLL1/IKZF3/PDCD1/CDKN1A/TBX21,43
GO:0002250,adaptive immune response,31/179,116/2843,0.267241379310345,4.24450972837604,9.24712968498892,7.14540424685012e-13,4.81600246237698e-10,4.08165547855158e-10,CCR2/PIK3CG/INPP5D/BCL6/MPEG1/STAT4/LAX1/JCHAIN/HLA-E/KLHL6/TNFRSF14/CD28/SYK/IL18BP/TNFRSF1B/IRF4/SLAMF1/TLR8/ITK/GPR183/CD4/SLAMF6/LY9/FCGR2B/NCKAP1L/PTPRC/HLA-DQB1/LAIR1/PDCD1/TRAT1/TBX21,31
GO:0045321,leukocyte activation,45/179,235/2843,0.191489361702128,3.04136455485558,8.46783036544388,1.13565880061882e-12,5.74075523712812e-10,4.8654013879143e-10,DOCK8/CCR2/PIK3CG/INPP5D/JAML/BCL6/STAT4/LAX1/LCP2/FCRL5/HLA-E/TNFRSF14/POU2AF1/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/ITK/TNFSF8/GPR183/NR5A2/MAFB/NFAM1/SYT11/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/DLL1/IKZF3/PDCD1/CDKN1A/TBX21,45
GO:0001775,cell activation,47/179,262/2843,0.179389312977099,2.8491833340441,8.1415680289246,3.91526290259802e-12,1.31375683413845e-09,1.1134343932414e-09,DOCK8/CCR2/PIK3CG/INPP5D/JAML/BCL6/STAT4/LAX1/LCP2/FCRL5/HLA-E/TNFRSF14/POU2AF1/CD28/SYK/VSIR/TNFRSF1B/EMILIN2/IRF4/SLAMF1/CD38/P2RX1/ITK/TNFSF8/GPR183/NR5A2/MAFB/NFAM1/SYT11/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/DLL1/IKZF3/PDCD1/CDKN1A/TBX21,47
GO:0032943,mononuclear cell proliferation,25/179,81/2843,0.308641975308642,4.90206221118698,9.23413678582199,4.54811960384231e-12,1.31375683413845e-09,1.1134343932414e-09,DOCK8/CCR2/PIK3CG/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/IKZF3/CDKN1A,25
GO:0046651,lymphocyte proliferation,25/179,81/2843,0.308641975308642,4.90206221118698,9.23413678582199,4.54811960384231e-12,1.31375683413845e-09,1.1134343932414e-09,DOCK8/CCR2/PIK3CG/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/IKZF3/CDKN1A,25
GO:0070661,leukocyte proliferation,25/179,82/2843,0.304878048780488,4.84228096470909,9.15027790139039,6.19427783786752e-12,1.56560372352102e-09,1.32687951579583e-09,DOCK8/CCR2/PIK3CG/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/IKZF3/CDKN1A,25
GO:0030098,lymphocyte differentiation,29/179,112/2843,0.258928571428571,4.11248004788508,8.71016093543626,1.03967749438039e-11,2.10298048741499e-09,1.78231674398022e-09,CCR2/INPP5D/BCL6/STAT4/POU2AF1/CD28/SYK/VSIR/IRF4/SLAMF1/ITK/TNFSF8/GPR183/MAFB/NFAM1/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/NCKAP1L/DOCK2/PTPRC/DLL1/IKZF3/TBX21,29
GO:0042110,T cell activation,33/179,143/2843,0.230769230769231,3.66523420713365,8.47603921434331,1.04004969704005e-11,2.10298048741499e-09,1.78231674398022e-09,DOCK8/CCR2/PIK3CG/JAML/BCL6/STAT4/LAX1/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/ITK/TNFSF8/GPR183/NR5A2/MAFB/CD4/SLAMF6/LY9/DTX1/FCGR2B/IL21/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/IKZF3/PDCD1/TBX21,33
GO:0006952,defense response,56/179,363/2843,0.154269972451791,2.45022084737676,7.66713407986916,1.27319815861612e-11,2.34036970611072e-09,1.98350871026511e-09,CCR2/LYZ/APOL3/STAT2/APOL2/PIK3CG/TRIM22/INPP5D/BCL6/MPEG1/STAT4/JCHAIN/MRC1/HLA-E/STING1/TNFRSF14/CD28/SYK/TNFRSF1B/EMILIN2/ITIH4/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/P2RX1/HCFC2/TLR8/ITK/TNFSF8/GSDMB/NR5A2/APOBEC3G/NFAM1/SYT11/CD4/NAIP/SLAMF6/LY9/SP140/BLNK/FCGR2B/IL21/MAP3K14/PTPRC/PTAFR/TRIM56/SMPDL3A/CH25H/AKNA/CXCL12/PLA2G4C/SAMHD1/PTGIS/TRAT1,56
GO:0032944,regulation of mononuclear cell proliferation,22/179,66/2843,0.333333333333333,5.29422718808194,9.14830187926728,1.74048505237091e-11,2.70712367376461e-09,2.294339809927e-09,CCR2/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/IKZF3/CDKN1A,22
GO:0050670,regulation of lymphocyte proliferation,22/179,66/2843,0.333333333333333,5.29422718808194,9.14830187926728,1.74048505237091e-11,2.70712367376461e-09,2.294339809927e-09,CCR2/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/IKZF3/CDKN1A,22
GO:0070663,regulation of leukocyte proliferation,22/179,67/2843,0.328358208955224,5.21520887184191,9.04936722101832,2.4520941117361e-11,3.54152449566456e-09,3.00151068714764e-09,CCR2/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/IKZF3/CDKN1A,22
GO:0002682,regulation of immune system process,53/179,348/2843,0.152298850574713,2.41891414627882,7.32287983426886,9.45360421117839e-11,1.27434584766685e-08,1.08003281795077e-08,DOCK8/CCR2/STAT2/INPP5D/BCL6/LAX1/LCP2/HLA-E/STING1/KLHL6/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/TNFSF8/FYB1/GPR183/NR5A2/MAFB/NFAM1/SYT11/CD4/NAIP/SLAMF6/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/TRIM56/SMPDL3A/HLA-DQB1/LYVE1/LAIR1/LGMN/DLL1/CXCL12/IKZF3/SAMHD1/PDCD1/CDKN1A/TRAT1/TBX21,53
GO:0046631,alpha-beta T cell activation,19/179,53/2843,0.358490566037736,5.69379150416359,8.93986724667527,1.08342980395147e-10,1.36918441474368e-08,1.16041034265329e-08,CCR2/BCL6/STAT4/HLA-E/TNFRSF14/CD28/SYK/VSIR/IRF4/ITK/TNFSF8/GPR183/SLAMF6/LY9/IL21/NCKAP1L/DOCK2/PTPRC/TBX21,19
GO:0051249,regulation of lymphocyte activation,30/179,132/2843,0.227272727272727,3.60970035551041,7.95764010268526,1.5735734065384e-10,1.76764746001147e-08,1.49811550049387e-08,DOCK8/CCR2/INPP5D/BCL6/LAX1/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/NFAM1/CD4/DTX1/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/HLA-DQB1/IKZF3/PDCD1/CDKN1A/TBX21,30
