ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006955,immune response,63/179,375/2843,0.168,2.6682905027933,8.9864088935233,4.81564870772731e-15,9.73724168702462e-12,8.25250115387375e-12,CCR2/LYZ/STAT2/PIK3CG/TRIM22/INPP5D/BCL6/MPEG1/STAT4/LAX1/JCHAIN/LCP2/FCRL5/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/CYSLTR2/CD28/SYK/VSIR/IL18BP/TNFRSF1B/APOL1/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/TNFSF8/FYB1/GPR183/RGS1/APOBEC3G/NFAM1/CD4/NAIP/SLAMF6/LY9/BLNK/FCGR2B/IL21/MAP3K14/NCKAP1L/DOCK2/PTPRC/PTAFR/HRH2/TRIM56/SMPDL3A/CH25H/HLA-DQB1/LAIR1/DLL1/CXCL12/SAMHD1/PDCD1/TRAT1/TBX21,63
GO:0046649,lymphocyte activation,43/179,204/2843,0.21078431372549,3.34782013364005,9.0205216504759,1.20057618749237e-13,1.21378252555478e-10,1.02870422801978e-10,DOCK8/CCR2/PIK3CG/INPP5D/JAML/BCL6/STAT4/LAX1/FCRL5/HLA-E/TNFRSF14/POU2AF1/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/ITK/TNFSF8/GPR183/NR5A2/MAFB/NFAM1/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/DLL1/IKZF3/PDCD1/CDKN1A/TBX21,43
GO:0001775,cell activation,47/179,262/2843,0.179389312977099,2.8491833340441,8.1415680289246,3.91526290259802e-12,1.31375683413845e-09,1.1134343932414e-09,DOCK8/CCR2/PIK3CG/INPP5D/JAML/BCL6/STAT4/LAX1/LCP2/FCRL5/HLA-E/TNFRSF14/POU2AF1/CD28/SYK/VSIR/TNFRSF1B/EMILIN2/IRF4/SLAMF1/CD38/P2RX1/ITK/TNFSF8/GPR183/NR5A2/MAFB/NFAM1/SYT11/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/HLA-DQB1/DLL1/IKZF3/PDCD1/CDKN1A/TBX21,47
GO:0032943,mononuclear cell proliferation,25/179,81/2843,0.308641975308642,4.90206221118698,9.23413678582199,4.54811960384231e-12,1.31375683413845e-09,1.1134343932414e-09,DOCK8/CCR2/PIK3CG/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/IKZF3/CDKN1A,25
GO:0046651,lymphocyte proliferation,25/179,81/2843,0.308641975308642,4.90206221118698,9.23413678582199,4.54811960384231e-12,1.31375683413845e-09,1.1134343932414e-09,DOCK8/CCR2/PIK3CG/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/DOCK2/PTPRC/IKZF3/CDKN1A,25
GO:0030098,lymphocyte differentiation,29/179,112/2843,0.258928571428571,4.11248004788508,8.71016093543626,1.03967749438039e-11,2.10298048741499e-09,1.78231674398022e-09,CCR2/INPP5D/BCL6/STAT4/POU2AF1/CD28/SYK/VSIR/IRF4/SLAMF1/ITK/TNFSF8/GPR183/MAFB/NFAM1/CD4/SLAMF6/LY9/IKZF1/DTX1/BLNK/FCGR2B/IL21/NCKAP1L/DOCK2/PTPRC/DLL1/IKZF3/TBX21,29
GO:0006952,defense response,56/179,363/2843,0.154269972451791,2.45022084737676,7.66713407986916,1.27319815861612e-11,2.34036970611072e-09,1.98350871026511e-09,CCR2/LYZ/APOL3/STAT2/APOL2/PIK3CG/TRIM22/INPP5D/BCL6/MPEG1/STAT4/JCHAIN/MRC1/HLA-E/STING1/TNFRSF14/CD28/SYK/TNFRSF1B/EMILIN2/ITIH4/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/P2RX1/HCFC2/TLR8/ITK/TNFSF8/GSDMB/NR5A2/APOBEC3G/NFAM1/SYT11/CD4/NAIP/SLAMF6/LY9/SP140/BLNK/FCGR2B/IL21/MAP3K14/PTPRC/PTAFR/TRIM56/SMPDL3A/CH25H/AKNA/CXCL12/PLA2G4C/SAMHD1/PTGIS/TRAT1,56
GO:0032944,regulation of mononuclear cell proliferation,22/179,66/2843,0.333333333333333,5.29422718808194,9.14830187926728,1.74048505237091e-11,2.70712367376461e-09,2.294339809927e-09,CCR2/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/IKZF3/CDKN1A,22
GO:0050670,regulation of lymphocyte proliferation,22/179,66/2843,0.333333333333333,5.29422718808194,9.14830187926728,1.74048505237091e-11,2.70712367376461e-09,2.294339809927e-09,CCR2/INPP5D/BCL6/HLA-E/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/SLAMF1/CD38/TNFSF8/GPR183/NR5A2/CD4/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/IKZF3/CDKN1A,22
GO:0002682,regulation of immune system process,53/179,348/2843,0.152298850574713,2.41891414627882,7.32287983426886,9.45360421117839e-11,1.27434584766685e-08,1.08003281795077e-08,DOCK8/CCR2/STAT2/INPP5D/BCL6/LAX1/LCP2/HLA-E/STING1/KLHL6/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/TNFSF8/FYB1/GPR183/NR5A2/MAFB/NFAM1/SYT11/CD4/NAIP/SLAMF6/DTX1/BLNK/FCGR2B/IL21/RASSF5/NCKAP1L/PTPRC/TRIM56/SMPDL3A/HLA-DQB1/LYVE1/LAIR1/LGMN/DLL1/CXCL12/IKZF3/SAMHD1/PDCD1/CDKN1A/TRAT1/TBX21,53
GO:0050776,regulation of immune response,39/179,217/2843,0.179723502304147,2.85449115670777,7.36679720721483,3.96251447998986e-10,4.21694962028395e-08,3.57394657807396e-08,CCR2/STAT2/INPP5D/BCL6/LAX1/LCP2/HLA-E/STING1/KLHL6/TNFRSF14/CD28/SYK/VSIR/TNFRSF1B/IRF4/SLAMF1/CD38/SERPING1/HCFC2/TLR8/ITK/FYB1/NFAM1/CD4/NAIP/SLAMF6/BLNK/FCGR2B/IL21/NCKAP1L/PTPRC/TRIM56/SMPDL3A/HLA-DQB1/LAIR1/SAMHD1/PDCD1/TRAT1/TBX21,39
GO:0009605,response to external stimulus,59/179,457/2843,0.12910284463895,2.05049937043874,6.35316476883389,5.73379187383098e-09,4.63749086755449e-07,3.9303634402513e-07,CCR2/LYZ/STAT2/PIK3CG/TRIM22/INPP5D/JAML/BCL6/MPEG1/JCHAIN/KMO/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/CD28/SYK/IL18BP/TNFRSF1B/EMILIN2/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/HCFC2/TLR8/TNFSF8/GPR183/GSDMB/BTG2/NR5A2/RGS1/APOBEC3G/SYT11/CD4/NAIP/SLAMF6/LY9/FCGR2B/IL21/MAP3K14/NCKAP1L/DOCK2/PTPRC/PTAFR/GNGT2/TRIM56/SMPDL3A/CH25H/AKNA/LGMN/CXCL12/IKZF3/SAMHD1/PTGIS/TBX21,59
GO:0051707,response to other organism,46/179,318/2843,0.144654088050314,2.29749481746952,6.36297098166988,1.41177488443719e-08,9.8434786770069e-07,8.34253906302631e-07,LYZ/STAT2/PIK3CG/TRIM22/INPP5D/MPEG1/JCHAIN/KMO/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/SYK/IL18BP/TNFRSF1B/EMILIN2/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/HCFC2/TLR8/TNFSF8/GSDMB/RGS1/APOBEC3G/SYT11/CD4/NAIP/SLAMF6/LY9/FCGR2B/IL21/MAP3K14/PTPRC/PTAFR/TRIM56/SMPDL3A/CH25H/CXCL12/IKZF3/SAMHD1/TBX21,46
GO:0009607,response to biotic stimulus,47/179,330/2843,0.142424242424242,2.26207888945319,6.32002316496807,1.56817028390604e-08,1.03562350022509e-06,8.77710999201649e-07,LYZ/STAT2/PIK3CG/TRIM22/INPP5D/MPEG1/JCHAIN/KMO/MRC1/HLA-E/STING1/KLHL6/TNFRSF14/POU2AF1/SYK/IL18BP/TNFRSF1B/EMILIN2/IL10RA/APOL1/IRF4/SLAMF1/SERPING1/HCFC2/TLR8/TNFSF8/GSDMB/RGS1/APOBEC3G/SYT11/CD4/NAIP/SLAMF6/LY9/FCGR2B/IL21/MAP3K14/PTPRC/PTAFR/TRIM56/SMPDL3A/CH25H/CXCL12/IKZF3/SAMHD1/PDCD1/TBX21,47
GO:0031347,regulation of defense response,30/179,165/2843,0.181818181818182,2.88776028440833,6.47522662453704,4.52940288797728e-08,2.47525747013245e-06,2.09782870601053e-06,CCR2/STAT2/PIK3CG/TRIM22/INPP5D/BCL6/HLA-E/STING1/CD28/SYK/TNFRSF1B/EMILIN2/IL10RA/IRF4/SERPING1/HCFC2/TLR8/NR5A2/APOBEC3G/SYT11/NAIP/SLAMF6/FCGR2B/IL21/PTPRC/TRIM56/SMPDL3A/AKNA/SAMHD1/PTGIS,30
GO:0002366,leukocyte activation involved in immune response,19/179,75/2843,0.253333333333333,4.02361266294227,6.87773100853759,7.65504377586596e-08,3.68535678923833e-06,3.1234113451403e-06,CCR2/PIK3CG/BCL6/STAT4/POU2AF1/CD28/SYK/IRF4/SLAMF1/GPR183/SLAMF6/LY9/FCGR2B/IL21/NCKAP1L/DOCK2/PTPRC/DLL1/TBX21,19
