ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,13/72,54/945,0.240740740740741,3.15972222222222,4.69138471279099,8.95303096952817e-05,0.00331262145872542,0.00311000023152031,STAT2/STAT4/LCP2/IL18BP/SAMD9L/IL10RA/IRF4/CD38/SERPING1/APOL6/P2RY14/SAMHD1/CDKN1A,13
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,12/72,56/945,0.214285714285714,2.8125,4.0138974421818,0.000568929617356027,0.0105251979210865,0.00988140914355204,CCR2/STAT4/LCP2/HLA-E/CD28/IRF4/ITK/FYB1/CD4/FCGR2B/PTPRC/TRAT1,12
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,10/72,53/945,0.188679245283019,2.47641509433962,3.17547799625646,0.00474011614080416,0.0505588062947919,0.0474663046295343,LCP2/TNFRSF1B/KCNA3/IL10RA/SLAMF1/GPR183/BTG2/RGS1/PTAFR/CDKN1A,10
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,7/72,30/945,0.233333333333333,3.0625,3.29525601209208,0.00546581689673426,0.0505588062947919,0.0474663046295343,GPX3/MYH11/SOD3/MYH3/MYOM1/PTGIS/CDKN1A,7
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,6/72,39/945,0.153846153846154,2.01923076923077,1.8658892137371,0.0688811256443292,0.509720329768036,0.478542557107971,IRAG2/TSPYL2/BTG2/SESN1/DDB2/CDKN1A,6
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,6/72,41/945,0.146341463414634,1.92073170731707,1.7301586799325,0.0841280115813093,0.518789404751407,0.487056909154949,SYK/CLDN15/FYB1/LIMA1/PTPRC/NFASC,6
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,7/72,53/945,0.132075471698113,1.73349056603774,1.57759370101559,0.100165200369536,0.529444630524693,0.497060392811234,TNFRSF1B/IL10RA/TLR8/ADGRL4/MAFB/IKZF1/DOCK2,7
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,6/72,45/945,0.133333333333333,1.75,1.47976035953444,0.119814148274159,0.554140435767986,0.520245643822007,PIK3CG/LCP2/SERPING1/APOBEC3G/GNGT2/LGMN,6
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,5/72,40/945,0.125,1.640625,1.18837829835788,0.182233126918341,0.646031821938761,0.606516361990871,GPX3/CD38/BTG2/PLPPR4/CDKN1A,5
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,4/72,30/945,0.133333333333333,1.75,1.19827491348803,0.18912419577538,0.646031821938761,0.606516361990871,CLIC2/TNS1/TENT5C/BTG2,4
