scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.NEO","Dys","Dys_only",0.3,"ATP5F1C",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,42.233304481223,1.49236084115421e-08,6.74547100201704e-05,"YES",5.40795642616269,3.18739640646483e-08,0.00014407031757221,"YES",0.558,1,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"SNRPE",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,29.3112233698823,6.75800886354529e-06,0.0046736852366999,"YES",4.45828556553663,4.13088948292752e-06,0.00933581023141621,"YES",0.519,2,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"RPL30",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,24.9457930899139,5.15882543168544e-05,0.00718129970032664,"YES",4.06235517450794,2.42900435750395e-05,0.0170624028118873,"YES",0.499,3,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"RPL35",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,25.2131676966003,4.55805227116795e-05,0.00718129970032664,"YES",4.07745158037523,2.27660039197573e-05,0.0170624028118873,"YES",0.495,4,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"SNRPD2",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,27.1748120584331,1.8324942032557e-05,0.00588082374573071,"YES",4.20847849379317,1.28547996668736e-05,0.0170624028118873,"YES",0.484,5,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"MRPL36",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,25.914437036861,3.29268643603054e-05,0.00676497395039002,"YES",4.0861000591106,2.19342327665004e-05,0.0170624028118873,"YES",0.474,6,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"SCAND1",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,24.6058823184308,6.03737585425691e-05,0.00718129970032664,"YES",3.97430233871893,3.52929267669839e-05,0.0170624028118873,"YES",0.471,7,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"OSER1",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,24.7033434649526,5.771288310076e-05,0.00718129970032664,"YES",3.96559565649843,3.66064416330287e-05,0.0170624028118873,"YES",0.465,8,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"DPM1",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,24.8659160517099,5.35311524638599e-05,0.00718129970032664,"YES",3.95826124198951,3.77486787873613e-05,0.0170624028118873,"YES",0.457,9,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"CCDC167",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,25.4828166091924,4.02260997153215e-05,0.00703356159801444,"YES",4.00272011230218,3.13091822943532e-05,0.0170624028118873,"YES",0.456,10,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
"NKI.NEO","Dys","Dys_only",0.3,"RFC3",2,2,"YES",2,"YES","YES","Dys","YES","Dys","NO",NA,23.0100224949907,0.000126043712858941,0.00922236465418764,"YES",3.82339760487547,6.58126338144522e-05,0.0270430095310295,"YES",0.464,11,TRUE,TRUE,"NKI.NEO | k_all_concordant | Dys-CIM | rho>=0.3 | all genes"
