ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-72689,Formation of a pool of free 40S subunits,3/14,12/2320,0.25,41.4285714285714,10.9381999240123,3.73099873531302e-05,0.00206349095239654,0.00144089519344,RPL30/RPL35/EIF3E,3
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,3/14,14/2320,0.214285714285714,35.5102040816327,10.0894300707066,6.12918104672239e-05,0.00206349095239654,0.00144089519344,RPL30/RPL35/EIF3E,3
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,3/14,14/2320,0.214285714285714,35.5102040816327,10.0894300707066,6.12918104672239e-05,0.00206349095239654,0.00144089519344,RPL30/RPL35/EIF3E,3
R-HSA-72613,Eukaryotic Translation Initiation,3/14,18/2320,0.166666666666667,27.6190476190476,8.8320363280779,0.00013545236682182,0.00273613780980077,0.00191059127938146,RPL30/RPL35/EIF3E,3
R-HSA-72737,Cap-dependent Translation Initiation,3/14,18/2320,0.166666666666667,27.6190476190476,8.8320363280779,0.00013545236682182,0.00273613780980077,0.00191059127938146,RPL30/RPL35/EIF3E,3
R-HSA-8953854,Metabolism of RNA,6/14,176/2320,0.0340909090909091,5.64935064935065,4.99828465209685,0.000314778202329915,0.0052987664058869,0.00370002448352707,SNRPE/RPL30/RPL35/SNRPD2/THOC3/EXOSC1,6
R-HSA-72766,Translation,4/14,82/2320,0.0487804878048781,8.08362369337979,5.08764860457104,0.00110776616244981,0.0152139853595816,0.010623627087983,RPL30/RPL35/MRPL36/EIF3E,4
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,3/14,37/2320,0.0810810810810811,13.4362934362934,5.94050830953898,0.00120506814729359,0.0152139853595816,0.010623627087983,RPL30/RPL35/EXOSC1,3
R-HSA-8868773,rRNA processing in the nucleus and cytosol,3/14,41/2320,0.0731707317073171,12.1254355400697,5.59914259904375,0.00162978060713144,0.0182162798851531,0.0127200703731658,RPL30/RPL35/EXOSC1,3
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,2/14,11/2320,0.181818181818182,30.1298701298701,7.54410397271441,0.00180359206783694,0.0182162798851531,0.0127200703731658,RPL30/RPL35,2
R-HSA-9824446,Viral Infection Pathways,5/14,168/2320,0.0297619047619048,4.93197278911565,4.12219708374349,0.00219508266040465,0.0198860206336289,0.0138860175346862,SNRPE/RPL30/RPL35/SNRPD2/VPS25,5
R-HSA-72312,rRNA processing,3/14,48/2320,0.0625,10.3571428571429,5.10322193459383,0.00257886999499294,0.0198860206336289,0.0138860175346862,RPL30/RPL35/EXOSC1,3
R-HSA-2408522,Selenoamino acid metabolism,2/14,14/2320,0.142857142857143,23.6734693877551,6.62883312155824,0.002953369401034,0.0198860206336289,0.0138860175346862,RPL30/RPL35,2
R-HSA-927802,Nonsense-Mediated Decay (NMD),2/14,14/2320,0.142857142857143,23.6734693877551,6.62883312155824,0.002953369401034,0.0198860206336289,0.0138860175346862,RPL30/RPL35,2
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),2/14,14/2320,0.142857142857143,23.6734693877551,6.62883312155824,0.002953369401034,0.0198860206336289,0.0138860175346862,RPL30/RPL35,2
R-HSA-9954709,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,2/14,18/2320,0.111111111111111,18.4126984126984,5.77742626827755,0.00489746457216057,0.0283299811963358,0.0197822693085409,RPL30/RPL35,2
R-HSA-168273,Influenza Viral RNA Transcription and Replication,2/14,19/2320,0.105263157894737,17.4436090225564,5.60661034329995,0.0054547808674652,0.0283299811963358,0.0197822693085409,RPL30/RPL35,2
R-HSA-72165,mRNA Splicing - Minor Pathway,2/14,19/2320,0.105263157894737,17.4436090225564,5.60661034329995,0.0054547808674652,0.0283299811963358,0.0197822693085409,SNRPE/SNRPD2,2
R-HSA-73856,RNA Polymerase II Transcription Termination,2/14,20/2320,0.1,16.5714285714286,5.44834096375694,0.0060399912349164,0.0283299811963358,0.0197822693085409,SNRPE/THOC3,2
R-HSA-9948299,Ribosome-associated quality control,2/14,20/2320,0.1,16.5714285714286,5.44834096375694,0.0060399912349164,0.0283299811963358,0.0197822693085409,RPL30/RPL35,2
R-HSA-1643685,Disease,7/14,416/2320,0.0168269230769231,2.78846153846154,3.13673289845433,0.00611173816326279,0.0283299811963358,0.0197822693085409,SNRPE/RPL30/RPL35/SNRPD2/DPM1/RFC3/VPS25,7
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,3/14,67/2320,0.0447761194029851,7.42004264392324,4.1541240281693,0.00667232248475708,0.0283299811963358,0.0197822693085409,SNRPE/SNRPD2/THOC3,3
R-HSA-5663205,Infectious disease,5/14,220/2320,0.0227272727272727,3.76623376623377,3.35950515622835,0.00717931171194844,0.0283299811963358,0.0197822693085409,SNRPE/RPL30/RPL35/SNRPD2/VPS25,5
