ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,69/757,70/1193,0.985714285714286,1.55344404604642,6.28601892742424,1.97393637772704e-13,6.7046207708585e-12,3.88882407761932e-12,WIPF1/DAB2/LRP1/PCOLCE/BMP1/DST/TNFAIP3/COL6A3/COL6A2/PDGFRB/ITGA5/COL5A1/COL5A3/MXRA5/COL1A1/NOTCH2/ADAM12/TGFB1/PRRX1/SNAI2/CXCL12/FUCA1/P3H1/MYLK/IL15/WNT5A/SLIT2/MMP14/GEM/MMP2/VCAN/NID2/DPYSL3/TNC/GADD45A/SGCD/BGN/LOX/TGFBI/COL16A1/VIM/SCG2/SAT1/FBLN5/SERPINE1/CXCL1/EFEMP2/SPARC/FBLN1/THBS2/FN1/BASP1/ITGAV/EMP3/CCN1/GREM1/VEGFC/CDH11/THY1/COL7A1/NNMT/IGFBP4/CALD1/SLIT3/CCN2/GADD45B/GAS1/CXCL6/ITGA2,69
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,74/757,76/1193,0.973684210526316,1.53448515608705,6.34247378323532,2.73657990647286e-13,6.7046207708585e-12,3.88882407761932e-12,PTGER4/SCARF1/CD40/PTPRE/ABCA1/CSF1/TNFRSF1B/LCP2/STAB1/PDPN/IL10RA/NLRP3/PIK3R5/IL10/PTGIR/CDKN1A/OSMR/IL4R/SEMA4D/IL15RA/IRAK2/ADGRE1/NFKB1/ITGA5/ICAM1/KCNJ2/CYBB/HIF1A/ICAM4/NFKBIA/HRH1/AXL/PTAFR/GPR132/GABBR1/IL18R1/P2RX7/TAPBP/RAF1/IL15/ACVR2A/APLNR/MMP14/KLF6/RGS16/ATP2B1/PTGER2/AHR/SCN1B/CSF3R/IL2RB/IFNAR1/TNFRSF9/LCK/MEP1A/HAS2/SLC31A2/EBI3/C5AR1/IL18/SERPINE1/CCL22/CD14/TLR1/TACR1/EMP3/HBEGF/LYN/FPR1/IRF1/NOD2/GCH1/CXCL6/LAMP3,74
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,70/757,72/1193,0.972222222222222,1.53218112432115,6.13572280896696,1.75035833920217e-12,2.85891862069687e-11,1.65823421608626e-11,CCND2/CD40/IL16/CSF1/NCF4/HCLS1/LCP2/STAB1/NLRP3/IL10/HLA-E/BCL3/CD74/FYB1/FGR/IL4R/IRF4/CD28/CD1D/ST8SIA4/JAK2/ICAM1/ITGB2/C2/WAS/HIF1A/SPI1/TGFB1/MAP4K1/F2R/CD4/ITGAL/IL2RG/CSK/PRF1/IL2RA/TAPBP/BCAT1/EIF4G3/IL15/ZAP70/CD7/ACVR2A/EGFR/IL12RB1/CD3E/CD3G/CD8B/IL2RB/LCK/LY75/TNF/IFNAR2/CD247/SOCS5/ACHE/IL18/GBP2/CCL22/TLR1/FASLG/IL27RA/TAP2/LYN/APBB1/THY1/PSMB10/CXCR3/ELANE/HDAC9,70
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,64/757,66/1193,0.96969696969697,1.52820143308915,5.81503600027081,2.75255894757805e-11,3.37188471078311e-10,1.95576556801598e-10,CSF2RB/CIITA/CD40/STAT2/C1R/SERPING1/PML/NOD1/LCP2/IL10RA/MVP/CDKN1A/IRF5/TNFAIP3/CD74/SSPN/IL4R/IL15RA/IRF4/TNFAIP2/NFKB1/ST8SIA4/JAK2/ICAM1/C1S/SOD2/HIF1A/VAMP5/IRF2/NFKBIA/ARID5B/NLRC5/SAMHD1/ZNFX1/APOL6/TAPBP/IL15/SOCS3/PIM1/SPPL2A/ITGB7/CASP4/BTG1/LATS2/ST3GAL5/IL2RB/NCOA3/IFNAR2/STAT3/SELP/CASP7/PELI1/IFITM2/MX2/CFB/LAP3/RNF213/FPR1/PARP12/IRF1/PSMB10/CASP8/IFI30/GCH1,64
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,71/757,77/1193,0.922077922077922,1.45315582699995,5.4150647863829,2.44343682233593e-09,2.39456808588921e-08,1.38890093059095e-08,PTGER4/STAT5A/EGR2/BCL6/PTPRE/ABCA1/KLF9/CSF1/MARCKS/PLPP3/CFLAR/CDKN1A/TNFAIP3/BCL3/ETS2/IL15RA/DRAM1/TNFAIP2/NFKB1/ICAM1/SOD2/MSC/NFAT5/NFKBIA/MCL1/TRAF1/PER1/CXCL2/FOSL2/GEM/DENND5A/KLF6/SOCS3/ATP2B1/ZFP36/FUT4/TNC/ZC3H12A/BTG1/KDM6B/GADD45A/LAMB3/SIK1/TNFRSF9/MAP3K8/GFPT2/TNF/SLC2A3/RCAN1/DUSP5/PHLDA1/SAT1/SERPINB8/IL18/DUSP4/SERPINE1/EGR1/CXCL1/CXCL3/CCN1/JAG1/KLF2/HBEGF/IER5/IRF1/RELB/GADD45B/EGR3/GCH1/CXCL6/REL,71
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,38/757,39/1193,0.974358974358974,1.53554855536361,4.47889698824052,3.37100246811185e-07,2.75298534895801e-06,1.59679064278983e-06,CSF2RB/IL17RA/STAT2/CSF1/TNFRSF1B/TYK2/PIK3R5/OSMR/ACVRL1/IL4R/IL15RA/CBL/CSF2RA/TGFB1/IL3RA/ITGA4/IL2RG/IL18R1/TNFRSF21/IL2RA/SOCS3/PIM1/IL12RB1/IL10RB/CSF3R/IFNAR1/MAP3K8/TNF/STAT3/EBI3/LEPR/CXCL1/CD14/CXCL3/HMOX1/IL13RA1/CRLF2/IRF1,38
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,42/757,44/1193,0.954545454545455,1.50432328569713,4.48970873626567,4.81120473966689e-07,3.36784331776682e-06,1.95342147324821e-06,NRP1/SYNE1/DAB2/TGFBR2/PIK3CD/PRDM2/PLPP3/ATXN1/PDGFRB/NFKB1/PTPN21/NR3C1/COL1A1/NOTCH2/SNAI2/ABCC1/GRK5/PTPRM/PRKCA/MAP2K5/ACVR2A/RXRA/ATP2B1/ATP2B4/DLC1/SYNJ2/WDR37/RUNX1/HAS2/FBLN5/SERPINE1/MAGI2/MGLL/CDK13/MAP1B/CCN1/ATRX/SCAF8/DYRK1A/CAV1/TOGARAM1/MMP16,42
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,52/757,57/1193,0.912280701754386,1.4377158219194,4.46049780626298,1.08489305796391e-06,6.64496998002897e-06,3.85422533750338e-06,PRDM1/PECAM1/CCND2/NRP1/TNFRSF1B/NAP1L2/ENG/MAFB/IL10RA/TNFAIP3/MTMR10/IKZF1/ST6GAL1/DOCK2/CBL/GUCY1A1/CSF2RA/ITGB2/ADGRA2/PRRX1/MAP4K1/SATB1/GADD45G/IL2RG/LAT2/CD37/FUCA1/TRAF1/VWA5A/LAPTM5/RGS16/TSPAN7/EPHB2/GPNMB/SCN1B/TMEM176A/ETV5/RELN/GFPT2/CLEC4A/PLVAP/ETV1/NIN/CCSER2/IGF2/CFB/DUSP6/HBEGF/SPRY2/DNMBP/HDAC9/ITGA2,52
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,67/757,78/1193,0.858974358974359,1.35370727907056,4.25595167347708,5.35185856087029e-06,2.91378966091827e-05,1.69006059816957e-05,CCND2/NRP1/PLAGL1/CSF1/TNFRSF1B/IKZF4/IL10RA/FLT3LG/IL10/GALM/TNFRSF8/IL4R/IRF4/SWAP70/PTCH1/NFKBIZ/GABARAPL1/ADAM19/RORA/IL3RA/AHNAK/HIPK2/AGER/SYT11/TRAF1/IL18R1/GUCY1B1/TNFRSF21/IL2RA/COL6A1/CAPN3/PRKCH/DENND5A/KLF6/PLEC/PIM1/RGS16/PTGER2/CST7/AHR/LRRC8C/IL2RB/TNFRSF9/MAP3K8/MYO1E/NCOA3/SLC2A3/SCN9A/BATF3/SELP/PHLDA1/CDC42SE2/CCR4/BMPR2/CTSZ/GLIPR2/ITGAV/MAP6/HYCC2/PTH1R/IKZF2/GADD45B/SPRY4/DHRS3/SPRED2/TNFRSF4/GPR83,67
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,54/757,65/1193,0.830769230769231,1.30925718931003,3.37726201794878,0.000327156880434957,0.00160306871413129,0.00092981429176251,DOCK4/SH2B3/C1R/SERPING1/LRP1/CASP10/LCP2/PIK3CG/PIK3R5/DOCK10/TNFAIP3/CTSH/ITGAM/JAK2/C1S/C2/WAS/IRF2/CTSO/C3/LTF/LGMN/GNB4/FCN1/CTSB/RAF1/CPM/GNG2/MMP14/RBSN/PIM1/DGKH/DYRK2/CASP4/C4BPB/LCK/NOTCH4/DUSP5/USP15/APOBEC3F/TIMP2/SERPINE1/CXCL1/CASP7/CTSC/PRCP/FN1/CFB/DUSP6/LAP3/PPP2CB/LYN/IRF1/CP,54
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,38/757,45/1193,0.844444444444445,1.3308087479818,2.97958048584964,0.00147173517965776,0.00655591125483912,0.00380256936370905,LSP1/COL15A1/PDE4DIP/CDKN1A/COL6A3/COL6A2/SSPN/MYH3/SOD3/COL1A1/ADAM12/MEF2D/TGFB1/NOTCH1/MYH11/MYLK/SH2B1/APLNR/DENND2B/MYOM1/MRAS/PLXNB2/HDAC5/SGCD/MYH9/AEBP1/PYGM/ACHE/MEF2A/WWTR1/BDKRB2/SPARC/SMTN/SGCA/HBEGF/MYL3/GADD45B/DES,38
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,20/757,22/1193,0.909090909090909,1.43268884352108,2.69805881829264,0.00381624970108275,0.0150830169467325,0.00874847384665473,STAT2/CSF1/CD74/IL4R/UBA7/C1S/IRF2/TMEM140/IL15/TENT5A/GBP2/IFITM2/TRIM5/LAP3/PARP12/IRF1/CASP8/IFI30/HLA-C/LAMP3,20
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,40/757,49/1193,0.816326530612245,1.28649610438627,2.69740756801488,0.00400161674096985,0.0150830169467325,0.00874847384665473,CCND2/DPYD/PLCB2/HGF/CFLAR/BMF/CDKN1A/PDGFRB/CYLD/SOD2/MCL1/F2R/SATB1/RNASEL/PRF1/PLPPR4/BCL2L11/MMP2/CASP4/GADD45A/BGN/TNF/CREBBP/NEDD9/TIMP2/SAT1/IL18/CASP7/CD14/HMOX1/FASLG/NEFH/BNIP3L/IRF1/GADD45B/CASP8/CAV1/EGR3/GCH1/ROCK1,40
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,21/757,24/1193,0.875,1.37896301188904,2.47023352491826,0.00843072944077427,0.0295075530427099,0.0171150146542034,SHOX2/IDUA/KCND1/MAST3/CLSTN3/PTPRJ/KMT2D/PDCD1/STAG3/CPEB3/TCF7L1/CAMK1D/NRIP2/THRB/RYR2/MTHFR/PRKN/C5/COPZ2/ABCG4/SLC30A3,21
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,51/757,66/1193,0.772727272727273,1.21778551699291,2.39762814395402,0.00998229342845864,0.0310442620721099,0.0180063389032646,PECAM1/PKD1/CLDN15/CD209/BMP1/SIRPA/JAM3/NLGN2/SKAP2/FYB1/SYK/ICAM1/ICAM4/SDC3/FLNC/TRAF1/NFASC/ADAM23/VWF/MAPK11/SLIT2/EGFR/TSPAN4/ZYX/MMP2/NRXN2/RAC2/LIMA1/VCAN/TRO/MSN/NEGR1/LAMB3/PLCG1/TGFBI/MYH9/COL16A1/LAYN/TMEM8B/NLGN3/EPB41L2/CDH11/THY1/COL17A1/TSC1/CLDN19/THBS3/NF1/SLC30A3/CD99/ITGA2,51
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,14/757,15/1193,0.933333333333333,1.4708938793483,2.41734620200961,0.0101369019010971,0.0310442620721099,0.0180063389032646,NRP1/PML/ETS2/PTCH1/DPYSL2/NRP2/MYH9/ACHE/CRMP1/SCG2/TLE3/UNC5C/THY1/NF1,14
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,13/757,14/1193,0.928571428571429,1.46338931873938,2.2971849220886,0.0151042635511965,0.0411171618893682,0.0238488371860997,DLL1/DTX1/DTX2/NOTCH2/NOTCH1/ARRB1/TCF7L2/PRKCA/WNT5A/MAML2/NOTCH3/JAG1/WNT2,13
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,13/757,14/1193,0.928571428571429,1.46338931873938,2.2971849220886,0.0151042635511965,0.0411171618893682,0.0238488371860997,ENG/TGFB1/HIPK2/SKI/APC/ACVR1/NCOR2/WWTR1/SERPINE1/LTBP2/SPTBN1/BMPR2/ARID4B,13
HALLMARK_COAGULATION,HALLMARK_COAGULATION,29/757,36/1193,0.805555555555556,1.26952150300895,2.16282217460301,0.0200527563323224,0.0517150031728315,0.0299958127962717,PECAM1/P2RY1/C1R/SERPING1/LRP1/BMP1/CTSH/C1S/C2/CTSO/C3/LGMN/CTSB/VWF/RAPGEF3/MMP14/MMP2/KLF7/MEP1A/CFI/ISCU/SERPINE1/SPARC/FN1/MST1/CFB/DUSP6/HMGCS2/ITGA2,29
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,8/757,8/1193,1,1.57595772787318,2.15287716288689,0.0259263192484471,0.0635194821586954,0.0368426641951617,CCND2/NRP1/TNFRSF21/VCAN/SLCO2A1/ITGAV/JAG1/CXCL6,8
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,44/757,58/1193,0.758620689655172,1.19555413838655,2.01106403765945,0.0280764192227701,0.0655116448531302,0.0379981613541249,NDST2/AMPD3/CDKN1A/TNFAIP3/COL5A1/NR3C1/IDS/SLC6A6/RBPJ/RORA/SDC3/PRKCA/LXN/FOSL2/EGFR/KLF6/ATP7A/PIM1/ZFP36/KLF7/BTG1/SRPX/NDST1/BGN/LOX/TGFBI/MYH9/PYGM/SLC2A3/SERPINE1/TPST2/KLHL24/SLC2A5/CCN1/HMOX1/PAM/VHL/BNIP3L/CCN2/TGFB3/CAV1/FBP1/CP/ALDOB,44
