ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-372790,Signaling by GPCR,117/1479,134/2320,0.873134328358209,1.36962247585601,5.84416078205131,3.02355063058316e-10,1.96228435924847e-07,1.69318835312657e-07,PTGER4/P2RY1/PLCB2/UTS2R/ADGRE2/FGD2/AKAP13/ADGRE5/PIK3CG/VAV1/ITPR1/PIK3R5/DGKA/ADCY7/RPS6KA3/PTGIR/ADCY4/ARHGEF1/ADCY3/BTK/HRH2/ADGRE1/ITGA5/PDE1B/OXER1/SOS1/RPS6KA2/ARHGEF17/PNOC/PLEKHG2/PTGDR/GNB3/MAPK7/PIK3R6/F2R/ARRB1/GPSM3/ARHGEF15/HRH1/ARHGEF40/PDE8A/PTAFR/CXCL12/GNB4/GPR132/GABBR1/GRK5/ARRB2/CXCL2/CCL23/TRIO/ABR/PLPPR4/ARHGEF18/PRKCA/WNT2B/GPR25/GNG2/ARHGEF25/PRKCH/WNT5A/APLNR/PSAP/RASGRF2/ACKR1/RGS16/DGKH/PTGER2/INSL3/ABHD6/GPR176/PTCH2/PDE10A/ARHGEF10/P2RY11/GPR55/PDE7B/CCL16/FPR2/RGS17/C5AR1/MC1R/CXCL1/DGKD/CCR4/ARHGEF3/GNAQ/RASGRP2/BDKRB2/CCL3L3/LTB4R2/GPR20/CCL22/MGLL/PDE11A/P2RY6/TACR1/CXCL3/FFAR4/AVPR2/LTB4R/PPP2CB/HBEGF/HTR6/FPR1/ARHGEF12/PTH1R/WNT2/C5/GPR4/CCKAR/LPAR4/RGS12/CXCL6/NBEA/SST/GPR83,117
R-HSA-388396,GPCR downstream signalling,106/1479,122/2320,0.868852459016394,1.36290581806493,5.46004806118857,4.25621906233259e-09,1.38114308572692e-06,1.19174133745312e-06,PTGER4/P2RY1/PLCB2/UTS2R/FGD2/AKAP13/PIK3CG/VAV1/ITPR1/PIK3R5/DGKA/ADCY7/RPS6KA3/PTGIR/ADCY4/ARHGEF1/ADCY3/BTK/HRH2/ITGA5/PDE1B/OXER1/SOS1/RPS6KA2/ARHGEF17/PNOC/PLEKHG2/PTGDR/GNB3/MAPK7/PIK3R6/F2R/ARRB1/GPSM3/ARHGEF15/HRH1/ARHGEF40/PDE8A/PTAFR/CXCL12/GNB4/GPR132/GABBR1/GRK5/ARRB2/CXCL2/CCL23/TRIO/ABR/ARHGEF18/PRKCA/GPR25/GNG2/ARHGEF25/PRKCH/APLNR/PSAP/RASGRF2/RGS16/DGKH/PTGER2/INSL3/ABHD6/GPR176/PDE10A/ARHGEF10/P2RY11/GPR55/PDE7B/CCL16/FPR2/RGS17/C5AR1/MC1R/CXCL1/DGKD/CCR4/ARHGEF3/GNAQ/RASGRP2/BDKRB2/LTB4R2/GPR20/MGLL/PDE11A/P2RY6/TACR1/CXCL3/FFAR4/AVPR2/LTB4R/PPP2CB/HBEGF/HTR6/FPR1/ARHGEF12/PTH1R/C5/GPR4/CCKAR/LPAR4/RGS12/CXCL6/NBEA/SST/GPR83,106
R-HSA-1474244,Extracellular matrix organization,82/1479,93/2320,0.881720430107527,1.38309087075691,4.99942009877677,6.31605181631813e-08,1.32711675982219e-05,1.14512386055536e-05,PECAM1/ADAMTS2/DDR2/COL6A6/PHYKPL/PCOLCE/UTRN/SNTB2/COL15A1/DST/JAM3/MMP19/COL6A3/COL6A2/SSPN/EMILIN2/ITGA5/ITGAM/ICAM1/COL5A1/ITGAX/COL5A3/ITGB2/ADAM19/COL1A1/TGFB1/CRTAP/SDC3/ITGA4/ITGAL/JAM2/P3H1/LRP4/COL24A1/MFAP4/ADAMTS14/COL6A1/PRKCA/CTSB/ADAMTS4/CAPN11/MMP14/NID1/MMP2/LTBP4/VCAN/NID2/LAMC3/TNC/LTBP3/PTPRS/COL27A1/COL6A5/ADAMTS1/LAMB3/SGCD/BGN/ITGA1/COL16A1/PXDN/KDR/TIMP2/FBLN5/SERPINE1/EFEMP2/LTBP2/SPARC/NTN4/ITGAV/SGCA/LOXL3/COL7A1/COL17A1/TNN/LAMB1/COL4A3/TGFB3/GDF5/ELANE/DRP2/ITGA2/MMP16,82
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,42/1479,43/2320,0.976744186046512,1.53214774281806,4.6700486009404,8.179456146824e-08,1.32711675982219e-05,1.14512386055536e-05,CD40/LILRB2/CD33/HLA-E/LILRB1/SIGLEC10/CD1D/LAIR1/ICAM1/LILRA6/ITGB2/COL1A1/SIGLEC1/ITGA4/ITGAL/CD300C/LILRB4/PILRA/SIGLEC9/PIANP/OSCAR/PILRB/SIGLEC5/SIGLEC12/CD3E/CD3G/CD8B/CD300LF/MICA/CD247/COLEC12/LAIR2/CD300E/SIGLEC11/COL17A1/TREML2/SIGLEC7/HLA-C/CD300A/LILRA1/CD99/HLA-F,42
R-HSA-500792,GPCR ligand binding,59/1479,65/2320,0.907692307692308,1.42383107088989,4.59528720711911,4.90979826313229e-07,6.37291814554571e-05,5.49897405470816e-05,PTGER4/P2RY1/UTS2R/ADGRE2/ADGRE5/PTGIR/HRH2/ADGRE1/OXER1/PNOC/PTGDR/GNB3/F2R/HRH1/PTAFR/CXCL12/GNB4/GPR132/GABBR1/CXCL2/CCL23/PLPPR4/WNT2B/GNG2/WNT5A/APLNR/PSAP/ACKR1/PTGER2/INSL3/PTCH2/P2RY11/GPR55/CCL16/FPR2/C5AR1/MC1R/CXCL1/CCR4/BDKRB2/CCL3L3/LTB4R2/CCL22/P2RY6/TACR1/CXCL3/FFAR4/AVPR2/LTB4R/HTR6/FPR1/PTH1R/WNT2/C5/GPR4/CCKAR/LPAR4/CXCL6/SST,59
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),47/1479,51/2320,0.92156862745098,1.44559784698193,4.26626066828876,2.66632390944984e-06,0.000288407369538825,0.000248856898215319,PTGER4/P2RY1/UTS2R/PTGIR/HRH2/OXER1/PNOC/PTGDR/F2R/HRH1/PTAFR/CXCL12/GPR132/CXCL2/CCL23/PLPPR4/APLNR/PSAP/ACKR1/PTGER2/INSL3/P2RY11/GPR55/CCL16/FPR2/C5AR1/MC1R/CXCL1/CCR4/BDKRB2/CCL3L3/LTB4R2/CCL22/P2RY6/TACR1/CXCL3/FFAR4/AVPR2/LTB4R/HTR6/FPR1/C5/GPR4/CCKAR/LPAR4/CXCL6/SST,47
R-HSA-375276,Peptide ligand-binding receptors,27/1479,27/2320,1,1.56862745098039,3.94043474594103,4.82206957217673e-06,0.000447074736048957,0.000385765565774139,UTS2R/PNOC/F2R/CXCL12/CXCL2/CCL23/APLNR/PSAP/ACKR1/INSL3/CCL16/FPR2/C5AR1/MC1R/CXCL1/CCR4/BDKRB2/CCL3L3/CCL22/TACR1/CXCL3/AVPR2/FPR1/C5/CCKAR/CXCL6/SST,27
R-HSA-416476,G alpha (q) signalling events,43/1479,47/2320,0.914893617021277,1.43512724238632,3.99578349741255,1.21361858841519e-05,0.000984548079851823,0.000849533011890633,P2RY1/PLCB2/UTS2R/ITPR1/DGKA/RPS6KA3/BTK/SOS1/RPS6KA2/GNB3/MAPK7/F2R/HRH1/PTAFR/GNB4/GPR132/GRK5/CCL23/TRIO/PRKCA/GNG2/ARHGEF25/PRKCH/RGS16/DGKH/ABHD6/P2RY11/FPR2/RGS17/DGKD/GNAQ/RASGRP2/BDKRB2/LTB4R2/MGLL/P2RY6/TACR1/FFAR4/LTB4R/HBEGF/GPR4/CCKAR/LPAR4,43
R-HSA-397014,Muscle contraction,41/1479,45/2320,0.911111111111111,1.42919389978214,3.85483293120278,2.55883296347686e-05,0.00184520288144053,0.00159216273283004,TLN1/KAT2B/ITPR1/KCND1/GUCY1A1/KCNJ2/MYH3/KCNE1/HIPK2/MYH11/DYSF/GUCY1B1/CACNA1C/MYLK/ORAI2/CACNA1G/TRPC1/ATP2B1/ATP2B4/FXYD6/SCN1B/ITGA1/CACNB1/NPR2/WWTR1/VIM/SCN2A/SCN9A/ABCC9/FXYD2/RYR2/HIPK1/KCNK17/CALD1/MYL3/RYR3/ATP1B2/SLC8A3/CACNB2/DES/KCNA5,41
R-HSA-877300,Interferon gamma signaling,22/1479,22/2320,1,1.56862745098039,3.55304422693473,4.71822380953682e-05,0.0030621272523894,0.00264220533334062,CIITA/HLA-E/IRF5/TRIM38/IRF4/JAK2/ICAM1/HLA-DRB5/IRF3/IRF2/JAK1/PTAFR/RAF1/SOCS3/TRIM68/GBP2/IRF1/IFI30/HLA-C/HLA-F/TRIM17/TRIM34,22
